time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max
1.000,1.043,1043,1042.933,13.803519,18.989055,158.466047,159.252479
2.000,2.674,2674,1336.922,13.877247,19.906559,152.043519,159.252479
3.000,4.670,4670,1556.508,13.713407,19.906559,149.159935,159.252479
4.000,7.273,7273,1818.083,13.254655,20.660223,111.345663,159.252479
5.000,10.599,10599,2119.605,12.574719,19.136511,94.437375,159.252479
6.001,13.707,13707,2284.303,12.206079,18.497535,77.201407,159.252479
7.001,16.770,16770,2395.505,12.075007,18.219007,51.118079,159.252479
8.001,19.800,19800,2474.793,11.976703,18.120703,46.333951,159.252479
9.001,22.824,22824,2535.753,11.894783,18.104319,44.138495,159.252479
10.001,25.776,25776,2577.323,11.796479,18.219007,40.009727,159.252479
11.001,28.894,28894,2626.457,11.673599,18.186239,38.305791,159.252479
12.001,31.782,31782,2648.237,11.649023,18.120703,38.502399,159.252479
13.001,34.989,34989,2691.194,11.550719,18.006015,37.289983,230.686719
14.001,38.461,38461,2746.945,11.403263,17.760255,33.947647,230.686719
15.001,41.368,41368,2757.603,11.329535,17.760255,35.422207,230.686719
16.001,44.537,44537,2783.303,11.239423,17.694719,34.078719,230.686719
17.002,47.666,47666,2803.622,11.157503,17.661951,32.669695,230.686719
18.002,50.946,50946,2830.054,11.075583,17.612799,31.129599,230.686719
19.002,53.835,53835,2833.125,11.026431,17.612799,32.669695,230.686719
20.002,56.887,56887,2844.059,10.969087,17.580031,33.947647,230.686719
21.002,60.047,60047,2859.095,10.903551,17.547263,33.980415,230.686719
22.002,63.483,63483,2885.308,10.829823,17.432575,32.915455,230.686719
23.002,66.357,66357,2884.809,10.805247,17.416191,33.685503,230.686719
24.002,68.987,68987,2874.169,10.805247,17.514495,33.882111,230.686719
25.002,71.942,71942,2877.395,10.797055,17.514495,34.013183,231.735295
26.003,75.091,75091,2887.818,10.756095,17.498111,33.685503,231.735295
27.003,78.339,78339,2901.148,10.715135,17.465343,33.456127,231.735295
28.003,81.374,81374,2905.907,10.657791,17.465343,33.685503,231.735295
29.003,84.656,84656,2918.861,10.608639,17.399807,33.488895,231.735295
30.003,87.992,87992,2932.758,10.559487,17.383423,32.669695,231.735295
31.003,90.741,90741,2926.824,10.518527,17.416191,33.685503,231.735295
32.003,93.651,93651,2926.292,10.469375,17.416191,33.685503,231.735295
33.003,97.164,97164,2944.065,10.428415,17.350655,33.112063,231.735295
33.936,100.000,100000,2946.715,10.403839,17.367039,32.997375,231.735295
