time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max
1.000,0.940,940,939.888,19.136511,20.578303,27.885567,31.653887
2.000,1.791,1791,895.360,18.317311,22.888447,46.268415,239.337471
3.000,3.191,3191,1063.517,14.106623,21.512191,43.548671,239.337471
4.001,4.966,4966,1241.338,13.090815,20.250623,38.436863,239.337471
5.001,6.543,6543,1308.439,12.935167,20.283391,37.912575,239.337471
6.001,8.204,8204,1367.170,12.681215,20.381695,40.304639,239.337471
7.001,9.924,9924,1417.541,12.460031,20.283391,43.646975,239.337471
8.001,11.950,11950,1493.579,12.312575,20.185087,41.943039,239.337471
9.001,13.791,13791,1532.167,12.214271,20.185087,39.878655,239.337471
10.001,15.731,15731,1572.937,12.107775,20.119551,38.305791,239.337471
11.001,17.765,17765,1614.840,11.919359,20.070399,37.126143,239.337471
12.001,19.733,19733,1644.259,11.829247,20.054015,36.110335,239.337471
13.001,21.563,21563,1658.533,11.780095,20.054015,36.110335,239.337471
14.001,23.244,23244,1660.130,11.771903,20.070399,36.110335,239.337471
15.001,24.959,24959,1663.772,11.747327,20.086783,36.143103,239.337471
16.002,26.767,26767,1672.777,11.665407,20.086783,35.717119,239.337471
17.002,28.953,28953,1702.957,11.542527,20.054015,37.126143,239.337471
18.002,30.881,30881,1715.452,11.444223,20.037631,38.174719,239.337471
19.002,33.080,33080,1740.881,11.354111,20.021247,37.945343,239.337471
20.002,35.417,35417,1770.677,11.231231,19.988479,37.650431,239.337471
21.002,37.698,37698,1794.971,11.165695,19.972095,37.027839,239.337471
22.002,39.716,39716,1805.103,11.124735,19.955711,36.405247,239.337471
23.002,41.467,41467,1802.735,11.124735,19.972095,37.093375,239.337471
24.002,42.908,42908,1787.654,11.124735,19.972095,37.715967,239.337471
25.003,44.238,44238,1769.335,11.091967,19.972095,38.830079,239.337471
26.003,45.451,45451,1747.933,11.100159,19.988479,39.813119,239.337471
27.003,46.720,46720,1730.190,11.083775,19.988479,41.189375,239.337471
28.003,48.018,48018,1714.748,11.075583,19.988479,43.024383,239.337471
29.003,49.298,49298,1699.754,11.067391,19.988479,44.138495,239.337471
30.003,50.580,50580,1685.825,11.051007,19.988479,45.449215,253.624319
31.003,51.989,51989,1676.885,10.960895,19.988479,47.710207,253.624319
32.003,53.458,53458,1670.387,10.903551,19.972095,48.463871,253.624319
33.003,54.968,54968,1665.522,10.870783,19.972095,52.068351,253.624319
34.004,57.371,57371,1687.206,10.780671,19.939327,50.167807,253.624319
35.004,59.768,59768,1707.480,10.698751,19.922943,48.562175,253.624319
36.004,62.263,62263,1729.349,10.633215,19.890175,47.546367,253.624319
37.004,64.732,64732,1749.335,10.584063,19.841023,46.268415,253.624319
38.004,67.136,67136,1766.558,10.551295,19.791871,45.416447,253.624319
39.004,69.563,69563,1783.488,10.518527,19.742719,44.728319,253.624319
40.004,71.701,71701,1792.347,10.510335,19.726335,44.138495,253.624319
41.004,73.701,73701,1797.409,10.502143,19.726335,43.581439,253.624319
42.004,75.769,75769,1803.848,10.502143,19.709951,43.155455,253.624319
43.004,77.747,77747,1807.891,10.477567,19.660799,43.581439,253.624319
44.004,80.276,80276,1824.275,10.444799,19.595263,42.696703,253.624319
45.004,82.603,82603,1835.442,10.444799,19.513343,41.615359,253.624319
46.005,85.140,85140,1850.685,10.403839,19.415039,40.763391,253.624319
47.005,87.527,87527,1862.086,10.395647,19.267583,40.075263,253.624319
48.005,90.062,90062,1876.101,10.362879,19.136511,39.845887,253.624319
49.005,92.196,92196,1881.362,10.354687,19.103743,39.288831,253.624319
50.005,94.095,94095,1881.712,10.362879,19.202047,38.830079,253.624319
51.005,95.683,95683,1875.951,10.362879,19.251199,39.321599,253.624319
52.005,97.628,97628,1877.275,10.354687,19.333119,38.830079,253.624319
53.005,99.595,99595,1878.961,10.338303,19.431423,38.207487,253.624319
53.269,100.000,100000,1877.249,10.346495,19.464191,38.043647,253.624319
