time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,0.952,952,951.901,16.064511,22.134783,33.013759,89.260031,0,0,0.000000
2.000,2.203,2203,1101.414,13.213695,20.037631,27.885567,89.260031,0,0,0.000000
3.000,3.322,3322,1107.254,13.156351,19.742719,30.162943,97.189887,0,0,0.000000
4.000,4.527,4527,1131.635,13.049855,18.612223,27.852799,97.189887,0,0,0.000000
5.001,5.295,5295,1058.869,13.082623,18.759679,59.604991,297.009151,0,0,0.000000
6.001,6.168,6168,1027.867,13.434879,19.841023,65.339391,297.009151,0,0,0.000000
7.001,7.057,7057,1008.022,13.721599,20.054015,71.958527,297.009151,0,0,0.000000
8.001,7.972,7972,996.388,14.065663,20.430847,63.963135,297.009151,0,0,0.000000
9.001,8.805,8805,978.229,14.360575,21.069823,47.054847,297.009151,0,0,0.000000
10.001,9.717,9717,971.601,14.688255,21.217279,37.748735,297.009151,0,0,0.000000
11.001,10.546,10546,958.620,14.991359,21.610495,49.020927,297.009151,0,0,0.000000
12.001,11.303,11303,941.806,15.253503,21.889023,53.051391,297.009151,0,0,0.000000
13.002,12.067,12067,928.112,15.523839,22.216703,50.561023,297.009151,0,0,0.000000
14.002,12.960,12960,925.596,15.728639,22.249471,48.988159,297.009151,0,0,0.000000
15.002,13.759,13759,917.153,15.892479,22.413311,49.643519,297.009151,0,0,0.000000
16.002,14.491,14491,905.579,16.064511,22.740991,57.114623,297.009151,0,0,0.000000
17.002,15.152,15152,891.183,16.187391,22.872063,65.404927,297.009151,0,0,0.000000
18.002,16.113,16113,895.058,16.138239,22.773759,63.995903,297.009151,0,0,0.000000
19.002,17.196,17196,904.940,15.892479,22.626303,61.112319,297.009151,0,0,0.000000
20.003,18.336,18336,916.684,15.671295,22.396927,57.212927,297.009151,0,0,0.000000
21.003,19.507,19507,928.790,15.450111,22.167551,56.033279,297.009151,0,0,0.000000
22.003,20.547,20547,933.841,15.343615,22.151167,53.936127,297.009151,0,0,0.000000
23.003,20.980,20980,912.064,15.450111,22.577151,64.782335,297.009151,0,0,0.000000
24.003,21.746,21746,905.976,15.417343,22.790143,66.650111,297.009151,0,0,0.000000
25.003,22.536,22536,901.336,15.417343,22.921215,68.485119,297.009151,0,0,0.000000
26.003,23.514,23514,904.277,15.368191,22.904831,67.239935,297.009151,0,0,0.000000
27.003,24.394,24394,903.376,15.327231,23.003135,68.485119,297.009151,0,0,0.000000
28.003,25.576,25576,913.323,15.138815,22.790143,66.912255,297.009151,0,0,0.000000
29.003,26.764,26764,922.791,14.983167,22.642687,65.404927,297.009151,0,0,0.000000
30.003,27.964,27964,932.028,14.843903,22.429695,64.225279,297.009151,0,0,0.000000
31.004,29.062,29062,937.375,14.761983,22.315007,62.554111,297.009151,0,0,0.000000
32.004,30.073,30073,939.667,14.778367,22.183935,62.226431,297.009151,0,0,0.000000
33.004,30.969,30969,938.342,14.778367,22.183935,61.734911,297.009151,0,0,0.000000
34.004,32.097,32097,943.917,14.647295,22.118399,61.734911,297.009151,0,0,0.000000
35.004,33.239,33239,949.570,14.548991,22.036479,60.293119,297.009151,0,0,0.000000
36.004,34.268,34268,951.775,14.548991,21.938175,59.277311,297.009151,0,0,0.000000
37.005,35.229,35229,952.019,14.581759,21.905407,57.212927,297.009151,0,0,0.000000
38.005,36.140,36140,950.935,14.598143,21.905407,56.229887,297.009151,0,0,0.000000
39.005,36.862,36862,945.061,14.671871,22.003711,60.293119,297.009151,0,0,0.000000
40.005,37.765,37765,944.008,14.688255,21.954559,61.636607,297.009151,0,0,0.000000
41.005,38.737,38737,944.688,14.696447,21.938175,59.998207,297.009151,0,0,0.000000
42.005,39.637,39637,943.620,14.737407,21.938175,57.901055,297.009151,0,0,0.000000
43.005,40.626,40626,944.673,14.745599,21.889023,57.114623,297.009151,0,0,0.000000
44.006,41.341,41341,939.449,14.737407,21.938175,62.128127,297.009151,0,0,0.000000
45.006,42.434,42434,942.860,14.696447,21.905407,61.702143,297.009151,0,0,0.000000
46.006,43.412,43412,943.622,14.721023,21.839871,61.079551,297.009151,0,0,0.000000
