time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,2.193,2193,2192.764,0.001535,11.059199,218.234879,300.941311,1501,1097,0.577752
2.000,5.115,5115,2557.242,0.001535,10.592255,217.317375,441.188351,3987,1988,0.667280
3.000,7.453,7453,2484.088,0.001535,10.174463,219.545599,471.334911,5486,2434,0.692677
4.000,9.727,9727,2431.529,0.001535,9.854975,220.463103,646.447103,7548,2943,0.719474
5.000,12.957,12957,2591.178,0.002047,9.609215,220.725247,646.447103,9914,3421,0.743457
6.000,17.309,17309,2884.599,0.002047,9.166847,219.676671,646.447103,14622,4223,0.775909
7.001,25.460,25460,3636.860,0.002559,8.683519,67.239935,646.447103,23079,5253,0.814591
8.001,33.254,33254,4156.422,0.003071,8.261631,46.137343,646.447103,28354,5868,0.828531
9.001,39.837,39837,4425.977,0.003071,8.048639,44.204031,657.981439,34625,6559,0.840739
10.001,50.221,50221,5021.689,0.003583,7.815167,40.665087,657.981439,44903,7779,0.852340
11.001,61.176,61176,5561.012,0.003583,7.569407,36.470783,657.981439,52739,8607,0.859697
12.001,72.980,72980,6081.188,0.004095,7.401471,33.456127,657.981439,63835,9903,0.865700
13.001,84.881,84881,6528.786,0.004607,7.286783,32.325631,657.981439,74670,11197,0.869601
14.001,92.601,92601,6613.821,0.004607,7.221247,32.129023,657.981439,81712,12070,0.871297
15.001,99.294,99294,6619.069,0.004607,7.159807,31.358975,657.981439,87256,12744,0.872560
15.435,100.000,100000,6478.720,0.004607,7.163903,31.309823,657.981439,87256,12744,0.872560
