time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,1.568,1568,1567.677,7.409663,9.748479,216.924159,226.754559,121,1626,0.069262
2.000,3.573,3573,1786.229,7.147519,9.461759,215.744511,426.770431,888,3707,0.193254
3.000,6.153,6153,2050.702,6.832127,9.322495,212.074495,426.770431,1812,4892,0.270286
4.001,9.394,9394,2348.190,6.590463,9.175039,15.630335,426.770431,3341,6408,0.342702
5.001,12.563,12563,2512.268,6.447103,9.191423,15.605759,426.770431,5295,8297,0.389567
6.001,15.647,15647,2607.497,6.299647,9.150463,16.629759,426.770431,6618,9608,0.407864
7.001,18.660,18660,2665.366,6.201343,9.134079,16.179199,426.770431,8058,11136,0.419819
8.001,21.606,21606,2700.391,6.111231,9.101311,15.679487,426.770431,9397,12453,0.430069
9.001,24.920,24920,2768.541,6.000639,9.084927,15.114239,426.770431,11213,14228,0.440745
10.001,28.409,28409,2840.535,5.894143,9.027583,14.565375,428.081151,12729,15722,0.447401
11.001,31.664,31664,2878.172,5.836799,8.986623,14.344191,428.081151,14426,17417,0.453035
12.002,34.857,34857,2904.372,5.742591,8.970239,14.098431,428.081151,16387,19362,0.458390
13.002,37.964,37964,2919.927,5.668863,8.978431,14.073855,428.081151,17723,20676,0.461548
14.002,40.878,40878,2919.476,5.636095,8.986623,14.131199,428.081151,19269,22270,0.463877
15.002,43.893,43893,2925.817,5.578751,8.970239,14.229503,428.081151,20642,23567,0.466919
16.002,46.704,46704,2918.616,5.562367,8.978431,14.524415,428.081151,22160,25079,0.469104
17.002,49.503,49503,2911.565,5.533695,8.978431,14.532607,428.081151,23651,26506,0.471539
18.002,52.450,52450,2913.520,5.496831,8.978431,14.794751,428.081151,25050,27848,0.473553
19.002,55.477,55477,2919.471,5.468159,8.994815,14.794751,428.081151,26645,29398,0.475439
20.003,57.749,57749,2887.085,5.451775,9.035775,16.326655,428.081151,27760,30454,0.476861
21.003,59.878,59878,2850.974,5.447679,9.109503,21.856255,428.081151,28796,31514,0.477466
22.003,62.348,62348,2833.643,5.431295,9.134079,25.411583,428.867583,30237,32955,0.478494
23.003,65.006,65006,2825.991,5.427199,9.150463,25.739263,431.226879,31438,34131,0.479464
24.003,67.739,67739,2822.108,5.410815,9.150463,25.739263,431.226879,32698,35354,0.480486
25.003,70.354,70354,2813.817,5.402623,9.166847,25.804799,434.372607,33991,36749,0.480506
26.003,72.987,72987,2806.854,5.406719,9.191423,25.608191,434.372607,35423,38236,0.480905
27.003,75.812,75812,2807.510,5.398527,9.215999,26.132479,434.372607,36695,39553,0.481259
28.003,78.750,78750,2812.156,5.390335,9.232383,26.017791,434.372607,38232,41094,0.481961
29.004,81.559,81559,2812.036,5.382143,9.240575,25.985023,434.372607,39538,42400,0.482536
30.004,84.157,84157,2804.889,5.373951,9.256959,26.214399,434.372607,40856,43709,0.483131
31.004,86.446,86446,2788.237,5.365759,9.273343,26.525695,434.372607,41893,44765,0.483429
32.004,88.787,88787,2774.250,5.357567,9.297919,27.181055,434.372607,43534,46330,0.484443
33.004,91.548,91548,2773.835,5.345279,9.322495,26.968063,434.372607,44625,47352,0.485176
34.004,94.160,94160,2769.055,5.332991,9.347071,26.820607,434.372607,46082,48760,0.485882
35.005,97.023,97023,2771.728,5.320703,9.330687,26.689535,434.372607,47547,50146,0.486698
36.005,99.424,99424,2761.421,5.308415,9.338879,26.509311,434.372607,48699,51301,0.486990
36.125,100.000,100000,2768.151,5.304319,9.338879,26.492927,434.372607,48699,51301,0.486990
