time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1638,1637.878,12.746751,20.365311,30.588927,73.138175,773,883,0.466787
2.000,6.667,3293,1646.368,12.599295,20.545535,36.995071,73.138175,1664,1746,0.487977
3.000,10.001,5248,1749.186,10.338303,20.201471,31.637503,237.764607,2559,2707,0.485948
4.000,13.334,7065,1766.103,10.059775,20.103167,36.863999,237.764607,3455,3626,0.487925
5.000,16.668,8842,1768.244,9.814015,20.234239,33.751039,237.764607,4353,4508,0.491254
6.001,20.002,10641,1773.342,10.010623,20.217855,30.965759,237.764607,5242,5415,0.491883
7.001,23.336,12335,1761.978,10.510335,20.185087,30.457855,237.764607,6041,6370,0.486746
8.001,26.669,14013,1751.451,10.887167,20.152319,30.539775,237.764607,6650,7384,0.473849
9.001,30.003,15498,1721.822,11.517951,20.103167,30.588927,237.764607,7129,8403,0.458988
10.001,33.337,17095,1709.319,11.771903,19.988479,29.900799,237.764607,7596,9524,0.443692
11.001,36.670,18385,1671.190,12.115967,20.054015,29.720575,237.764607,7966,10447,0.432629
12.001,40.004,19611,1634.082,12.451839,20.135935,29.704191,237.764607,8270,11358,0.421337
13.001,43.338,21034,1617.836,12.500991,20.250623,30.457855,237.764607,8937,12141,0.423997
14.001,46.671,22702,1621.405,12.484607,20.299775,30.408703,237.764607,9740,12988,0.428546
15.002,50.005,24544,1636.095,12.451839,20.267007,29.917183,237.764607,10662,13907,0.433961
16.002,53.339,26374,1648.203,12.427263,20.250623,29.704191,237.764607,11577,14828,0.438440
17.002,56.673,28078,1651.471,12.427263,20.267007,29.605887,237.764607,12383,15711,0.440770
18.002,60.007,29775,1653.985,12.369919,20.348927,29.704191,237.764607,13258,16544,0.444869
19.002,63.340,31542,1659.924,12.263423,20.381695,29.769727,242.614271,14186,17403,0.449080
20.002,66.674,33405,1670.069,12.140543,20.381695,29.622271,242.614271,15086,18349,0.451204
21.002,70.008,34978,1665.440,12.042239,20.447231,30.457855,242.614271,15926,19086,0.454873
22.002,73.341,36046,1638.278,12.058623,20.479999,30.965759,339.476479,16444,19636,0.455765
23.002,76.675,37788,1642.779,12.034047,20.447231,30.965759,339.476479,17307,20515,0.457591
24.003,80.009,39462,1644.070,12.017663,20.496383,30.932991,339.476479,18135,21370,0.459056
25.003,83.343,40914,1636.379,11.993087,20.611071,31.653887,339.476479,18852,22091,0.460445
26.003,86.676,42366,1629.279,12.001279,20.692991,32.702463,339.476479,19579,22836,0.461606
27.003,90.010,43722,1619.154,11.984895,20.774911,34.013183,339.476479,20247,23503,0.462789
28.003,93.344,45277,1616.858,11.952127,20.840447,34.373631,339.476479,21043,24258,0.464515
29.003,96.677,46775,1612.755,11.968511,20.889599,34.406399,339.476479,21777,25039,0.465161
30.003,100.000,48433,1614.258,11.943935,20.938751,34.111487,339.476479,22609,25860,0.466463
