time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,1.594,1594,1593.788,7.118847,9.510911,216.793087,227.934207,138,1730,0.073876
2.000,3.490,3490,1744.811,7.032831,9.789439,215.482367,227.934207,657,3236,0.168764
3.000,5.920,5920,1973.099,6.914047,9.699327,68.943871,227.934207,1738,4818,0.265101
4.000,8.777,8777,2194.007,6.627327,9.478143,68.419583,227.934207,3117,6204,0.334406
5.001,11.512,11512,2302.139,6.422527,9.396223,68.419583,425.459711,4464,7514,0.372683
6.001,13.092,13092,2181.744,6.303743,9.314303,214.433791,425.459711,5211,8221,0.387954
7.001,15.719,15719,2245.315,6.205439,9.281535,214.040575,425.459711,6621,9643,0.407095
8.001,18.759,18759,2344.617,6.074367,9.158655,212.991999,425.459711,8430,11461,0.423810
9.001,21.708,21708,2411.740,5.984255,9.125887,84.738047,425.459711,9554,12576,0.431722
10.001,24.676,24676,2467.340,5.877759,9.158655,67.174399,427.819007,11211,14190,0.441361
11.001,27.872,27872,2533.553,5.763071,9.093119,30.588927,427.819007,12728,15659,0.448374
12.001,30.923,30923,2576.657,5.693439,9.101311,29.638655,427.819007,14393,17173,0.455965
13.001,34.155,34155,2627.050,5.648383,9.060351,27.869183,428.867583,15954,18825,0.458725
14.001,37.151,37151,2653.374,5.627903,9.052159,27.181055,428.867583,17311,20214,0.461319
15.002,40.243,40243,2682.598,5.582847,9.027583,26.656767,428.867583,18752,21665,0.463963
16.002,43.468,43468,2716.481,5.550079,9.035775,25.149439,428.867583,20494,23439,0.466483
17.002,46.588,46588,2740.203,5.525503,9.027583,23.969791,428.867583,22122,25062,0.468845
18.002,49.065,49065,2725.572,5.488639,9.003007,24.297471,428.867583,23362,26287,0.470543
19.002,52.319,52319,2753.363,5.459967,9.003007,23.904255,428.867583,24893,27756,0.472810
20.002,55.229,55229,2761.179,5.435391,8.986623,23.576575,428.867583,26407,29253,0.474434
21.002,58.254,58254,2773.729,5.414911,9.003007,23.478271,428.867583,27928,30742,0.476018
22.002,61.416,61416,2791.366,5.402623,9.003007,22.724607,428.867583,29654,32466,0.477366
23.002,64.463,64463,2802.473,5.390335,9.003007,22.347775,428.867583,30983,33847,0.477911
24.002,67.714,67714,2821.150,5.378047,9.019391,21.626879,428.867583,32649,35513,0.478991
25.002,70.663,70663,2826.253,5.365759,9.011199,21.266431,428.867583,33904,36793,0.479568
26.002,73.500,73500,2826.657,5.353471,9.019391,22.282239,428.867583,35599,38503,0.480405
27.003,76.447,76447,2831.102,5.349375,9.027583,22.331391,428.867583,37051,39997,0.480882
28.003,79.330,79330,2832.942,5.328895,9.027583,22.249471,428.867583,38257,41172,0.481650
29.003,81.987,81987,2826.868,5.316607,9.043967,22.724607,428.867583,39774,42640,0.482612
30.003,84.842,84842,2827.795,5.316607,9.060351,22.429695,428.867583,41188,44109,0.482877
31.003,87.667,87667,2827.697,5.312511,9.068543,22.593535,428.867583,42589,45498,0.483488
32.003,90.407,90407,2824.950,5.304319,9.101311,23.101439,428.867583,44101,46947,0.484371
33.003,92.909,92909,2815.152,5.292031,9.117695,23.625727,428.867583,45055,47876,0.484822
34.003,95.473,95473,2807.756,5.292031,9.134079,25.018367,437.518335,46729,49514,0.485531
35.003,96.849,96849,2766.845,5.279743,9.134079,26.656767,582.483967,47065,49813,0.485817
36.004,97.018,97018,2694.681,5.279743,9.142271,29.540351,582.483967,47151,49893,0.485872
37.004,97.231,97231,2627.609,5.279743,9.158655,36.274175,704.118783,47267,49993,0.485986
38.004,97.319,97319,2560.777,5.279743,9.158655,41.713663,704.118783,47306,50040,0.485957
39.004,97.583,97583,2501.882,5.275647,9.175039,68.616191,994.574335,47469,50178,0.486129
40.004,97.700,97700,2442.258,5.275647,9.183231,86.048767,1103.101951,47558,50280,0.486089
41.004,98.256,98256,2396.248,5.279743,9.207807,98.238463,1103.101951,48154,50842,0.486424
41.832,100.000,100000,2390.498,5.271551,9.207807,98.172927,1103.101951,48668,51332,0.486680
