time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,2.297,2297,2296.675,0.004607,16.859135,40.337407,67.436543,1340,1010,0.570213
2.000,6.664,6664,3331.656,0.006143,15.032319,29.540351,67.436543,4527,2170,0.675974
3.000,12.421,12421,4139.957,0.007679,14.237695,27.951103,67.436543,9229,3276,0.738025
4.000,20.490,20490,5122.055,0.008703,13.500415,23.003135,67.436543,16250,4436,0.785555
5.000,29.591,29591,5917.657,0.010239,13.189119,21.102591,67.436543,24343,5383,0.818913
6.001,38.331,38331,6387.908,0.012799,13.017087,20.758527,67.436543,32165,6284,0.836563
7.001,46.819,46819,6687.813,0.013823,12.935167,20.840447,67.436543,39820,7163,0.847541
8.001,56.113,56113,7013.445,0.015359,12.746751,20.545535,67.436543,48192,8110,0.855955
9.001,65.186,65186,7242.191,0.016895,12.574719,20.643839,67.436543,56401,9028,0.862018
10.001,73.718,73718,7371.080,0.018431,12.525567,20.627455,67.436543,63955,9923,0.865684
11.001,82.618,82618,7509.992,0.019967,12.443647,20.578303,67.436543,71974,10851,0.868989
12.001,90.269,90269,7521.682,0.020991,12.460031,20.512767,67.436543,78666,11724,0.870295
13.001,98.128,98128,7547.548,0.022015,12.410879,20.545535,67.436543,85666,12578,0.871972
13.260,100.000,100000,7541.652,0.022527,12.410879,20.512767,67.436543,87215,12785,0.872150
