time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,822,821.733,14.303231,48.824319,116.260863,125.435903,374,469,0.443654
2.000,6.667,1212,605.941,14.245887,62.849023,342.622207,348.127231,571,657,0.464984
3.000,10.001,2417,805.570,12.607487,46.825471,179.175423,348.127231,1166,1267,0.479244
4.001,13.335,3029,757.152,12.025855,45.514751,271.319039,348.127231,1464,1581,0.480788
5.001,16.669,3454,690.708,12.632063,51.642367,265.551871,348.127231,1661,1809,0.478674
6.001,20.003,4621,770.070,11.927551,44.630015,232.652799,348.127231,2258,2379,0.486953
7.001,23.336,5043,720.344,12.181503,48.791551,265.551871,519.831551,2457,2602,0.485669
8.001,26.670,5059,632.302,12.566527,50.757631,292.814847,851.967999,2457,2618,0.484138
9.001,30.003,6009,667.591,11.452415,51.085311,273.678335,851.967999,2955,3070,0.490456
10.001,33.337,6631,663.025,11.608063,50.855935,271.056895,851.967999,3254,3403,0.488809
11.001,36.671,7445,676.745,11.730943,50.298879,247.857151,851.967999,3653,3808,0.489613
12.001,40.004,8004,666.928,11.263999,52.494335,242.876415,851.967999,3953,4067,0.492893
13.001,43.338,8408,646.699,11.329535,54.558719,259.129343,851.967999,4152,4284,0.492176
14.002,46.672,8636,616.790,11.665407,58.556415,272.367615,851.967999,4251,4401,0.491331
15.002,50.006,8819,587.868,11.476991,62.717951,272.367615,851.967999,4351,4484,0.492473
16.002,53.339,9005,562.750,11.329535,69.074943,289.931263,851.967999,4451,4570,0.493404
17.002,56.673,9212,541.823,11.403263,75.694079,284.688383,851.967999,4551,4677,0.493173
18.002,60.007,9468,525.942,11.943935,82.313215,282.853375,851.967999,4651,4833,0.490405
19.002,63.340,9817,516.628,11.509759,87.490559,279.183359,851.967999,4848,4985,0.493034
20.002,66.674,10244,512.144,11.902975,88.211455,292.814847,851.967999,5045,5215,0.491715
21.002,70.008,10248,487.947,11.927551,89.849855,304.611327,1146.093567,5045,5233,0.490854
22.003,73.342,10278,467.127,12.173311,93.126655,343.146495,1492.123647,5045,5249,0.490091
23.003,76.676,10424,453.164,11.698175,96.141311,345.767935,1492.123647,5143,5297,0.492625
24.003,80.009,10456,435.616,11.984895,96.796671,370.409471,1492.123647,5143,5329,0.491119
25.003,83.343,10472,418.831,12.148735,98.041855,455.868415,1492.123647,5143,5345,0.490370
26.003,86.677,10488,403.338,12.361727,100.663295,518.782975,1492.123647,5174,5360,0.491171
27.003,90.010,11018,408.027,11.927551,97.124351,509.870079,1492.123647,5429,5605,0.492025
28.003,93.344,12213,436.128,12.197887,85.983231,418.643967,1492.123647,5954,6276,0.486836
29.003,96.678,13681,471.704,12.656639,74.514431,370.409471,1492.123647,6503,7194,0.474775
30.003,100.000,14815,493.777,12.943359,66.879487,370.147327,1492.123647,6917,7915,0.466357
