time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1455,1454.775,13.148159,23.805951,51.478527,59.473919,676,795,0.459551
2.000,6.668,1855,927.370,13.156351,35.454975,236.453887,335.806463,875,996,0.467664
3.000,10.001,633487,211138.592,0.001023,0.076799,0.143359,335.806463,632563,1033,0.998370
4.000,13.335,1319868,329934.504,0.001023,0.076799,0.141823,335.806463,1318918,1033,0.999217
5.000,16.668,2012953,402554.218,0.001023,0.077311,0.141823,335.806463,2011992,1033,0.999487
6.001,20.002,2708550,451386.724,0.001023,0.077311,0.141823,335.806463,2707604,1033,0.999619
7.001,23.335,3397528,485321.930,0.001023,0.077311,0.142847,335.806463,3396631,1033,0.999696
8.001,26.669,4089171,511106.569,0.001023,0.077311,0.142847,335.806463,4088218,1033,0.999747
9.001,30.002,4781573,531245.682,0.001023,0.077823,0.143359,335.806463,4780630,1033,0.999784
10.001,33.336,5478854,547844.953,0.001023,0.077823,0.143359,335.806463,5477915,1033,0.999811
11.001,36.669,6173960,561228.487,0.001023,0.077823,0.143359,335.806463,6173030,1033,0.999833
12.001,40.003,6877382,573074.424,0.001023,0.077823,0.143359,335.806463,6876463,1033,0.999850
13.001,43.336,7578878,582949.771,0.001023,0.077823,0.143359,335.806463,7577924,1033,0.999864
14.001,46.670,8276855,591163.048,0.001023,0.077823,0.142847,335.806463,8275893,1033,0.999875
15.001,50.003,8972463,598123.351,0.001023,0.077823,0.142847,335.806463,8971593,1033,0.999885
16.001,53.337,9668646,604249.471,0.001023,0.077823,0.143359,335.806463,9667695,1033,0.999893
17.001,56.670,10361983,609487.515,0.001023,0.077823,0.143359,335.806463,10361032,1033,0.999900
18.001,60.004,11055943,614178.148,0.001023,0.077823,0.143871,335.806463,11055005,1033,0.999907
19.001,63.338,11712120,616386.565,0.001023,0.077823,0.144383,335.806463,11711202,1033,0.999912
20.001,66.671,12412135,620566.496,0.001023,0.077823,0.144383,335.806463,12411195,1033,0.999917
21.001,70.005,13104431,623980.254,0.001023,0.077823,0.144383,335.806463,13103467,1033,0.999921
22.001,73.338,13804228,627424.630,0.001023,0.077823,0.144383,335.806463,13803285,1033,0.999925
23.001,76.672,14498279,630319.676,0.001023,0.077823,0.144895,335.806463,14497335,1033,0.999929
24.002,80.005,15201770,633366.770,0.001023,0.077823,0.144895,335.806463,15200832,1033,0.999932
25.002,83.339,15902816,636072.300,0.001023,0.077823,0.144895,335.806463,15901944,1033,0.999935
26.002,86.672,16603667,638562.205,0.001023,0.077823,0.144895,335.806463,16602717,1033,0.999938
27.002,90.006,17299213,640671.657,0.001023,0.077823,0.144895,335.806463,17298295,1033,0.999940
28.002,93.339,17998031,642746.885,0.001023,0.077823,0.144895,335.806463,17997071,1033,0.999943
29.002,96.673,18668826,643712.737,0.001023,0.077823,0.145407,335.806463,18667883,1033,0.999945
30.002,100.000,19365393,645473.199,0.001023,0.077823,0.144895,335.806463,19364448,1033,0.999947
