time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.334,328837.600,328766.464,1.082,1.574,44.150,326.055,387307.400,1048.800,0.997,3.334,39385.645,39382.630,-1.919,-2.741,-78.121,146.331,200634.614,1042.885,0.995,3.335,618289.555,618150.299,4.083,5.888,166.420,505.778,573980.186,1054.715,0.999
2,6.668,1685767.800,842763.899,0.002,0.021,0.100,326.055,1685850.000,1048.800,0.999,6.667,1374723.442,687267.409,0.002,0.020,0.096,146.331,1374137.496,1042.885,0.999,6.668,1996812.158,998260.389,0.002,0.023,0.105,505.778,1997562.504,1054.715,0.999
3,10.002,3042512.400,1013984.576,0.002,0.021,0.101,326.055,3043173.600,1048.800,1.000,10.000,2764580.366,921466.611,0.002,0.020,0.096,146.331,2763446.792,1042.885,1.000,10.003,3320444.434,1106502.541,0.002,0.023,0.107,505.778,3322900.408,1054.715,1.000
4,13.336,4402638.200,1100466.173,0.002,0.022,0.101,326.055,4402411.600,1048.800,1.000,13.334,4146700.253,1036610.810,0.002,0.020,0.095,146.331,4145882.371,1042.885,1.000,13.338,4658576.147,1164321.537,0.002,0.024,0.108,505.778,4658940.829,1054.715,1.000
5,16.669,5755866.800,1150994.905,0.002,0.022,0.102,326.055,5755620.600,1048.800,1.000,16.667,5511885.832,1102309.754,0.002,0.020,0.096,146.331,5511502.810,1042.885,1.000,16.671,5999847.768,1199680.056,0.002,0.023,0.107,505.778,5999738.390,1054.715,1.000
6,20.003,7106389.000,1184228.778,0.002,0.022,0.101,326.055,7107341.800,1048.800,1.000,20.001,6854725.687,1142370.899,0.002,0.021,0.096,146.331,6855400.466,1042.885,1.000,20.005,7358052.313,1226086.657,0.002,0.023,0.107,505.778,7359283.134,1054.715,1.000
7,23.336,8453820.400,1207523.933,0.002,0.022,0.101,326.055,8453447.000,1048.800,1.000,23.335,8179987.901,1168472.342,0.002,0.021,0.096,146.331,8179802.444,1042.885,1.000,23.338,8727652.899,1246575.524,0.002,0.023,0.107,505.778,8727091.556,1054.715,1.000
8,26.670,9800018.800,1224844.205,0.002,0.022,0.102,326.055,9799611.000,1048.800,1.000,26.668,9481586.796,1185097.123,0.002,0.021,0.096,146.331,9481314.411,1042.885,1.000,26.672,10118450.804,1264591.287,0.002,0.023,0.108,505.778,10117907.589,1054.715,1.000
9,30.004,11156675.200,1239469.522,0.002,0.022,0.102,326.055,11157124.400,1048.800,1.000,30.002,10792140.118,1199006.999,0.002,0.021,0.096,146.331,10793468.178,1042.885,1.000,30.006,11521210.282,1279932.046,0.002,0.023,0.108,505.778,11520780.622,1054.715,1.000
10,33.338,12504409.800,1250279.714,0.002,0.022,0.102,326.055,12504426.000,1048.800,1.000,33.336,12104979.770,1210366.497,0.002,0.021,0.096,146.331,12105139.002,1042.885,1.000,33.339,12903839.830,1290192.930,0.002,0.023,0.108,505.778,12903712.998,1054.715,1.000
