time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1604,1603.857,11.075583,23.101439,47.775743,78.839807,771,852,0.475046
2.000,6.667,325643,162809.525,0.001023,0.077823,0.179711,162.267135,324709,1042,0.996801
3.000,10.001,1023946,341291.631,0.001023,0.077823,0.150527,162.267135,1025718,1042,0.998985
4.000,13.334,1722878,430690.750,0.001023,0.077823,0.147967,162.267135,1721960,1042,0.999395
5.000,16.668,2421324,484233.375,0.001023,0.077823,0.146943,162.267135,2420383,1042,0.999570
6.000,20.001,3119737,519924.678,0.001023,0.077823,0.146943,162.267135,3118779,1042,0.999666
7.000,23.335,3813064,544690.685,0.001023,0.077823,0.146431,162.267135,3812121,1042,0.999727
8.000,26.668,4512181,563988.758,0.001023,0.077823,0.146431,162.267135,4511229,1042,0.999769
9.001,30.002,5207854,578615.814,0.001023,0.077823,0.146431,162.267135,5206947,1042,0.999800
10.001,33.335,5907132,590677.958,0.001023,0.077823,0.145919,162.267135,5906179,1042,0.999824
11.001,36.669,6605672,600479.905,0.001023,0.077823,0.145919,162.267135,6604716,1042,0.999842
12.001,40.002,7306394,608830.085,0.001023,0.077823,0.145919,162.267135,7305424,1042,0.999857
13.001,43.336,8010844,616182.310,0.001023,0.077823,0.145919,162.267135,8009884,1042,0.999870
14.001,46.669,8710180,622120.711,0.001023,0.077823,0.145919,162.267135,8709214,1042,0.999880
15.001,50.003,9409785,627283.682,0.001023,0.077823,0.145919,162.267135,9408814,1042,0.999889
16.001,53.336,10093940,630835.726,0.001023,0.077823,0.145919,162.267135,10092978,1042,0.999897
17.001,56.670,10791668,634768.185,0.001023,0.077823,0.145407,162.267135,10790721,1042,0.999903
18.001,60.003,11483546,637938.724,0.001023,0.077823,0.145919,162.267135,11482583,1042,0.999909
19.001,63.337,12186291,641347.449,0.001023,0.077823,0.145407,162.267135,12185320,1042,0.999914
20.001,66.670,12890162,644471.568,0.001023,0.077823,0.145407,162.267135,12889192,1042,0.999919
21.001,70.004,13590842,647146.206,0.001023,0.077823,0.145407,162.267135,13589907,1042,0.999923
22.001,73.338,14280686,649085.178,0.001023,0.077823,0.145407,162.267135,14279769,1042,0.999927
23.001,76.671,14969093,650793.091,0.001023,0.077823,0.145407,162.267135,14968135,1042,0.999930
24.001,80.005,15654955,652252.622,0.001023,0.077823,0.145407,162.267135,15654004,1042,0.999933
25.001,83.338,16347822,653875.564,0.001023,0.077823,0.145407,162.267135,16346906,1042,0.999936
26.001,86.672,17044798,655531.710,0.001023,0.077823,0.145407,162.267135,17043832,1042,0.999939
27.002,90.005,17741869,657068.724,0.001023,0.077823,0.145407,162.267135,17740905,1042,0.999941
28.002,93.339,18443093,658644.279,0.001023,0.077823,0.145919,162.267135,18442115,1042,0.999944
29.002,96.672,19134054,659757.288,0.001023,0.077823,0.145919,162.267135,19133100,1042,0.999946
30.002,100.000,19818599,660582.137,0.001023,0.078335,0.145919,162.267135,19817686,1042,0.999947
