time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,3455,3454.696,5.173247,8.278015,11.444223,219.021311,1760,1870,0.484848
2.000,6.668,7242,3620.489,5.062655,8.151039,11.026431,219.676671,3654,3839,0.487655
3.000,10.001,10821,3606.588,5.025791,8.368127,11.247615,219.676671,5524,5713,0.491590
4.001,13.335,13860,3464.527,5.410815,8.413183,11.370495,222.691327,6717,7584,0.469687
5.001,16.669,16384,3276.400,5.742591,8.519679,11.444223,222.691327,7524,9320,0.446687
6.001,20.002,18801,3133.136,6.029311,8.601599,11.730943,222.691327,8173,11141,0.423165
7.001,23.336,22138,3162.192,6.029311,8.568831,11.542527,222.691327,9842,13080,0.429369
8.001,26.670,25947,3243.011,5.828607,8.462335,11.378687,222.691327,11498,14673,0.439341
9.001,30.004,29543,3282.158,5.738495,8.413183,11.378687,422.051839,13564,16727,0.447790
10.001,33.337,32952,3294.813,5.664767,8.413183,11.509759,422.051839,15063,18220,0.452573
11.001,36.671,36760,3341.444,5.595135,8.380415,11.427839,422.051839,17038,20235,0.457114
12.001,40.005,40114,3342.456,5.574655,8.396799,11.591679,422.051839,18753,21973,0.460468
13.001,43.338,43541,3348.944,5.537791,8.380415,11.567103,422.051839,20370,23611,0.463155
14.001,46.672,47017,3358.003,5.488639,8.388607,11.796479,422.051839,22116,25403,0.465414
15.002,50.006,50652,3376.422,5.459967,8.380415,11.919359,422.051839,24054,27362,0.467831
16.002,53.339,54298,3393.256,5.423103,8.339455,11.845631,422.051839,25548,28841,0.469727
17.002,56.673,58001,3411.463,5.394431,8.339455,11.788287,422.051839,27740,30920,0.472895
18.002,60.006,61595,3421.592,5.378047,8.331263,11.739135,422.051839,29214,32418,0.474007
19.002,63.340,65478,3445.851,5.357567,8.343551,11.796479,422.051839,31535,34654,0.476439
20.002,66.673,69353,3467.296,5.337087,8.327167,11.722751,422.051839,33324,36478,0.477408
21.002,70.007,72787,3465.696,5.320703,8.306687,11.747327,422.051839,35077,38244,0.478403
22.002,73.341,76357,3470.424,5.296127,8.306687,11.706367,422.051839,36976,40127,0.479566
23.002,76.674,79931,3474.911,5.296127,8.314879,11.591679,422.051839,38543,41759,0.479976
24.003,80.008,82283,3428.100,5.279743,8.364031,13.279231,422.051839,39667,42847,0.480731
25.003,83.342,85640,3425.246,5.267455,8.380415,13.721599,422.051839,41494,44549,0.482247
26.003,86.676,89584,3445.183,5.246975,8.364031,13.451263,422.051839,43646,46703,0.483082
27.003,90.009,93053,3446.051,5.242879,8.376319,13.320191,422.051839,45431,48497,0.483679
28.003,93.343,96853,3458.684,5.218303,8.347647,13.221887,422.051839,47166,50162,0.484609
29.003,96.676,100483,3464.584,5.197823,8.347647,13.189119,427.032575,49197,52073,0.485800
30.003,100.000,104181,3472.357,5.185535,8.339455,13.164543,429.654015,51106,54055,0.485979
