time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.334,2741.600,2741.303,5.893,9.571,56.146,242.221,1518.800,1650.600,0.479,3.334,1854.887,1854.555,4.924,8.114,-16.081,185.157,1077.266,1192.655,0.472,3.334,3628.313,3628.050,6.861,11.027,128.374,299.285,1960.334,2108.545,0.485
2,6.668,5718.000,2858.679,5.604,9.408,53.515,282.224,2991.000,3145.000,0.486,6.667,3867.797,1933.631,4.786,8.130,-28.994,169.817,1971.511,2129.435,0.478,6.668,7568.203,3783.727,6.422,10.686,136.024,394.632,4010.489,4160.565,0.494
3,10.001,8384.600,2794.595,5.573,10.244,54.103,282.513,4360.200,4503.400,0.492,10.001,5388.609,1796.014,4.736,7.004,-33.554,170.416,2773.258,2888.126,0.489,10.001,11380.591,3793.175,6.410,13.485,141.761,394.609,5947.142,6118.674,0.494
4,13.335,10988.400,2746.821,5.675,12.483,48.520,285.318,5438.200,5886.800,0.482,13.334,6659.535,1664.705,4.934,2.933,-42.110,175.913,3355.942,3487.473,0.471,13.335,15317.265,3828.937,6.415,22.033,139.149,394.722,7520.458,8286.127,0.493
5,16.669,13506.800,2701.072,5.846,11.834,47.967,285.318,6400.200,7501.600,0.464,16.668,8743.818,1748.566,5.543,4.181,-41.509,175.913,4352.154,4657.481,0.442,16.669,18269.782,3653.577,6.149,19.488,137.444,394.722,8448.246,10345.719,0.487
6,20.002,15850.000,2641.384,6.066,10.222,48.310,293.837,7112.400,9019.600,0.447,20.002,10807.516,1801.058,5.901,7.036,-39.400,177.145,5180.785,5688.239,0.412,20.002,20892.484,3481.711,6.232,13.408,136.019,410.530,9044.015,12350.961,0.481
7,23.336,18277.200,2610.730,6.119,9.729,52.206,293.942,8170.800,10564.200,0.442,23.336,12700.426,1814.138,5.977,7.822,-31.797,177.374,6023.700,6791.486,0.407,23.336,23853.974,3407.321,6.260,11.635,136.209,410.510,10317.900,14336.914,0.477
8,26.670,21037.200,2629.350,6.145,9.706,48.362,425.171,9380.000,11964.600,0.443,26.669,14145.420,1767.962,5.824,7.895,-37.984,-1.808,6536.373,7704.916,0.414,26.670,27928.980,3490.737,6.465,11.517,134.709,852.150,12223.627,16224.284,0.472
9,30.004,23469.800,2607.448,6.106,9.699,53.715,466.066,10677.400,13361.200,0.447,30.003,14957.604,1661.758,5.721,7.907,-32.524,62.944,6994.408,8370.258,0.422,30.004,31981.996,3553.139,6.491,11.491,139.954,869.188,14360.392,18352.142,0.472
10,33.337,26621.800,2661.872,6.095,9.558,46.422,466.066,12150.200,14947.800,0.449,33.337,17530.571,1752.839,5.598,8.074,-38.775,62.944,8002.724,9902.392,0.437,33.338,35713.029,3570.906,6.592,11.043,131.620,869.188,16297.676,19993.208,0.460
11,36.671,29757.800,2704.946,6.087,9.504,46.055,466.066,13647.200,16626.800,0.449,36.670,19831.112,1802.604,5.455,8.112,-38.383,62.944,8876.999,11374.553,0.438,36.671,39684.488,3607.288,6.720,10.897,130.494,869.188,18417.401,21879.047,0.460
12,40.005,32743.600,2728.324,6.065,9.486,46.896,466.066,15006.800,18217.000,0.448,40.004,22052.001,1837.446,5.377,8.098,-36.697,62.944,9684.091,12875.490,0.427,40.005,43435.199,3619.203,6.754,10.874,130.489,869.188,20329.509,23558.510,0.469
13,43.338,35913.400,2762.260,5.992,9.408,46.542,466.066,16573.200,19803.600,0.453,43.338,24974.890,1920.922,5.377,8.180,-35.733,62.944,11049.399,14269.058,0.435,43.339,46851.910,3603.597,6.608,10.635,128.817,869.188,22097.001,25338.142,0.471
14,46.672,39264.000,2804.254,5.910,9.341,44.202,466.066,18238.000,21461.000,0.457,46.672,28279.289,2019.718,5.361,8.225,-35.171,62.944,12725.612,15888.754,0.444,46.672,50248.711,3588.789,6.458,10.456,123.576,869.188,23750.388,27033.246,0.471
15,50.006,42539.800,2835.665,5.866,9.316,43.113,466.066,19880.400,23147.000,0.461,50.005,31279.422,2085.061,5.347,8.252,-33.960,62.944,14283.299,17482.671,0.449,50.006,53800.178,3586.269,6.386,10.379,120.186,869.188,25477.501,28811.329,0.472
16,53.340,45762.800,2859.851,5.817,9.273,42.492,466.066,21412.200,24692.400,0.463,53.339,34422.344,2151.151,5.347,8.273,-33.084,62.944,15904.634,19104.321,0.454,53.340,57103.256,3568.550,6.287,10.273,118.068,869.188,26919.766,30280.479,0.472
17,56.673,49016.800,2883.024,5.784,9.277,41.756,504.103,23165.600,26426.400,0.466,56.672,37422.199,2201.062,5.321,8.311,-32.720,129.956,17360.798,20595.670,0.458,56.673,60611.401,3564.985,6.248,10.242,116.232,878.249,28970.402,32257.130,0.475
18,60.007,52295.600,2904.992,5.753,9.273,40.521,504.103,24729.600,27958.400,0.468,60.006,40355.127,2241.696,5.296,8.312,-31.835,129.956,18832.006,22070.708,0.461,60.007,64236.073,3568.288,6.211,10.235,112.877,878.249,30627.194,33846.092,0.476
19,63.340,55573.200,2924.589,5.729,9.297,40.151,504.103,26421.400,29644.600,0.470,63.340,43264.309,2276.813,5.286,8.343,-30.147,129.956,20217.492,23508.586,0.463,63.341,67882.091,3572.364,6.173,10.251,110.448,878.249,32625.308,35780.614,0.478
20,66.674,58900.400,2944.703,5.702,9.304,39.630,504.103,28128.400,31340.800,0.472,66.673,46333.351,2316.409,5.272,8.349,-29.629,129.956,21826.286,25106.378,0.465,66.674,71467.449,3572.997,6.133,10.258,108.889,878.249,34430.514,37575.222,0.479
21,70.007,62183.400,2960.799,5.679,9.291,38.814,504.103,29742.000,32952.600,0.474,70.007,49366.267,2350.514,5.246,8.337,-28.115,129.956,23208.962,26501.468,0.467,70.008,75000.533,3571.084,6.111,10.245,105.743,878.249,36275.038,39403.732,0.480
22,73.341,65552.800,2979.359,5.648,9.273,36.553,504.103,31512.000,34710.600,0.475,73.341,52471.444,2384.805,5.221,8.325,-24.234,129.956,24902.240,28159.813,0.470,73.342,78634.156,3573.913,6.076,10.222,97.339,878.249,38121.760,41261.387,0.481
23,76.675,68933.000,2996.768,5.621,9.247,33.420,504.103,33103.000,36326.000,0.476,76.674,55452.949,2410.731,5.220,8.319,-19.142,129.956,26313.165,29595.568,0.471,76.675,82413.051,3582.806,6.023,10.175,85.982,878.249,39892.835,43056.432,0.482
24,80.009,71950.000,2997.595,5.602,9.249,22.546,504.103,34616.800,37833.400,0.477,80.008,58487.968,2436.734,5.219,8.337,1.241,129.956,27905.292,31132.527,0.473,80.009,85412.032,3558.456,5.984,10.160,43.851,878.249,41328.308,44534.273,0.482
25,83.342,75120.800,3004.514,5.582,9.245,21.669,506.462,36190.200,39355.600,0.479,83.342,61497.694,2459.644,5.211,8.342,4.024,133.202,29330.979,32545.510,0.474,83.342,88743.906,3549.384,5.953,10.149,39.315,879.722,43049.421,46165.690,0.483
26,86.676,78459.800,3017.368,5.557,9.242,20.626,506.462,37955.400,41081.800,0.480,86.676,64226.117,2469.973,5.180,8.321,5.967,133.202,30750.733,33939.826,0.476,86.676,92693.483,3564.762,5.933,10.164,35.285,879.722,45160.067,48223.774,0.484
27,90.009,81653.400,3023.883,5.544,9.269,19.974,506.462,39549.600,42668.800,0.481,90.009,66834.824,2475.100,5.170,8.310,6.740,133.202,31950.775,35118.837,0.477,90.010,96471.976,3572.665,5.918,10.229,33.207,879.722,47148.425,50218.763,0.485
28,93.343,84661.800,3023.320,5.533,9.309,19.749,506.462,40937.800,44041.600,0.481,93.343,69115.348,2468.140,5.147,8.270,6.798,133.202,33112.773,36314.774,0.477,93.344,100208.252,3578.500,5.919,10.348,32.700,879.722,48762.827,51768.426,0.486
29,96.677,87710.200,3024.177,5.519,9.359,19.556,508.376,42584.000,45641.600,0.482,96.676,71559.125,2467.294,5.125,8.227,6.924,136.860,34386.245,37584.410,0.478,96.678,103861.275,3581.061,5.913,10.490,32.188,879.891,50781.755,53698.790,0.486
30,100.000,90756.600,3024.910,5.508,9.414,19.553,508.900,44057.200,47120.400,0.483,100.000,73840.538,2461.086,5.097,8.186,7.059,137.603,35384.585,38611.153,0.478,100.000,107672.662,3588.734,5.920,10.642,32.047,880.197,52729.815,55629.647,0.487
