time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1666,1665.639,5.406719,7.790591,220.332031,533.725183,186121,1047,0.994406
2.000,6.668,1315200,657507.995,0.001535,0.022015,0.096255,533.725183,1314575,1047,0.999204
3.000,10.001,2720621,906771.528,0.001535,0.022527,0.095231,533.725183,2720242,1047,0.999615
4.000,13.335,4122412,1030499.911,0.001535,0.023039,0.094207,533.725183,4121707,1047,0.999746
5.000,16.668,5526113,1105119.277,0.001535,0.022527,0.096255,533.725183,5525440,1047,0.999811
6.001,20.002,6918108,1152893.785,0.001535,0.022015,0.096767,533.725183,6918009,1047,0.999849
7.001,23.336,8302837,1185988.332,0.001535,0.022015,0.097279,533.725183,8302065,1047,0.999874
8.001,26.669,9704630,1212950.260,0.001535,0.022015,0.097791,533.725183,9704434,1047,0.999892
9.001,30.003,11111587,1234491.816,0.001535,0.022015,0.097791,533.725183,11113215,1047,0.999906
10.001,33.337,12525172,1252380.691,0.001535,0.022015,0.097791,533.725183,12524915,1047,0.999916
11.003,36.677,13944930,1267350.504,0.001535,0.022015,0.097279,533.725183,13946811,1047,0.999925
12.003,40.011,15342117,1278160.992,0.001535,0.022015,0.097791,533.725183,15341755,1047,0.999932
13.003,43.345,16689457,1283472.849,0.001535,0.022015,0.097791,533.725183,16689396,1047,0.999937
14.003,46.678,18079637,1291082.163,0.001535,0.021503,0.098303,533.725183,18079403,1047,0.999942
15.004,50.012,19461228,1297109.633,0.001535,0.022015,0.098303,533.725183,19460921,1047,0.999946
16.004,53.345,20856876,1303262.057,0.001535,0.022015,0.098303,533.725183,20856751,1047,0.999950
17.004,56.679,22246695,1308348.129,0.001535,0.022015,0.098303,533.725183,22246330,1047,0.999953
18.004,60.012,23617909,1311835.620,0.001535,0.022015,0.098303,533.725183,23619413,1047,0.999956
19.004,63.346,25012554,1316189.223,0.001535,0.022015,0.098303,533.725183,25013259,1047,0.999958
20.004,66.679,26376051,1318550.284,0.001535,0.022015,0.098303,533.725183,26375772,1047,0.999960
21.004,70.013,27739010,1320660.882,0.001535,0.022015,0.098303,533.725183,27738864,1047,0.999962
22.004,73.346,29081676,1321657.181,0.001535,0.022015,0.098303,533.725183,29082091,1047,0.999964
23.004,76.680,30442036,1323330.919,0.001535,0.022015,0.098303,533.725183,30441185,1047,0.999966
24.004,80.014,31794114,1324522.124,0.001535,0.022015,0.098303,533.725183,31793522,1047,0.999967
25.004,83.348,33178324,1326906.234,0.001535,0.022015,0.098303,533.725183,33179840,1047,0.999968
26.004,86.681,34545680,1328458.729,0.001535,0.022015,0.098303,533.725183,34544934,1047,0.999970
27.004,90.015,35896354,1329278.493,0.001535,0.022015,0.098303,533.725183,35897205,1047,0.999971
28.004,93.348,37284351,1331372.287,0.001535,0.022527,0.098303,533.725183,37284329,1047,0.999972
29.005,96.682,38646675,1332436.723,0.001535,0.022527,0.098303,533.725183,38647612,1047,0.999973
30.005,100.000,40007706,1333386.649,0.001535,0.022527,0.098303,533.725183,40007158,1047,0.999974
