time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,3454,3453.766,5.386239,8.163327,10.485759,257.425407,1856,2023,0.478474
2.000,6.667,6410,3204.743,5.185535,8.232959,31.473663,419.692543,3550,3666,0.491962
3.000,10.001,9601,3200.061,5.079039,8.323071,25.100287,419.692543,4944,5126,0.490963
4.000,13.334,12774,3193.248,5.365759,8.318975,21.823487,419.692543,6337,6916,0.478156
5.000,16.668,15474,3094.569,5.701631,8.318975,20.070399,419.692543,7234,8697,0.454083
6.000,20.002,18072,3011.768,5.914623,8.335359,16.383999,419.692543,7954,10446,0.432283
7.001,23.335,20827,2975.061,6.008831,8.323071,14.254079,419.692543,8955,12181,0.423685
8.001,26.669,24485,3060.399,5.902335,8.310783,13.041663,419.692543,10835,14063,0.435176
9.001,30.002,28032,3114.431,5.820415,8.253439,12.173311,419.692543,12646,15876,0.443377
10.001,33.336,31855,3185.246,5.750783,8.290303,11.993087,419.692543,14634,17798,0.451221
11.001,36.670,35141,3194.387,5.726207,8.335359,12.345343,419.692543,16289,19475,0.455458
12.001,40.003,38503,3208.337,5.689343,8.347647,12.386303,419.692543,17954,21184,0.458736
13.001,43.337,41842,3218.366,5.660671,8.339455,12.443647,419.692543,19399,22637,0.461485
14.001,46.670,43611,3114.831,5.648383,8.372223,16.097279,419.692543,20182,23446,0.462593
15.001,50.004,45658,3043.635,5.631999,8.421375,33.619967,419.692543,21295,24565,0.464348
16.001,53.337,48327,3020.206,5.623807,8.429567,34.504703,419.692543,22877,26188,0.466259
17.001,56.671,51664,3038.829,5.599231,8.437759,32.767999,419.692543,24346,27659,0.468147
18.001,60.005,54688,3037.987,5.578751,8.437759,33.652735,426.508287,25951,29312,0.469591
19.001,63.338,58086,3056.920,5.550079,8.437759,32.407551,426.508287,27467,30687,0.472315
20.002,66.672,61361,3067.814,5.529599,8.470527,32.210943,426.508287,29384,32609,0.473989
21.002,70.005,64942,3092.236,5.517311,8.478719,30.441471,426.508287,31289,34446,0.475987
22.002,73.339,68391,3108.443,5.505023,8.486911,29.900799,426.508287,32888,36080,0.476859
23.002,76.673,71972,3128.979,5.484543,8.495103,27.131903,426.508287,34699,37871,0.478145
24.002,80.006,75147,3130.894,5.468159,8.495103,25.985023,426.508287,36319,39486,0.479111
25.002,83.340,78307,3132.038,5.468159,8.527871,25.608191,426.508287,37841,41095,0.479388
26.002,86.673,81229,3123.953,5.464063,8.577023,24.838143,426.508287,39185,42410,0.480238
27.002,90.007,84470,3128.278,5.451775,8.658943,23.461887,426.508287,40905,44057,0.481451
28.002,93.341,87393,3120.937,5.447679,8.724479,22.708223,426.508287,42509,45624,0.482328
29.002,96.674,90924,3135.070,5.435391,8.708095,21.250047,426.508287,43920,47038,0.482860
30.002,100.000,94259,3141.727,5.427199,8.716287,21.102591,426.508287,46202,49279,0.483887
