time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.334,2726.800,2726.508,6.066,17.663,37.472,291.058,1478.200,1627.400,0.472,3.334,1674.481,1674.210,5.203,-5.683,-9.435,188.569,830.950,976.808,0.452,3.334,3779.119,3778.806,6.930,41.008,84.378,393.548,2125.450,2277.992,0.492
2,6.668,5671.200,2835.277,5.643,9.644,44.186,352.505,3049.600,3189.600,0.488,6.667,4252.922,2126.196,5.217,8.092,4.127,214.396,2271.472,2398.390,0.485,6.668,7089.478,3544.358,6.070,11.196,84.245,490.614,3827.728,3980.810,0.492
3,10.001,9024.600,3007.845,5.419,9.152,32.725,352.505,4742.800,4887.800,0.492,10.001,7602.563,2533.871,5.138,8.281,-1.880,214.396,4041.508,4173.608,0.491,10.002,10446.637,3481.818,5.700,10.024,67.330,490.614,5444.092,5601.992,0.494
4,13.335,12183.600,3045.576,5.549,9.028,29.827,353.029,6090.000,6579.400,0.481,13.334,10655.174,2663.501,5.371,8.208,-3.781,215.864,5412.850,5674.505,0.474,13.335,13712.026,3427.651,5.728,9.849,63.435,490.194,6767.150,7484.295,0.489
5,16.669,14688.200,2937.313,5.840,9.055,30.622,393.767,6961.600,8140.200,0.462,16.667,13010.846,2601.893,5.699,8.191,-1.230,286.173,6356.260,7019.365,0.448,16.670,16365.554,3272.734,5.982,9.918,62.473,501.360,7566.940,9261.035,0.476
6,20.002,17058.200,2842.731,6.097,9.043,28.785,393.767,7664.000,9755.400,0.441,20.002,15492.177,2581.754,5.933,8.303,-1.098,286.173,7213.456,8653.719,0.426,20.003,18624.223,3103.708,6.262,9.783,58.668,501.360,8114.544,10857.081,0.455
7,23.336,19204.000,2743.144,6.263,9.136,32.747,393.767,8262.800,11178.600,0.426,23.335,17036.232,2433.460,6.066,8.240,-0.552,286.173,7531.984,9580.465,0.409,23.337,21371.768,3052.828,6.460,10.032,66.046,501.360,8993.616,12776.735,0.443
8,26.670,21929.200,2740.867,6.212,9.177,37.480,431.437,9732.800,12694.600,0.435,26.668,18295.203,2286.629,5.956,8.104,-3.420,416.265,8138.562,10354.560,0.427,26.671,25563.197,3195.106,6.468,10.251,78.380,446.608,11327.038,15034.640,0.442
9,30.003,24675.200,2741.415,6.157,9.269,40.367,431.437,11044.400,14023.000,0.441,30.002,19500.587,2166.486,5.833,7.862,-4.653,416.265,8643.335,10994.123,0.438,30.004,29849.813,3316.345,6.481,10.677,85.387,446.608,13445.465,17051.877,0.443
10,33.337,27425.400,2742.271,6.120,9.372,43.277,442.027,12413.800,15413.600,0.445,33.336,20521.845,2051.960,5.737,7.722,-12.795,397.962,9084.311,11570.047,0.439,33.338,34328.955,3432.582,6.504,11.021,99.348,486.092,15743.289,19257.153,0.452
11,36.670,29757.200,2704.940,6.088,9.522,47.456,442.027,13564.000,16579.800,0.448,36.670,21379.040,1943.343,5.663,7.519,-12.221,397.962,9425.742,12023.141,0.438,36.671,38135.360,3466.536,6.514,11.524,107.133,486.092,17702.258,21136.459,0.459
12,40.004,32232.000,2685.746,6.074,9.798,50.237,442.027,14725.800,17828.400,0.450,40.003,22504.669,1875.195,5.578,7.069,-11.366,397.962,9844.400,12695.005,0.434,40.005,41959.331,3496.298,6.569,12.526,111.840,486.092,19607.200,22961.795,0.466
13,43.338,34944.600,2687.796,6.068,10.230,49.177,442.027,16059.200,19285.800,0.451,43.337,23977.294,1844.219,5.496,6.308,-11.797,397.962,10491.142,13727.492,0.428,43.338,45911.906,3531.374,6.640,14.153,110.150,486.092,21627.258,24844.108,0.473
14,46.671,37441.800,2674.169,6.042,10.404,48.611,445.016,17230.600,20477.200,0.454,46.670,25820.305,1844.124,5.466,6.047,-11.514,401.864,11379.163,14616.276,0.433,46.672,49063.295,3504.214,6.618,14.761,108.737,488.167,23082.037,26338.124,0.474
15,50.005,40011.600,2667.197,6.019,10.889,52.188,445.016,18577.600,21835.400,0.456,50.004,27509.461,1833.783,5.428,5.202,-4.624,401.864,12203.963,15469.328,0.436,50.006,52513.739,3500.612,6.611,16.576,109.000,488.167,24951.237,28201.472,0.477
16,53.338,42726.800,2670.185,5.997,11.020,52.499,445.016,20000.600,23283.000,0.459,53.337,29257.840,1828.437,5.419,5.015,-3.668,401.864,13255.734,16497.758,0.441,53.340,56195.760,3511.933,6.576,17.025,108.666,488.167,26745.466,30068.242,0.477
17,56.672,45781.200,2692.772,5.960,10.946,51.215,445.016,21410.600,24700.200,0.462,56.671,31849.852,1873.342,5.426,5.185,-3.805,401.864,14513.453,17750.193,0.446,56.673,59712.548,3512.203,6.493,16.708,106.235,488.167,28307.747,31650.207,0.478
18,60.006,48304.400,2683.340,5.939,10.933,52.213,446.379,22686.600,25990.200,0.464,60.005,33791.610,1877.138,5.414,5.208,-1.554,404.625,15327.983,18591.113,0.448,60.006,62817.190,3489.543,6.464,16.659,105.979,488.132,30045.217,33389.287,0.479
19,63.339,51182.200,2693.561,5.906,10.754,53.733,446.379,24161.000,27409.800,0.467,63.338,36448.098,1918.145,5.398,5.529,3.301,404.625,16868.133,20091.113,0.454,63.340,65916.302,3468.978,6.414,15.980,104.165,488.132,31453.867,34728.487,0.479
20,66.673,54297.800,2714.648,5.879,10.527,52.288,446.379,25780.600,29002.600,0.469,66.672,39265.906,1963.118,5.383,5.983,4.380,404.625,18149.885,21346.394,0.457,66.673,69329.694,3466.178,6.374,15.070,100.196,488.132,33411.315,36658.806,0.481
21,70.006,57569.800,2741.175,5.845,10.466,50.466,446.379,27427.000,30599.200,0.471,70.005,41929.093,1996.445,5.363,6.063,2.003,404.625,19461.201,22640.287,0.460,70.007,73210.507,3485.904,6.327,14.869,98.929,488.132,35392.799,38558.113,0.482
22,73.340,60447.400,2747.345,5.829,10.520,49.742,448.686,28962.800,32161.200,0.472,73.339,44128.004,2005.627,5.337,5.974,1.976,408.357,20723.419,23939.949,0.462,73.342,76766.796,3489.062,6.322,15.067,97.507,489.014,37202.181,40382.451,0.483
23,76.674,63683.600,2768.589,5.802,10.476,48.231,448.686,30501.600,33681.000,0.474,76.673,46832.351,2035.998,5.310,6.035,0.322,408.357,21951.685,25180.586,0.464,76.675,80534.849,3501.180,6.293,14.917,96.140,489.014,39051.515,42181.414,0.484
24,80.007,66689.800,2778.478,5.782,10.496,46.275,448.791,32039.400,35216.000,0.475,80.006,49139.318,2047.282,5.294,5.956,0.779,408.567,23297.703,26529.536,0.466,80.009,84240.282,3509.674,6.270,15.035,91.771,489.014,40781.097,43902.464,0.485
25,83.341,70017.600,2800.436,5.752,10.265,44.548,448.791,33673.800,36882.600,0.476,83.340,52506.008,2100.048,5.317,6.371,2.158,408.567,24881.646,28106.957,0.468,83.343,87529.192,3500.823,6.188,14.158,86.938,489.014,42465.954,45658.243,0.484
26,86.675,73175.400,2814.172,5.729,10.070,43.916,448.791,35183.200,38405.600,0.477,86.673,55801.989,2146.036,5.326,6.752,3.058,408.567,26502.293,29781.476,0.470,86.676,90548.811,3482.307,6.131,13.388,84.773,489.014,43864.107,47029.724,0.485
27,90.009,75917.400,2811.478,5.706,9.953,45.757,448.791,36502.400,39712.000,0.478,90.007,58727.991,2174.904,5.336,7.033,6.668,408.567,27875.614,31165.843,0.471,90.011,93106.809,3448.053,6.075,12.874,84.847,489.014,45129.186,48258.157,0.485
28,93.343,78602.200,2806.943,5.685,9.799,46.701,448.791,37901.400,41091.600,0.479,93.341,61990.693,2213.741,5.345,7.374,10.246,408.567,29452.388,32766.555,0.472,93.345,95213.707,3400.145,6.025,12.225,83.156,489.014,46350.412,49416.645,0.486
29,96.676,81607.200,2813.766,5.663,9.639,46.032,448.791,39459.800,42582.000,0.480,96.674,65219.062,2248.719,5.348,7.656,9.699,408.567,31284.455,34463.967,0.475,96.678,97995.338,3378.813,5.978,11.622,82.366,489.014,47635.145,50700.033,0.486
30,100.000,84656.400,2821.592,5.638,9.544,45.829,448.791,41016.200,44138.800,0.481,100.000,68427.985,2280.707,5.351,7.811,11.164,408.567,32679.992,35883.450,0.476,100.000,100884.815,3362.476,5.924,11.276,80.495,489.014,49352.408,52394.150,0.486
