time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1487,1486.629,6.086655,15.040511,98.828287,233.832447,872,1018,0.461376
2.000,6.668,1133997,566900.146,0.001535,0.018431,0.104447,233.832447,1134081,1057,0.999069
3.000,10.001,2514082,837913.340,0.001535,0.019967,0.103423,233.832447,2514843,1057,0.999580
4.000,13.335,3910052,977398.447,0.001535,0.020991,0.102911,233.832447,3909703,1057,0.999730
5.001,16.668,5249171,1049723.234,0.001535,0.020991,0.103423,233.832447,5248536,1057,0.999799
6.001,20.002,6615649,1102500.173,0.001535,0.021503,0.101887,233.832447,6614850,1057,0.999840
7.001,23.336,7986098,1140756.518,0.001535,0.022015,0.100863,233.832447,7986543,1057,0.999868
8.001,26.669,9316551,1164458.237,0.001535,0.022015,0.100863,233.832447,9315496,1057,0.999887
9.001,30.003,10667521,1185171.477,0.001535,0.022015,0.100351,233.832447,10668011,1057,0.999901
10.001,33.336,12011135,1201007.190,0.001535,0.022527,0.099839,233.832447,12011610,1057,0.999912
11.001,36.670,13375605,1215859.566,0.001535,0.022527,0.099839,233.832447,13374999,1057,0.999921
12.001,40.004,14739953,1228220.416,0.001535,0.022527,0.099839,233.832447,14739396,1057,0.999928
13.001,43.337,16074589,1236401.906,0.001535,0.022527,0.099327,233.832447,16073877,1057,0.999934
14.001,46.671,17428923,1244818.359,0.001535,0.022527,0.099839,233.832447,17428504,1057,0.999939
15.001,50.004,18780578,1251935.223,0.001535,0.022527,0.099839,233.832447,18781781,1057,0.999944
16.001,53.338,20103493,1256366.439,0.001535,0.023039,0.099839,233.832447,20103093,1057,0.999947
17.001,56.671,21477665,1263291.278,0.001535,0.023039,0.099839,233.832447,21477605,1057,0.999951
18.001,60.005,22840472,1268815.258,0.001535,0.023039,0.099839,233.832447,22839928,1057,0.999954
19.002,63.338,24179623,1272510.475,0.001535,0.023039,0.099839,233.832447,24178982,1057,0.999956
20.002,66.672,25519684,1275881.486,0.001535,0.023039,0.099839,233.832447,25519634,1057,0.999959
21.002,70.006,26876631,1279737.534,0.001535,0.023039,0.100351,233.832447,26877162,1057,0.999961
22.002,73.339,28233052,1283219.410,0.001535,0.023039,0.100351,233.832447,28232388,1057,0.999963
23.002,76.673,29589155,1286384.729,0.001535,0.022527,0.100863,233.832447,29589092,1057,0.999964
24.002,80.006,30942409,1289165.316,0.001535,0.022527,0.100863,233.832447,30942631,1057,0.999966
25.002,83.340,32275258,1290909.309,0.001535,0.022527,0.100863,233.832447,32277598,1057,0.999967
26.002,86.673,33627672,1293271.814,0.001535,0.023039,0.100863,233.832447,33627428,1057,0.999969
27.002,90.007,34957709,1294627.589,0.001535,0.023039,0.100863,233.832447,34957367,1057,0.999970
28.002,93.341,36277233,1295512.370,0.001535,0.023039,0.100863,233.832447,36277227,1057,0.999971
29.002,96.674,37579293,1295735.525,0.001535,0.023039,0.100863,233.832447,37579122,1057,0.999972
30.002,100.000,38914008,1297032.005,0.001535,0.023039,0.100863,233.832447,38914906,1057,0.999973
