time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.334,141129.400,141113.247,1.218,4.359,21.774,369.571,179427.000,1042.600,0.888,3.334,-41550.294,-41547.318,-2.160,-3.874,-31.945,123.356,21206.315,1024.834,0.592,3.334,323809.094,323773.813,4.597,12.593,75.492,615.786,337647.685,1060.366,1.184
2,6.667,1460112.800,729970.576,0.002,0.022,0.101,369.571,1459898.200,1050.400,0.999,6.667,1188491.657,594146.843,0.001,0.018,0.095,123.356,1188453.602,1043.680,0.999,6.668,1731733.943,865794.310,0.002,0.025,0.107,615.786,1731342.798,1057.120,0.999
3,10.001,2806148.800,935284.197,0.002,0.022,0.101,369.571,2806092.600,1050.400,1.000,10.001,2531708.609,843784.632,0.001,0.020,0.096,123.356,2532306.205,1043.680,1.000,10.001,3080588.991,1026783.763,0.002,0.025,0.106,615.786,3079878.995,1057.120,1.000
4,13.335,4133512.400,1033275.233,0.002,0.023,0.101,369.571,4133101.400,1050.400,1.000,13.334,3844319.261,960964.520,0.001,0.021,0.096,123.356,3843947.318,1043.680,1.000,13.335,4422705.539,1105585.946,0.002,0.025,0.107,615.786,4422255.482,1057.120,1.000
5,16.668,5450057.000,1089898.534,0.002,0.023,0.102,369.571,5450028.400,1050.400,1.000,16.668,5119447.794,1023757.462,0.001,0.021,0.095,123.356,5118737.018,1043.680,1.000,16.669,5780666.206,1156039.605,0.002,0.024,0.108,615.786,5781319.782,1057.120,1.000
6,20.002,6766171.000,1127586.828,0.002,0.023,0.102,369.571,6766068.800,1050.400,1.000,20.001,6383777.740,1063837.244,0.002,0.021,0.095,123.356,6383788.437,1043.680,1.000,20.003,7148564.260,1191336.412,0.002,0.024,0.109,615.786,7148349.163,1057.120,1.000
7,23.336,8074067.200,1153323.001,0.002,0.023,0.102,369.571,8074159.000,1050.400,1.000,23.335,7633722.797,1090412.340,0.002,0.021,0.095,123.356,7633940.727,1043.680,1.000,23.336,8514411.603,1216233.663,0.002,0.024,0.110,615.786,8514377.273,1057.120,1.000
8,26.669,9389271.000,1173546.404,0.002,0.023,0.102,369.571,9389093.800,1050.400,1.000,26.669,8885052.015,1110515.101,0.002,0.021,0.095,123.356,8884670.343,1043.680,1.000,26.670,9893489.985,1236577.708,0.002,0.024,0.110,615.786,9893517.257,1057.120,1.000
9,30.003,10720901.400,1191096.779,0.002,0.023,0.102,369.571,10720721.200,1050.400,1.000,30.002,10191489.775,1132267.310,0.002,0.021,0.095,123.356,10191241.436,1043.680,1.000,30.004,11250313.025,1249926.248,0.002,0.024,0.110,615.786,11250200.964,1057.120,1.000
10,33.336,12055784.000,1205466.623,0.002,0.023,0.102,369.571,12055632.800,1050.400,1.000,33.336,11499966.508,1149880.671,0.002,0.022,0.095,123.356,11499911.946,1043.680,1.000,33.337,12611601.492,1261052.574,0.002,0.024,0.109,615.786,12611353.654,1057.120,1.000
