time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,1.323,1323,1322.877,8.318975,12.976127,217.317375,231.342079,0,0,0.000000
2.000,2.591,2591,1295.353,8.585215,14.819327,216.793087,231.342079,0,0,0.000000
3.000,4.016,4016,1338.535,8.511487,14.262271,215.482367,231.342079,0,0,0.000000
4.000,5.157,5157,1289.126,8.544255,14.475263,216.530943,236.847103,0,0,0.000000
5.000,6.540,6540,1307.877,8.519679,14.229503,215.482367,236.847103,0,0,0.000000
6.001,7.730,7730,1288.194,8.486911,14.106623,217.055231,236.847103,0,0,0.000000
7.001,9.070,9070,1295.568,8.478719,13.934591,217.317375,236.847103,0,0,0.000000
8.001,9.931,9931,1241.238,8.577023,14.532607,218.890239,443.023359,0,0,0.000000
9.001,11.234,11234,1248.080,8.495103,14.385151,218.759167,443.023359,0,0,0.000000
10.001,12.379,12379,1237.763,8.617983,14.696447,218.759167,443.023359,0,0,0.000000
11.001,13.262,13262,1205.498,8.699903,15.343615,218.890239,443.023359,0,0,0.000000
12.001,14.485,14485,1206.948,8.724479,15.220735,218.890239,443.023359,0,0,0.000000
13.001,15.372,15372,1182.331,8.740863,15.343615,219.938815,443.023359,0,0,0.000000
14.002,16.408,16408,1171.870,8.798207,15.343615,220.069887,631.242751,0,0,0.000000
15.002,17.722,17722,1181.334,8.724479,15.122431,219.938815,631.242751,0,0,0.000000
16.002,18.944,18944,1183.866,8.675327,14.934015,219.938815,631.242751,0,0,0.000000
17.002,20.104,20104,1182.456,8.617983,14.893055,219.807743,631.242751,0,0,0.000000
18.002,21.435,21435,1190.698,8.601599,14.802943,219.545599,631.242751,0,0,0.000000
19.002,22.735,22735,1196.439,8.552447,14.589951,219.545599,631.242751,0,0,0.000000
20.002,23.877,23877,1193.712,8.519679,14.540799,219.414527,631.242751,0,0,0.000000
21.002,25.225,25225,1201.054,8.478719,14.368767,219.021311,631.242751,0,0,0.000000
