time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,1.144,1144,1143.886,9.699327,20.250623,216.793087,255.459327,0,0,0.000000
2.000,2.534,2534,1266.900,8.593407,15.753215,216.793087,428.605439,0,0,0.000000
3.000,4.003,4003,1334.222,8.208383,13.336575,216.006655,431.751167,0,0,0.000000
4.000,5.437,5437,1359.133,8.187903,12.894207,214.958079,431.751167,0,0,0.000000
5.000,6.671,6671,1334.075,8.265727,12.869631,215.744511,431.751167,0,0,0.000000
6.001,7.758,7758,1292.880,8.429567,13.467647,216.662015,431.751167,0,0,0.000000
7.001,8.886,8886,1269.318,8.437759,13.664255,217.448447,439.877631,0,0,0.000000
8.001,10.001,10001,1250.021,8.544255,14.114815,217.448447,439.877631,0,0,0.000000
9.001,10.796,10796,1199.454,8.650751,15.081471,217.972735,439.877631,0,0,0.000000
10.001,11.269,11269,1126.808,8.740863,15.794175,218.234879,439.877631,0,0,0.000000
11.001,11.846,11846,1076.820,8.814591,16.793599,218.497023,439.877631,0,0,0.000000
12.001,12.253,12253,1021.001,8.863743,17.399807,219.152383,439.877631,0,0,0.000000
13.001,12.923,12923,993.998,8.929279,18.104319,219.283455,439.877631,0,0,0.000000
14.001,13.681,13681,977.136,8.970239,19.185663,219.152383,439.877631,0,0,0.000000
15.001,14.603,14603,973.457,8.986623,20.119551,220.200959,439.877631,0,0,0.000000
16.001,15.693,15693,980.734,8.953855,20.316159,219.938815,441.188351,0,0,0.000000
17.001,16.769,16769,986.332,8.953855,19.824639,220.200959,441.188351,0,0,0.000000
18.001,17.908,17908,994.808,8.962047,19.283967,219.938815,441.188351,0,0,0.000000
19.002,18.825,18825,990.710,8.970239,19.578879,220.463103,441.712639,0,0,0.000000
20.002,19.633,19633,981.572,8.986623,20.267007,220.856319,441.712639,0,0,0.000000
21.002,20.667,20667,984.066,8.978431,20.676607,220.987391,441.712639,0,0,0.000000
22.002,21.688,21688,985.743,8.953855,20.840447,221.249535,441.712639,0,0,0.000000
23.002,22.763,22763,989.620,8.962047,21.069823,221.249535,441.712639,0,0,0.000000
24.002,23.854,23854,993.842,8.962047,20.807679,221.511679,441.712639,0,0,0.000000
25.002,24.808,24808,992.245,9.019391,21.168127,221.380607,441.712639,0,0,0.000000
26.002,25.650,25650,986.464,9.084927,21.512191,221.904895,441.712639,0,0,0.000000
27.002,26.537,26537,982.778,9.109503,21.594111,222.035967,441.712639,0,0,0.000000
28.002,27.607,27607,985.890,9.093119,21.200895,221.904895,441.712639,0,0,0.000000
29.002,28.812,28812,993.443,9.060351,20.660223,221.511679,441.712639,0,0,0.000000
30.002,30.193,30193,1006.357,9.027583,20.054015,221.249535,441.712639,0,0,0.000000
31.002,31.306,31306,1009.794,9.043967,19.677183,220.987391,441.974783,0,0,0.000000
32.002,32.578,32578,1017.986,9.052159,19.185663,220.856319,441.974783,0,0,0.000000
33.003,33.786,33786,1023.740,9.060351,18.939903,220.987391,441.974783,0,0,0.000000
34.003,34.881,34881,1025.833,9.060351,18.694143,220.987391,441.974783,0,0,0.000000
35.003,35.897,35897,1025.550,9.052159,18.431999,221.118463,441.974783,0,0,0.000000
36.003,37.233,37233,1034.172,9.011199,18.071551,220.856319,441.974783,0,0,0.000000
