time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,1.145,1145,1144.956,8.568831,12.738559,218.628095,429.129727,0,0,0.000000
2.000,2.477,2477,1238.436,8.040447,11.730943,218.365951,429.129727,0,0,0.000000
3.001,3.859,3859,1285.886,7.954431,11.665407,218.103807,429.129727,0,0,0.000000
4.001,5.252,5252,1312.648,7.876607,11.534335,218.103807,429.129727,0,0,0.000000
5.001,6.592,6592,1318.100,7.897087,11.575295,218.103807,429.129727,0,0,0.000000
6.001,7.902,7902,1316.737,7.839743,11.476991,217.710591,429.129727,0,0,0.000000
7.001,9.153,9153,1307.340,7.827455,11.411455,218.103807,429.129727,0,0,0.000000
8.001,10.613,10613,1326.410,7.856127,11.476991,217.841663,429.129727,0,0,0.000000
9.001,12.062,12062,1340.020,7.831551,11.403263,217.710591,429.129727,0,0,0.000000
10.001,13.080,13080,1307.814,7.888895,11.804671,217.841663,429.129727,0,0,0.000000
11.001,14.422,14422,1310.915,7.925759,11.870207,217.972735,429.129727,0,0,0.000000
12.002,15.917,15917,1326.246,7.917567,11.894783,217.579519,429.129727,0,0,0.000000
13.002,17.437,17437,1341.142,7.917567,11.796479,217.317375,429.129727,0,0,0.000000
14.002,18.704,18704,1335.833,7.921663,11.894783,217.317375,429.129727,0,0,0.000000
15.002,20.060,20060,1337.169,7.921663,11.952127,217.186303,429.129727,0,0,0.000000
16.002,21.041,21041,1314.906,7.938047,12.083199,217.972735,476.315647,0,0,0.000000
17.002,21.504,21504,1264.795,7.979007,12.550143,217.972735,476.315647,0,0,0.000000
18.002,22.718,22718,1261.967,8.003583,12.582911,217.972735,476.315647,0,0,0.000000
19.002,23.685,23685,1246.434,8.036351,12.828671,218.103807,476.315647,0,0,0.000000
20.002,24.656,24656,1232.660,8.044543,12.861439,218.234879,839.909375,0,0,0.000000
21.002,25.989,25989,1237.433,8.040447,12.795903,218.234879,839.909375,0,0,0.000000
22.002,27.338,27338,1242.499,8.044543,12.795903,218.234879,839.909375,0,0,0.000000
23.002,28.519,28519,1239.822,8.069119,12.828671,218.234879,839.909375,0,0,0.000000
24.003,29.571,29571,1231.994,8.073215,12.804095,218.365951,839.909375,0,0,0.000000
25.003,30.797,30797,1231.750,8.081407,12.845055,218.365951,839.909375,0,0,0.000000
26.003,32.115,32115,1235.062,8.101887,12.861439,218.234879,839.909375,0,0,0.000000
27.003,33.523,33523,1241.462,8.118271,12.812287,218.234879,839.909375,0,0,0.000000
28.003,34.975,34975,1248.976,8.134655,12.820479,218.234879,839.909375,0,0,0.000000
29.003,36.153,36153,1246.525,8.142847,12.918783,218.365951,839.909375,0,0,0.000000
30.003,37.259,37259,1241.839,8.163327,13.017087,218.365951,839.909375,0,0,0.000000
31.003,38.378,38378,1237.875,8.183807,13.041663,218.365951,839.909375,0,0,0.000000
32.003,39.438,39438,1232.314,8.204287,13.090815,218.497023,839.909375,0,0,0.000000
33.003,40.616,40616,1230.666,8.216575,13.066239,218.497023,839.909375,0,0,0.000000
34.003,41.681,41681,1225.792,8.220671,13.058047,218.628095,839.909375,0,0,0.000000
35.003,42.766,42766,1221.767,8.220671,13.033471,218.628095,839.909375,0,0,0.000000
36.004,43.910,43910,1219.604,8.228863,13.082623,218.628095,839.909375,0,0,0.000000
37.004,44.968,44968,1215.233,8.249343,13.164543,218.759167,839.909375,0,0,0.000000
38.004,46.228,46228,1216.408,8.257535,13.156351,218.759167,839.909375,0,0,0.000000
39.004,47.307,47307,1212.882,8.269823,13.254655,218.759167,839.909375,0,0,0.000000
40.004,48.444,48444,1210.984,8.282111,13.344767,218.759167,839.909375,0,0,0.000000
41.004,49.526,49526,1207.836,8.306687,13.500415,218.890239,839.909375,0,0,0.000000
42.004,50.385,50385,1199.527,8.327167,13.688831,219.021311,839.909375,0,0,0.000000
43.004,51.525,51525,1198.142,8.351743,13.770751,219.021311,839.909375,0,0,0.000000
44.004,52.692,52692,1197.432,8.372223,13.811711,219.021311,839.909375,0,0,0.000000
45.004,53.852,53852,1196.598,8.380415,13.877247,219.021311,839.909375,0,0,0.000000
46.004,54.982,54982,1195.148,8.404991,14.041087,219.152383,839.909375,0,0,0.000000
47.004,56.186,56186,1195.334,8.421375,14.098431,219.152383,839.909375,0,0,0.000000
48.004,57.338,57338,1194.430,8.429567,14.139391,219.021311,839.909375,0,0,0.000000
49.005,58.364,58364,1190.991,8.429567,14.155775,219.152383,839.909375,0,0,0.000000
50.005,59.451,59451,1188.909,8.421375,14.147583,219.283455,839.909375,0,0,0.000000
51.005,60.825,60825,1192.536,8.421375,14.147583,219.152383,839.909375,0,0,0.000000
52.005,62.331,62331,1198.562,8.413183,14.098431,219.021311,839.909375,0,0,0.000000
53.005,63.479,63479,1197.607,8.404991,14.123007,219.152383,839.909375,0,0,0.000000
54.005,64.621,64621,1196.575,8.404991,14.147583,219.152383,839.909375,0,0,0.000000
55.005,65.753,65753,1195.399,8.388607,14.147583,219.152383,839.909375,0,0,0.000000
56.005,66.755,66755,1191.945,8.388607,14.155775,219.152383,839.909375,0,0,0.000000
57.005,67.827,67827,1189.840,8.376319,14.139391,219.152383,839.909375,0,0,0.000000
58.005,69.128,69128,1191.755,8.376319,14.139391,219.152383,839.909375,0,0,0.000000
59.005,70.439,70439,1193.775,8.364031,14.098431,219.152383,839.909375,0,0,0.000000
60.005,71.511,71511,1191.744,8.355839,14.098431,219.152383,839.909375,0,0,0.000000
61.005,72.744,72744,1192.419,8.351743,14.049279,219.152383,839.909375,0,0,0.000000
62.005,73.942,73942,1192.508,8.359935,14.082047,219.152383,839.909375,0,0,0.000000
63.006,75.032,75032,1190.880,8.359935,14.114815,219.152383,839.909375,0,0,0.000000
64.006,76.127,76127,1189.380,8.359935,14.139391,219.152383,839.909375,0,0,0.000000
65.006,77.364,77364,1190.111,8.359935,14.147583,219.283455,839.909375,0,0,0.000000
66.006,78.496,78496,1189.229,8.355839,14.123007,219.283455,839.909375,0,0,0.000000
67.006,79.554,79554,1187.269,8.372223,14.245887,219.283455,839.909375,0,0,0.000000
68.006,80.910,80910,1189.749,8.372223,14.204927,219.283455,839.909375,0,0,0.000000
69.006,81.972,81972,1187.896,8.380415,14.286847,219.283455,839.909375,0,0,0.000000
70.006,82.866,82866,1183.696,8.396799,14.426111,219.414527,839.909375,0,0,0.000000
71.006,83.795,83795,1180.108,8.413183,14.557183,219.414527,839.909375,0,0,0.000000
72.006,85.007,85007,1180.550,8.413183,14.573567,219.414527,839.909375,0,0,0.000000
73.006,86.283,86283,1181.856,8.413183,14.581759,219.414527,839.909375,0,0,0.000000
74.006,87.565,87565,1183.208,8.413183,14.565375,219.414527,839.909375,0,0,0.000000
75.007,88.826,88826,1184.244,8.404991,14.565375,219.283455,839.909375,0,0,0.000000
76.007,90.047,90047,1184.726,8.396799,14.508031,219.414527,839.909375,0,0,0.000000
77.007,91.203,91203,1184.351,8.396799,14.573567,219.414527,839.909375,0,0,0.000000
78.007,92.695,92695,1188.294,8.396799,14.499839,219.283455,839.909375,0,0,0.000000
79.007,94.062,94062,1190.555,8.384511,14.475263,219.152383,839.909375,0,0,0.000000
80.007,95.322,95322,1191.422,8.380415,14.417919,219.283455,839.909375,0,0,0.000000
81.007,96.236,96236,1187.996,8.396799,14.508031,219.283455,839.909375,0,0,0.000000
82.007,97.055,97055,1183.494,8.404991,14.622719,219.414527,839.909375,0,0,0.000000
83.007,97.717,97717,1177.209,8.421375,14.843903,219.414527,839.909375,0,0,0.000000
84.007,98.643,98643,1174.218,8.429567,14.950399,219.414527,839.909375,0,0,0.000000
85.008,99.938,99938,1175.637,8.421375,14.893055,219.414527,839.909375,0,0,0.000000
85.094,100.000,100000,1175.175,8.421375,14.893055,219.414527,839.909375,0,0,0.000000
