time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,58,57.993,370.409471,570.425343,640.155647,640.155647,0,0,0.000000
2.000,6.667,172,85.992,103.743487,480.247807,629.669887,640.155647,0,0,0.000000
3.000,10.001,413,137.653,79.691775,343.408639,570.425343,640.155647,0,0,0.000000
4.000,13.335,455,113.738,86.048767,421.789695,570.425343,640.155647,0,0,0.000000
5.001,16.669,777,155.383,42.467327,340.000767,592.969727,640.155647,0,0,0.000000
6.001,20.002,973,162.150,37.912575,352.583679,592.445439,640.155647,0,0,0.000000
7.001,23.336,996,142.271,40.042495,421.527551,680.525823,918.028287,0,0,0.000000
8.001,26.670,1054,131.736,44.728319,410.779647,660.602879,918.028287,0,0,0.000000
9.001,30.004,1092,121.319,49.348607,429.916159,692.584447,918.028287,0,0,0.000000
10.001,33.338,1114,111.384,50.200575,461.897727,802.684927,918.028287,0,0,0.000000
11.002,36.673,1131,102.801,52.068351,481.820671,989.855743,1822.425087,0,0,0.000000
12.002,40.007,1160,96.650,55.672831,500.957183,989.855743,1822.425087,0,0,0.000000
13.002,43.341,1207,92.830,60.358655,500.695039,989.855743,1822.425087,0,0,0.000000
14.002,46.675,1256,89.699,69.664767,500.695039,989.855743,1822.425087,0,0,0.000000
15.003,50.009,1343,89.518,79.888383,493.355007,989.855743,1822.425087,0,0,0.000000
16.003,53.342,1457,91.047,82.313215,480.509951,989.855743,1822.425087,0,0,0.000000
17.003,56.676,1628,95.749,80.412671,452.460543,989.855743,1822.425087,0,0,0.000000
18.003,60.010,1855,103.038,73.859071,437.780479,918.028287,1822.425087,0,0,0.000000
19.003,63.344,2095,110.245,63.700991,401.604607,917.503999,1822.425087,0,0,0.000000
20.003,66.677,2266,113.282,63.864831,380.895231,890.241023,1822.425087,0,0,0.000000
21.003,70.011,2381,113.363,65.110015,376.963071,890.241023,1822.425087,0,0,0.000000
22.003,73.345,2445,111.119,69.664767,370.671615,888.143871,1822.425087,0,0,0.000000
23.004,76.679,2621,113.939,69.730303,360.447999,877.658111,1822.425087,0,0,0.000000
24.004,80.012,2653,110.525,70.516735,371.720191,877.658111,1822.425087,0,0,0.000000
25.004,83.346,2810,112.383,70.123519,363.855871,821.559295,1822.425087,0,0,0.000000
26.004,86.680,2902,111.598,72.286207,368.050175,819.986431,1822.425087,0,0,0.000000
27.004,90.014,2999,111.057,76.742655,370.671615,819.986431,1822.425087,0,0,0.000000
28.004,93.348,3021,107.876,77.070335,380.108799,918.028287,1822.425087,0,0,0.000000
29.005,96.682,3039,104.776,77.725695,397.672447,989.855743,1895.825407,0,0,0.000000
30.005,100.000,3059,101.950,78.512127,419.692543,989.855743,1895.825407,0,0,0.000000
