time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.334,798.400,798.314,18.201,25.248,70.743,78.388,0.000,0.000,0.000,3.334,657.294,657.230,15.406,16.675,-5.227,4.290,0.000,0.000,0.000,3.334,939.506,939.398,20.996,33.820,146.713,152.486,0.000,0.000,0.000
2,6.667,1595.600,797.702,18.432,23.370,70.464,91.967,0.000,0.000,0.000,6.667,1357.543,678.702,15.641,20.332,-6.281,-13.596,0.000,0.000,0.000,6.668,1833.657,916.701,21.223,26.409,147.210,197.529,0.000,0.000,0.000
3,10.001,2411.400,803.698,18.401,23.413,67.168,91.967,0.000,0.000,0.000,10.001,2013.540,671.107,16.017,20.605,-10.637,-13.596,0.000,0.000,0.000,10.002,2809.260,936.289,20.784,26.220,144.973,197.529,0.000,0.000,0.000
4,13.335,3203.200,800.701,18.442,24.183,66.588,92.209,0.000,0.000,0.000,13.335,2629.443,657.286,16.284,19.985,-10.905,-13.120,0.000,0.000,0.000,13.335,3776.957,944.116,20.600,28.380,144.081,197.539,0.000,0.000,0.000
5,16.669,3977.200,795.340,18.452,23.921,68.472,104.183,0.000,0.000,0.000,16.669,3282.867,656.495,16.427,21.829,-6.419,7.492,0.000,0.000,0.000,16.669,4671.533,934.185,20.476,26.012,143.363,200.873,0.000,0.000,0.000
6,20.002,4784.600,797.335,18.502,23.721,66.644,104.183,0.000,0.000,0.000,20.002,3964.069,660.601,16.597,22.192,-7.778,7.492,0.000,0.000,0.000,20.003,5605.131,934.068,20.408,25.250,141.065,200.873,0.000,0.000,0.000
7,23.336,5589.800,798.448,18.520,23.672,66.159,104.183,0.000,0.000,0.000,23.336,4648.016,663.925,16.654,22.370,-8.000,7.492,0.000,0.000,0.000,23.337,6531.584,932.970,20.387,24.973,140.318,200.873,0.000,0.000,0.000
8,26.670,6402.000,800.153,18.547,23.446,65.280,104.183,0.000,0.000,0.000,26.670,5315.376,664.347,16.857,22.605,-8.901,7.492,0.000,0.000,0.000,26.671,7488.624,935.959,20.237,24.286,139.462,200.873,0.000,0.000,0.000
9,30.004,7283.800,809.214,18.538,23.295,64.556,104.183,0.000,0.000,0.000,30.002,6188.167,687.497,17.074,22.373,-9.312,7.492,0.000,0.000,0.000,30.005,8379.433,930.931,20.003,24.217,138.424,200.873,0.000,0.000,0.000
10,33.337,8176.400,817.542,18.470,23.219,63.075,104.183,0.000,0.000,0.000,33.337,7063.123,706.233,17.047,22.380,-10.143,7.492,0.000,0.000,0.000,33.338,9289.677,928.851,19.893,24.059,136.293,200.873,0.000,0.000,0.000
11,36.671,9061.600,823.683,18.501,22.964,62.118,104.635,0.000,0.000,0.000,36.671,7977.819,725.175,17.109,22.480,-9.439,8.430,0.000,0.000,0.000,36.672,10145.381,922.190,19.892,23.448,133.676,200.839,0.000,0.000,0.000
12,40.005,9966.800,830.467,18.445,22.807,61.650,104.635,0.000,0.000,0.000,40.004,8879.682,739.891,17.223,22.403,-9.702,8.430,0.000,0.000,0.000,40.006,11053.918,921.042,19.667,23.210,133.002,200.839,0.000,0.000,0.000
13,43.339,10847.000,834.284,18.419,22.820,61.106,140.804,0.000,0.000,0.000,43.337,9755.526,750.340,17.284,22.425,-8.358,26.160,0.000,0.000,0.000,43.340,11938.474,918.227,19.554,23.215,130.570,255.448,0.000,0.000,0.000
14,46.672,11727.200,837.553,18.435,22.754,60.260,171.554,0.000,0.000,0.000,46.671,10668.577,761.952,17.323,22.321,-8.937,53.904,0.000,0.000,0.000,46.674,12785.823,913.155,19.548,23.187,129.458,289.203,0.000,0.000,0.000
15,50.006,12545.000,836.227,18.419,22.770,61.204,171.842,0.000,0.000,0.000,50.005,11422.817,761.422,17.357,22.173,-6.313,53.864,0.000,0.000,0.000,50.008,13667.183,911.033,19.481,23.368,128.721,289.820,0.000,0.000,0.000
16,53.340,13351.000,834.330,18.419,22.829,63.452,171.842,0.000,0.000,0.000,53.339,12145.707,759.007,17.361,21.890,-3.536,53.864,0.000,0.000,0.000,53.342,14556.293,909.652,19.476,23.769,130.439,289.820,0.000,0.000,0.000
17,56.674,14099.600,829.282,18.422,22.924,67.276,195.042,0.000,0.000,0.000,56.673,12686.893,746.190,17.384,21.732,-0.401,39.913,0.000,0.000,0.000,56.675,15512.307,912.373,19.460,24.117,134.953,350.170,0.000,0.000,0.000
18,60.008,14890.400,827.138,18.458,22.875,70.160,195.042,0.000,0.000,0.000,60.007,13359.201,742.080,17.463,21.708,0.591,39.913,0.000,0.000,0.000,60.009,16421.599,912.196,19.454,24.042,139.728,350.170,0.000,0.000,0.000
19,63.342,15794.000,831.156,18.337,22.810,68.423,195.376,0.000,0.000,0.000,63.340,14383.060,756.903,17.230,21.846,1.005,40.841,0.000,0.000,0.000,63.343,17204.940,905.409,19.444,23.774,135.841,349.911,0.000,0.000,0.000
20,66.676,16716.600,835.719,18.245,22.780,66.929,195.376,0.000,0.000,0.000,66.674,15375.915,768.694,17.048,21.775,1.533,40.841,0.000,0.000,0.000,66.677,18057.285,902.745,19.443,23.786,132.324,349.911,0.000,0.000,0.000
21,70.009,17566.200,836.376,18.219,22.757,67.112,217.514,0.000,0.000,0.000,70.008,16286.501,775.447,17.042,21.752,2.565,92.821,0.000,0.000,0.000,70.011,18845.899,897.306,19.396,23.762,131.660,342.207,0.000,0.000,0.000
22,73.343,18348.400,833.910,18.271,22.780,68.069,218.720,0.000,0.000,0.000,73.341,17140.998,779.039,17.030,21.766,4.656,94.981,0.000,0.000,0.000,73.345,19555.802,888.781,19.513,23.795,131.482,342.459,0.000,0.000,0.000
23,76.677,19163.600,833.093,18.294,22.738,68.282,218.720,0.000,0.000,0.000,76.675,17970.542,781.233,17.117,21.770,5.551,94.981,0.000,0.000,0.000,76.678,20356.658,884.953,19.471,23.705,131.013,342.459,0.000,0.000,0.000
24,80.010,19993.800,832.969,18.321,22.659,68.138,218.720,0.000,0.000,0.000,80.009,18780.144,782.414,17.066,21.704,6.574,94.981,0.000,0.000,0.000,80.012,21207.456,883.523,19.575,23.614,129.701,342.459,0.000,0.000,0.000
25,83.344,20809.600,832.278,18.353,22.590,80.547,218.720,0.000,0.000,0.000,83.342,19539.480,781.489,17.063,21.708,17.462,94.981,0.000,0.000,0.000,83.346,22079.720,883.067,19.644,23.472,143.632,342.459,0.000,0.000,0.000
26,86.678,21647.400,832.486,18.350,22.541,85.089,218.720,0.000,0.000,0.000,86.676,20358.079,782.913,17.077,21.665,17.398,94.981,0.000,0.000,0.000,86.679,22936.721,882.058,19.624,23.417,152.779,342.459,0.000,0.000,0.000
27,90.011,22480.000,832.487,18.337,22.508,87.753,218.720,0.000,0.000,0.000,90.010,21082.514,780.745,17.074,21.590,15.763,94.981,0.000,0.000,0.000,90.013,23877.486,884.228,19.600,23.427,159.743,342.459,0.000,0.000,0.000
