time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1830,1829.830,7.151615,9.920511,15.343615,219.807743,0,0,0.000000
2.000,6.667,3379,1689.347,7.544831,10.969087,18.497535,227.672063,0,0,0.000000
3.000,10.001,4973,1657.535,7.507967,11.026431,38.600703,227.672063,0,0,0.000000
4.000,13.334,6724,1680.872,7.450623,10.993663,39.387135,228.589567,0,0,0.000000
5.000,16.668,8254,1650.680,7.426047,11.223039,39.387135,231.866367,0,0,0.000000
6.000,20.001,10074,1678.882,7.356415,10.919935,38.797311,231.866367,0,0,0.000000
7.001,23.335,11795,1684.875,7.368703,10.862591,38.338559,231.866367,0,0,0.000000
8.001,26.669,13704,1712.869,7.315455,10.592255,27.672575,231.866367,0,0,0.000000
9.001,30.002,15478,1719.650,7.274495,10.510335,26.673151,231.866367,0,0,0.000000
10.001,33.336,17106,1710.474,7.270399,10.510335,37.355519,236.978175,0,0,0.000000
11.001,36.669,18560,1687.151,7.290879,10.584063,38.535167,434.896895,0,0,0.000000
12.001,40.003,20292,1690.879,7.311359,10.625023,38.240255,434.896895,0,0,0.000000
13.001,43.336,22080,1698.342,7.327743,10.649599,36.962303,434.896895,0,0,0.000000
14.001,46.670,23713,1693.667,7.315455,10.665983,36.995071,434.896895,0,0,0.000000
15.001,50.004,25360,1690.544,7.360511,10.821631,36.667391,434.896895,0,0,0.000000
16.001,53.337,26971,1685.563,7.352319,10.895359,37.486591,434.896895,0,0,0.000000
17.001,56.671,28640,1684.580,7.372799,10.838015,38.240255,434.896895,0,0,0.000000
18.001,60.005,30522,1695.538,7.356415,10.723327,37.978111,434.896895,0,0,0.000000
19.001,63.338,32234,1696.396,7.315455,10.682367,37.453823,434.896895,0,0,0.000000
20.002,66.672,34022,1700.971,7.294975,10.616831,36.962303,434.896895,0,0,0.000000
21.002,70.005,35855,1707.250,7.282687,10.592255,36.831231,434.896895,0,0,0.000000
22.002,73.339,37576,1707.867,7.278591,10.584063,36.962303,434.896895,0,0,0.000000
23.002,76.672,39294,1708.306,7.270399,10.559487,36.962303,434.896895,0,0,0.000000
24.002,80.006,41042,1709.955,7.262207,10.559487,36.667391,434.896895,0,0,0.000000
25.002,83.340,43043,1721.592,7.241727,10.461183,35.979263,434.896895,0,0,0.000000
26.002,86.673,44919,1727.527,7.229439,10.420223,35.749887,434.896895,0,0,0.000000
27.002,90.007,46318,1715.356,7.233535,10.461183,35.979263,437.780479,0,0,0.000000
28.002,93.340,48065,1716.481,7.229439,10.403839,35.848191,437.780479,0,0,0.000000
29.002,96.674,49731,1714.737,7.217151,10.362879,35.848191,437.780479,0,0,0.000000
30.002,100.000,51485,1716.042,7.225343,10.395647,35.782655,437.780479,0,0,0.000000
