time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.334,1672.000,1671.804,7.289,10.958,82.099,231.997,0.000,0.000,0.000,3.334,1504.775,1504.588,7.110,9.817,-11.102,210.987,0.000,0.000,0.000,3.334,1839.225,1839.019,7.469,12.098,175.299,253.008,0.000,0.000,0.000
2,6.667,3370.000,1684.830,7.373,10.799,42.412,272.787,0.000,0.000,0.000,6.667,3196.510,1598.115,7.233,10.084,16.914,164.879,0.000,0.000,0.000,6.668,3543.490,1771.545,7.512,11.513,67.909,380.695,0.000,0.000,0.000
3,10.001,4935.800,1645.111,7.407,11.431,45.095,314.311,0.000,0.000,0.000,10.001,4631.636,1543.730,7.228,10.468,26.407,183.045,0.000,0.000,0.000,10.001,5239.964,1746.491,7.586,12.395,63.783,445.576,0.000,0.000,0.000
4,13.334,6729.200,1682.152,7.373,11.080,36.694,314.547,0.000,0.000,0.000,13.334,6300.482,1574.979,7.150,10.135,25.075,183.428,0.000,0.000,0.000,13.335,7157.918,1789.325,7.595,12.026,48.312,445.665,0.000,0.000,0.000
5,16.668,8389.200,1677.699,7.364,11.131,34.777,315.884,0.000,0.000,0.000,16.668,7809.339,1561.739,7.159,10.230,21.110,184.457,0.000,0.000,0.000,16.668,8969.061,1793.660,7.569,12.033,48.443,447.310,0.000,0.000,0.000
6,20.002,10118.200,1686.231,7.335,11.044,35.855,315.884,0.000,0.000,0.000,20.001,9509.857,1584.845,7.144,10.216,24.818,184.457,0.000,0.000,0.000,20.002,10726.543,1787.616,7.527,11.872,46.891,447.310,0.000,0.000,0.000
7,23.335,11750.600,1678.525,7.343,11.067,37.270,347.865,0.000,0.000,0.000,23.335,11102.394,1585.924,7.153,10.079,25.909,211.968,0.000,0.000,0.000,23.335,12398.806,1771.125,7.534,12.056,48.631,483.763,0.000,0.000,0.000
8,26.669,13440.400,1679.918,7.333,11.062,35.157,349.386,0.000,0.000,0.000,26.668,12569.373,1571.045,7.126,9.971,22.275,216.112,0.000,0.000,0.000,26.669,14311.427,1788.792,7.539,12.154,48.038,482.659,0.000,0.000,0.000
9,30.002,15147.600,1682.940,7.328,10.997,34.157,349.386,0.000,0.000,0.000,30.002,14080.189,1564.342,7.120,9.842,21.216,216.112,0.000,0.000,0.000,30.003,16215.011,1801.537,7.535,12.152,47.098,482.659,0.000,0.000,0.000
10,33.336,16860.800,1685.955,7.314,10.913,36.589,432.721,0.000,0.000,0.000,33.336,15680.144,1567.894,7.136,9.835,22.885,125.198,0.000,0.000,0.000,33.336,18041.456,1804.017,7.492,11.992,50.293,740.244,0.000,0.000,0.000
11,36.669,18470.600,1679.019,7.328,10.999,35.606,472.305,0.000,0.000,0.000,36.669,17104.557,1554.839,7.112,9.596,22.411,195.194,0.000,0.000,0.000,36.670,19836.643,1803.198,7.543,12.401,48.800,749.416,0.000,0.000,0.000
12,40.003,20166.800,1680.441,7.331,10.936,36.258,472.305,0.000,0.000,0.000,40.003,18741.606,1561.682,7.107,9.610,23.527,195.194,0.000,0.000,0.000,40.003,21591.994,1799.200,7.555,12.262,48.989,749.416,0.000,0.000,0.000
13,43.337,21870.000,1682.182,7.327,10.879,36.490,511.128,0.000,0.000,0.000,43.336,20441.856,1572.332,7.112,9.719,24.243,282.134,0.000,0.000,0.000,43.337,23298.144,1792.033,7.542,12.039,48.738,740.123,0.000,0.000,0.000
14,46.670,23440.800,1674.218,7.328,10.930,37.113,511.128,0.000,0.000,0.000,46.670,21895.396,1563.837,7.112,9.698,24.390,282.134,0.000,0.000,0.000,46.670,24986.204,1784.599,7.543,12.162,49.836,740.123,0.000,0.000,0.000
15,50.004,25202.200,1680.022,7.328,10.890,36.248,511.128,0.000,0.000,0.000,50.003,23549.108,1569.819,7.106,9.716,23.838,282.134,0.000,0.000,0.000,50.004,26855.292,1790.224,7.549,12.065,48.658,740.123,0.000,0.000,0.000
16,53.337,26914.800,1682.049,7.331,10.923,36.159,511.128,0.000,0.000,0.000,53.337,25142.449,1571.283,7.088,9.668,24.358,282.134,0.000,0.000,0.000,53.338,28687.151,1792.815,7.574,12.178,47.961,740.123,0.000,0.000,0.000
17,56.671,28610.800,1682.862,7.345,11.015,35.874,511.128,0.000,0.000,0.000,56.670,26599.426,1564.553,7.072,9.409,23.943,282.134,0.000,0.000,0.000,56.671,30622.174,1801.170,7.618,12.621,47.806,740.123,0.000,0.000,0.000
18,60.005,30351.600,1686.073,7.334,10.959,35.475,511.128,0.000,0.000,0.000,60.004,28257.577,1569.746,7.068,9.404,23.433,282.134,0.000,0.000,0.000,60.005,32445.623,1802.400,7.600,12.514,47.516,740.123,0.000,0.000,0.000
19,63.338,32044.200,1686.410,7.321,10.977,35.809,511.128,0.000,0.000,0.000,63.338,29695.220,1562.787,7.046,9.289,23.276,282.134,0.000,0.000,0.000,63.338,34393.180,1810.033,7.596,12.666,48.342,740.123,0.000,0.000,0.000
20,66.672,33787.800,1689.264,7.313,10.941,35.891,511.128,0.000,0.000,0.000,66.671,31331.488,1566.456,7.041,9.283,22.302,282.134,0.000,0.000,0.000,66.672,36244.112,1812.072,7.585,12.600,49.479,740.123,0.000,0.000,0.000
21,70.005,35549.800,1692.722,7.307,10.894,35.045,511.128,0.000,0.000,0.000,70.005,33015.668,1572.056,7.049,9.346,22.014,282.134,0.000,0.000,0.000,70.006,38083.932,1813.388,7.565,12.442,48.076,740.123,0.000,0.000,0.000
22,73.339,37300.400,1695.348,7.311,10.895,34.583,511.128,0.000,0.000,0.000,73.338,34667.067,1575.655,7.035,9.313,21.756,282.134,0.000,0.000,0.000,73.339,39933.733,1815.040,7.586,12.478,47.411,740.123,0.000,0.000,0.000
23,76.672,38990.800,1695.128,7.306,10.871,34.420,511.128,0.000,0.000,0.000,76.672,36331.587,1579.513,7.033,9.326,22.296,282.134,0.000,0.000,0.000,76.673,41650.013,1810.744,7.580,12.415,46.543,740.123,0.000,0.000,0.000
24,80.006,40664.400,1694.226,7.306,10.869,33.964,511.128,0.000,0.000,0.000,80.005,37899.564,1579.026,7.046,9.370,21.553,282.134,0.000,0.000,0.000,80.006,43429.236,1809.427,7.565,12.368,46.375,740.123,0.000,0.000,0.000
25,83.340,42372.600,1694.781,7.306,10.853,35.098,513.645,0.000,0.000,0.000,83.339,39437.634,1577.384,7.039,9.344,21.653,286.219,0.000,0.000,0.000,83.340,45307.566,1812.179,7.572,12.362,48.542,741.071,0.000,0.000,0.000
26,86.673,44060.000,1694.493,7.304,10.840,34.904,516.266,0.000,0.000,0.000,86.672,41087.814,1580.180,7.039,9.357,22.827,290.678,0.000,0.000,0.000,86.673,47032.186,1808.806,7.569,12.322,46.982,741.855,0.000,0.000,0.000
27,90.007,45683.600,1691.863,7.305,10.843,34.570,516.843,0.000,0.000,0.000,90.006,42698.017,1581.288,7.056,9.426,22.508,291.650,0.000,0.000,0.000,90.007,48669.183,1802.438,7.554,12.260,46.632,742.036,0.000,0.000,0.000
28,93.340,47355.200,1691.135,7.307,10.831,34.390,516.843,0.000,0.000,0.000,93.339,44322.943,1582.842,7.057,9.441,22.481,291.650,0.000,0.000,0.000,93.341,50387.457,1799.427,7.557,12.222,46.299,742.036,0.000,0.000,0.000
29,96.674,49045.400,1691.098,7.315,10.828,34.239,516.843,0.000,0.000,0.000,96.673,45935.923,1583.879,7.056,9.435,22.267,291.650,0.000,0.000,0.000,96.674,52154.877,1798.316,7.575,12.222,46.211,742.036,0.000,0.000,0.000
30,100.000,50706.800,1690.104,7.315,10.820,34.665,516.843,0.000,0.000,0.000,100.000,47383.780,1579.342,7.064,9.460,22.419,291.650,0.000,0.000,0.000,100.000,54029.820,1800.866,7.565,12.180,46.912,742.036,0.000,0.000,0.000
