time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,1.102,1102,1101.894,8.429567,15.859711,219.807743,236.716031,0,0,0.000000
2.000,2.429,2429,1214.384,8.183807,13.287423,217.972735,236.716031,0,0,0.000000
3.000,4.044,4044,1347.888,8.052735,11.747327,216.530943,428.081151,0,0,0.000000
4.000,5.431,5431,1357.644,8.118271,11.894783,216.924159,428.081151,0,0,0.000000
5.000,6.802,6802,1360.299,8.044543,11.804671,216.793087,428.081151,0,0,0.000000
6.000,8.340,8340,1389.891,8.024063,11.698175,216.530943,434.110463,0,0,0.000000
7.001,9.721,9721,1388.599,8.085503,11.919359,216.530943,434.110463,0,0,0.000000
8.001,10.910,10910,1363.640,8.146943,12.320767,216.530943,434.110463,0,0,0.000000
9.001,12.336,12336,1370.560,8.118271,12.206079,216.399871,434.110463,0,0,0.000000
10.001,13.764,13764,1376.295,8.110079,12.296191,216.399871,434.110463,0,0,0.000000
11.001,15.135,15135,1375.801,8.097791,12.263423,216.399871,434.110463,0,0,0.000000
12.001,16.507,16507,1375.477,8.122367,12.386303,215.875583,434.110463,0,0,0.000000
13.001,17.740,17740,1364.512,8.118271,12.460031,216.399871,434.110463,0,0,0.000000
14.001,18.925,18925,1351.685,8.093695,12.550143,216.530943,436.469759,0,0,0.000000
15.001,20.061,20061,1337.302,8.089599,12.746751,216.530943,436.469759,0,0,0.000000
16.001,21.361,21361,1334.963,8.097791,12.836863,216.662015,436.469759,0,0,0.000000
17.001,22.623,22623,1330.663,8.122367,13.074431,216.662015,436.469759,0,0,0.000000
18.001,24.027,24027,1334.730,8.126463,13.058047,216.530943,436.469759,0,0,0.000000
19.001,25.182,25182,1325.267,8.146943,13.344767,216.662015,436.469759,0,0,0.000000
20.002,26.468,26468,1323.300,8.138751,13.402111,216.793087,436.469759,0,0,0.000000
21.002,27.596,27596,1313.996,8.163327,13.582335,216.924159,436.469759,0,0,0.000000
22.002,28.832,28832,1310.447,8.175615,13.680639,216.924159,436.469759,0,0,0.000000
23.002,30.015,30015,1304.903,8.183807,13.754367,216.924159,436.469759,0,0,0.000000
24.002,31.275,31275,1303.027,8.204287,13.778943,216.924159,436.469759,0,0,0.000000
25.002,32.341,32341,1293.543,8.212479,13.811711,217.317375,436.469759,0,0,0.000000
26.002,33.625,33625,1293.171,8.200191,13.713407,217.317375,436.469759,0,0,0.000000
27.002,35.019,35019,1296.900,8.200191,13.647871,217.317375,436.469759,0,0,0.000000
28.002,36.473,36473,1302.508,8.200191,13.508607,217.186303,436.469759,0,0,0.000000
29.002,37.757,37757,1301.867,8.196095,13.508607,217.186303,436.469759,0,0,0.000000
30.002,39.071,39071,1302.269,8.187903,13.434879,217.186303,436.469759,0,0,0.000000
31.002,40.332,40332,1300.935,8.179711,13.320191,217.317375,436.469759,0,0,0.000000
32.002,41.985,41985,1311.934,8.175615,13.131775,216.924159,436.469759,0,0,0.000000
33.002,43.616,43616,1321.599,8.163327,13.008895,216.793087,436.469759,0,0,0.000000
34.002,45.163,45163,1328.226,8.159231,12.894207,216.793087,436.469759,0,0,0.000000
35.003,46.398,46398,1325.561,8.159231,12.894207,216.793087,436.469759,0,0,0.000000
36.003,47.866,47866,1329.513,8.159231,12.861439,216.662015,436.994047,0,0,0.000000
37.003,49.317,49317,1332.793,8.151039,12.836863,216.662015,436.994047,0,0,0.000000
38.003,50.550,50550,1330.164,8.142847,12.836863,216.793087,436.994047,0,0,0.000000
39.003,51.973,51973,1332.542,8.142847,12.828671,216.662015,436.994047,0,0,0.000000
40.003,53.370,53370,1334.151,8.134655,12.812287,216.662015,442.236927,0,0,0.000000
41.003,54.543,54543,1330.218,8.134655,12.787711,216.662015,442.236927,0,0,0.000000
42.003,55.813,55813,1328.781,8.138751,12.804095,216.662015,442.236927,0,0,0.000000
43.003,57.275,57275,1331.877,8.134655,12.795903,216.662015,442.236927,0,0,0.000000
44.003,58.653,58653,1332.923,8.134655,12.795903,216.662015,442.236927,0,0,0.000000
45.003,59.810,59810,1329.011,8.146943,12.861439,216.662015,442.236927,0,0,0.000000
46.003,61.068,61068,1327.464,8.142847,12.861439,216.662015,442.236927,0,0,0.000000
47.004,62.313,62313,1325.707,8.142847,12.845055,216.662015,442.236927,0,0,0.000000
48.004,63.200,63200,1316.566,8.155135,12.894207,216.793087,442.236927,0,0,0.000000
49.004,64.461,64461,1315.431,8.151039,12.894207,216.793087,442.499071,0,0,0.000000
50.004,65.492,65492,1309.740,8.142847,12.943359,216.924159,442.499071,0,0,0.000000
51.004,66.347,66347,1300.823,8.146943,13.058047,217.055231,442.499071,0,0,0.000000
52.004,67.567,67567,1299.267,8.151039,13.090815,217.186303,442.499071,0,0,0.000000
53.004,68.974,68974,1301.299,8.146943,13.099007,217.186303,442.499071,0,0,0.000000
54.004,70.027,70027,1296.699,8.151039,13.180927,217.317375,442.499071,0,0,0.000000
55.004,71.262,71262,1295.575,8.155135,13.197311,217.317375,442.499071,0,0,0.000000
56.004,72.618,72618,1296.652,8.146943,13.197311,217.186303,442.499071,0,0,0.000000
57.004,74.022,74022,1298.533,8.155135,13.230079,217.186303,442.499071,0,0,0.000000
58.004,75.395,75395,1299.816,8.155135,13.230079,217.186303,442.499071,0,0,0.000000
59.004,76.828,76828,1302.072,8.159231,13.238271,217.055231,442.499071,0,0,0.000000
60.004,78.110,78110,1301.736,8.159231,13.271039,217.186303,442.499071,0,0,0.000000
61.005,79.482,79482,1302.887,8.159231,13.262847,217.055231,442.499071,0,0,0.000000
62.005,80.660,80660,1300.871,8.163327,13.303807,217.055231,442.499071,0,0,0.000000
63.005,81.799,81799,1298.301,8.171519,13.393919,217.186303,442.499071,0,0,0.000000
64.005,83.126,83126,1298.748,8.175615,13.402111,217.055231,442.499071,0,0,0.000000
65.005,84.659,84659,1302.350,8.171519,13.361151,217.055231,442.499071,0,0,0.000000
66.005,86.143,86143,1305.100,8.171519,13.320191,217.055231,442.499071,0,0,0.000000
67.005,87.460,87460,1305.277,8.171519,13.295615,217.055231,442.499071,0,0,0.000000
68.005,88.531,88531,1301.831,8.175615,13.336575,217.055231,442.499071,0,0,0.000000
69.005,89.722,89722,1300.223,8.171519,13.311999,217.055231,442.499071,0,0,0.000000
70.005,91.087,91087,1301.148,8.167423,13.271039,217.186303,442.499071,0,0,0.000000
71.005,92.436,92436,1301.820,8.171519,13.279231,217.055231,442.499071,0,0,0.000000
72.005,93.804,93804,1302.738,8.167423,13.287423,217.055231,442.499071,0,0,0.000000
73.005,95.196,95196,1303.959,8.163327,13.262847,217.055231,442.499071,0,0,0.000000
