time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,1.092,1092,1091.872,13.500415,18.137087,23.871487,232.914943,0,0,0.000000
2.000,2.275,2275,1137.357,13.271039,17.793023,23.527423,232.914943,0,0,0.000000
3.000,3.444,3444,1147.862,13.148159,17.678335,24.575999,232.914943,0,0,0.000000
4.000,4.126,4126,1031.381,13.189119,18.268159,111.149055,285.999103,0,0,0.000000
5.001,5.284,5284,1056.690,13.099007,18.038783,55.967743,285.999103,0,0,0.000000
6.001,6.502,6502,1083.561,12.984319,17.858559,47.120383,285.999103,0,0,0.000000
7.001,7.668,7668,1095.328,13.000703,17.809407,40.370175,285.999103,0,0,0.000000
8.001,8.896,8896,1111.900,12.967935,17.547263,35.848191,285.999103,0,0,0.000000
9.001,10.060,10060,1117.681,12.992511,17.694719,30.588927,285.999103,0,0,0.000000
10.001,11.018,11018,1101.704,12.984319,17.612799,40.370175,317.980671,0,0,0.000000
11.001,11.821,11821,1074.543,12.967935,17.629183,47.284223,317.980671,0,0,0.000000
12.001,13.038,13038,1086.404,12.943359,17.498111,44.924927,317.980671,0,0,0.000000
13.001,14.265,14265,1097.212,12.926975,17.383423,37.617663,317.980671,0,0,0.000000
14.001,15.399,15399,1099.831,12.918783,17.465343,34.439167,317.980671,0,0,0.000000
15.001,16.633,16633,1108.770,12.886015,17.350655,31.522815,317.980671,0,0,0.000000
16.001,17.774,17774,1110.774,12.894207,17.432575,32.587775,317.980671,0,0,0.000000
17.002,18.941,18941,1114.077,12.894207,17.432575,30.507007,317.980671,0,0,0.000000
18.002,20.025,20025,1112.405,12.902399,17.498111,34.439167,554.172415,0,0,0.000000
19.002,20.625,20625,1085.435,12.894207,17.514495,37.617663,554.172415,0,0,0.000000
20.002,21.798,21798,1089.809,12.910591,17.498111,35.782655,554.172415,0,0,0.000000
21.002,22.986,22986,1094.481,12.910591,17.465343,32.604159,554.172415,0,0,0.000000
22.002,24.174,24174,1098.728,12.926975,17.432575,30.588927,554.172415,0,0,0.000000
23.002,25.306,25306,1100.169,12.951551,17.465343,30.097407,554.172415,0,0,0.000000
24.002,26.514,26514,1104.656,12.935167,17.448959,29.622271,554.172415,0,0,0.000000
25.002,27.653,27653,1106.027,12.951551,17.465343,29.278207,554.172415,0,0,0.000000
26.002,28.543,28543,1097.716,12.967935,17.530879,30.097407,554.172415,0,0,0.000000
27.002,29.659,29659,1098.390,12.984319,17.612799,29.769727,554.172415,0,0,0.000000
28.002,30.803,30803,1100.016,12.992511,17.629183,29.769727,554.172415,0,0,0.000000
29.002,31.946,31946,1101.496,13.008895,17.629183,29.523967,554.172415,0,0,0.000000
30.002,33.072,33072,1102.308,13.017087,17.678335,29.097983,554.172415,0,0,0.000000
31.003,34.221,34221,1103.802,13.025279,17.694719,29.179903,554.172415,0,0,0.000000
32.003,35.277,35277,1102.304,13.058047,17.776639,29.278207,554.172415,0,0,0.000000
33.003,36.015,36015,1091.263,13.090815,17.973247,35.323903,554.172415,0,0,0.000000
34.003,36.628,36628,1077.194,13.139967,18.268159,42.434559,554.172415,0,0,0.000000
35.003,37.352,37352,1067.102,13.180927,18.513919,45.481983,554.172415,0,0,0.000000
36.003,38.405,38405,1066.705,13.213695,18.644991,44.728319,554.172415,0,0,0.000000
37.003,39.401,39401,1064.792,13.230079,18.743295,45.055999,554.172415,0,0,0.000000
38.004,40.436,40436,1064.005,13.254655,18.841599,44.335103,554.172415,0,0,0.000000
