time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1567,1566.892,6.565887,10.567679,98.762751,223.477759,0,0,0.000000
2.000,6.667,3165,1582.376,6.557695,9.445375,98.762751,223.608831,0,0,0.000000
3.000,10.001,5135,1711.543,6.410239,8.388607,97.779711,223.608831,0,0,0.000000
4.000,13.334,6958,1739.373,6.402047,7.999487,98.762751,419.168255,0,0,0.000000
5.000,16.668,8906,1781.062,6.373375,7.811071,97.779711,419.168255,0,0,0.000000
6.001,20.002,10770,1794.849,6.324223,7.688191,98.762751,419.168255,0,0,0.000000
7.001,23.335,12601,1799.998,6.283263,7.573503,98.762751,419.168255,0,0,0.000000
8.001,26.669,13677,1709.492,6.291455,7.585791,210.501631,419.168255,0,0,0.000000
9.002,30.006,14868,1651.675,6.291455,7.618559,210.370559,419.168255,0,0,0.000000
10.002,33.339,16188,1618.509,6.279167,7.614463,210.501631,419.168255,0,0,0.000000
11.002,36.673,17507,1591.276,6.287359,7.606271,175.374335,419.168255,0,0,0.000000
12.002,40.007,18911,1575.658,6.275071,7.577599,175.374335,419.168255,0,0,0.000000
13.002,43.340,20162,1550.681,6.275071,7.581695,210.763775,419.168255,0,0,0.000000
14.002,46.674,21440,1531.200,6.275071,7.565311,210.763775,419.168255,0,0,0.000000
15.002,50.007,22677,1511.584,6.275071,7.569407,210.501631,419.168255,0,0,0.000000
16.002,53.341,23911,1494.232,6.270975,7.569407,210.501631,419.168255,0,0,0.000000
17.002,56.674,25556,1503.091,6.258687,7.536639,210.763775,425.721855,0,0,0.000000
18.002,60.008,27449,1524.742,6.246399,7.503871,210.763775,425.721855,0,0,0.000000
19.002,63.342,29323,1543.115,6.234111,7.475199,210.763775,425.721855,0,0,0.000000
20.003,66.675,31256,1562.602,6.221823,7.438335,210.632703,425.721855,0,0,0.000000
21.003,70.009,33128,1577.327,6.221823,7.450623,210.501631,426.246143,0,0,0.000000
22.003,73.342,35063,1593.578,6.230015,7.483391,209.584127,426.246143,0,0,0.000000
23.003,76.676,36896,1603.982,6.225919,7.479295,210.370559,426.246143,0,0,0.000000
24.003,80.009,38922,1621.564,6.225919,7.479295,209.453055,426.246143,0,0,0.000000
25.003,83.343,40840,1633.416,6.221823,7.458815,175.374335,426.246143,0,0,0.000000
26.003,86.676,42599,1638.242,6.213631,7.446527,210.239487,426.246143,0,0,0.000000
27.003,90.010,44429,1645.340,6.213631,7.454719,210.239487,426.246143,0,0,0.000000
28.003,93.343,46406,1657.180,6.205439,7.446527,210.370559,426.246143,0,0,0.000000
29.003,96.677,48272,1664.377,6.205439,7.434239,210.239487,426.246143,0,0,0.000000
30.003,100.000,50172,1672.225,6.205439,7.434239,210.370559,426.246143,0,0,0.000000
