time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.334,1456.800,1456.687,6.469,9.084,222.770,317.535,0.000,0.000,0.000,3.334,1032.596,1032.502,6.221,6.876,-56.637,79.320,0.000,0.000,0.000,3.334,1881.004,1880.872,6.717,11.293,502.177,555.750,0.000,0.000,0.000
2,6.667,3209.800,1604.762,6.337,8.287,171.206,317.561,0.000,0.000,0.000,6.667,2873.733,1436.730,6.012,6.801,99.504,79.366,0.000,0.000,0.000,6.667,3545.867,1772.794,6.661,9.773,242.909,555.756,0.000,0.000,0.000
3,10.001,5042.000,1680.535,6.301,7.908,189.294,317.561,0.000,0.000,0.000,10.001,4685.444,1561.676,6.040,6.932,125.762,79.366,0.000,0.000,0.000,10.001,5398.556,1799.393,6.563,8.884,252.826,555.756,0.000,0.000,0.000
4,13.334,6825.400,1706.217,6.277,7.680,189.701,394.815,0.000,0.000,0.000,13.334,6434.973,1608.604,6.069,6.961,126.579,177.744,0.000,0.000,0.000,13.335,7215.827,1803.830,6.485,8.399,252.822,611.886,0.000,0.000,0.000
5,16.668,8587.600,1717.389,6.263,7.615,189.556,471.125,0.000,0.000,0.000,16.668,8122.474,1624.365,6.107,7.064,125.853,339.905,0.000,0.000,0.000,16.668,9052.726,1810.413,6.419,8.167,253.259,602.345,0.000,0.000,0.000
6,20.002,10407.800,1734.498,6.263,7.595,189.727,471.125,0.000,0.000,0.000,20.001,9851.513,1641.795,6.110,7.097,126.587,339.905,0.000,0.000,0.000,20.002,10964.087,1827.201,6.416,8.093,252.867,602.345,0.000,0.000,0.000
7,23.335,12161.000,1737.155,6.255,7.599,189.596,471.125,0.000,0.000,0.000,23.335,11610.638,1658.544,6.120,7.181,126.548,339.905,0.000,0.000,0.000,23.335,12711.362,1815.766,6.389,8.017,252.643,602.345,0.000,0.000,0.000
8,26.669,13838.200,1729.645,6.257,7.614,211.865,471.125,0.000,0.000,0.000,26.669,13231.047,1653.757,6.118,7.159,210.416,339.905,0.000,0.000,0.000,26.669,14445.353,1805.534,6.396,8.068,213.314,602.345,0.000,0.000,0.000
9,30.003,15573.600,1730.231,6.251,7.594,211.681,471.125,0.000,0.000,0.000,30.001,14840.145,1648.667,6.122,7.182,210.508,339.905,0.000,0.000,0.000,30.005,16307.055,1811.795,6.381,8.006,212.855,602.345,0.000,0.000,0.000
10,33.337,17360.200,1735.858,6.247,7.590,211.393,471.125,0.000,0.000,0.000,33.335,16362.421,1636.008,6.129,7.185,210.246,339.905,0.000,0.000,0.000,33.338,18357.979,1835.707,6.365,7.995,212.540,602.345,0.000,0.000,0.000
11,36.670,19114.800,1737.550,6.246,7.592,204.263,471.125,0.000,0.000,0.000,36.668,17846.785,1622.208,6.132,7.230,184.183,339.905,0.000,0.000,0.000,36.672,20382.815,1852.892,6.361,7.953,224.342,602.345,0.000,0.000,0.000
12,40.004,20989.000,1748.925,6.246,7.576,204.158,471.125,0.000,0.000,0.000,40.002,19428.405,1618.810,6.134,7.231,184.156,339.905,0.000,0.000,0.000,40.006,22549.595,1879.040,6.359,7.921,224.159,602.345,0.000,0.000,0.000
13,43.337,22742.400,1749.260,6.240,7.557,211.131,471.125,0.000,0.000,0.000,43.335,20848.333,1603.504,6.135,7.244,210.080,339.905,0.000,0.000,0.000,43.339,24636.467,1895.017,6.345,7.870,212.182,602.345,0.000,0.000,0.000
14,46.671,24560.000,1754.134,6.236,7.543,210.869,471.125,0.000,0.000,0.000,46.669,22305.769,1593.065,6.143,7.265,209.622,339.905,0.000,0.000,0.000,46.673,26814.231,1915.204,6.328,7.822,212.115,602.345,0.000,0.000,0.000
15,50.004,26301.800,1753.304,6.231,7.524,210.921,471.125,0.000,0.000,0.000,50.002,23684.902,1578.799,6.142,7.246,209.883,339.905,0.000,0.000,0.000,50.006,28918.698,1927.809,6.320,7.801,211.959,602.345,0.000,0.000,0.000
16,53.338,28013.400,1750.690,6.230,7.517,210.921,471.125,0.000,0.000,0.000,53.336,25082.929,1567.496,6.145,7.258,209.983,339.905,0.000,0.000,0.000,53.340,30943.871,1933.883,6.315,7.776,211.859,602.345,0.000,0.000,0.000
17,56.672,29814.400,1753.640,6.228,7.519,210.842,472.436,0.000,0.000,0.000,56.670,26768.731,1574.446,6.154,7.282,209.766,342.169,0.000,0.000,0.000,56.673,32860.069,1932.834,6.301,7.757,211.919,602.703,0.000,0.000,0.000
18,60.005,31653.000,1758.352,6.227,7.513,210.790,472.436,0.000,0.000,0.000,60.003,28649.227,1591.439,6.162,7.295,209.825,342.169,0.000,0.000,0.000,60.007,34656.773,1925.265,6.292,7.731,211.755,602.703,0.000,0.000,0.000
19,63.339,33538.200,1765.022,6.223,7.498,210.816,472.436,0.000,0.000,0.000,63.337,30557.548,1608.108,6.165,7.302,210.190,342.169,0.000,0.000,0.000,63.341,36518.852,1921.935,6.282,7.694,211.442,602.703,0.000,0.000,0.000
20,66.672,35362.800,1767.993,6.221,7.501,210.764,472.436,0.000,0.000,0.000,66.671,32388.949,1619.266,6.164,7.282,210.155,342.169,0.000,0.000,0.000,66.674,38336.651,1916.719,6.278,7.721,211.373,602.703,0.000,0.000,0.000
21,70.006,37192.600,1770.928,6.222,7.516,210.764,473.327,0.000,0.000,0.000,70.004,34249.911,1630.767,6.171,7.317,210.113,343.706,0.000,0.000,0.000,70.008,40135.289,1911.088,6.272,7.716,211.415,602.948,0.000,0.000,0.000
22,73.340,39118.400,1777.960,6.225,7.519,210.449,473.327,0.000,0.000,0.000,73.338,36210.203,1645.737,6.172,7.336,209.623,343.706,0.000,0.000,0.000,73.341,42026.597,1910.182,6.278,7.701,211.276,602.948,0.000,0.000,0.000
23,76.673,40977.000,1781.460,6.224,7.518,210.580,595.591,0.000,0.000,0.000,76.671,38076.331,1655.313,6.175,7.355,210.156,380.836,0.000,0.000,0.000,76.675,43877.669,1907.607,6.274,7.681,211.005,810.346,0.000,0.000,0.000
