time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1355,1354.865,6.889471,13.352959,115.867647,260.964351,0,0,0.000000
2.000,6.667,3239,1619.380,6.377471,8.617983,208.797695,420.216831,0,0,0.000000
3.000,10.001,5034,1677.883,6.328319,8.331263,117.637119,420.216831,0,0,0.000000
4.000,13.334,7032,1757.883,6.361087,8.339455,115.867647,420.216831,0,0,0.000000
5.000,16.668,8955,1790.883,6.344703,8.044543,115.212287,420.216831,0,0,0.000000
6.000,20.001,10759,1793.044,6.381567,8.179711,115.212287,420.216831,0,0,0.000000
7.000,23.335,12645,1806.307,6.385663,8.249343,113.836031,420.216831,0,0,0.000000
8.001,26.668,14399,1799.753,6.406143,8.318975,115.081215,420.216831,0,0,0.000000
9.001,30.002,16213,1801.324,6.393855,8.249343,115.081215,420.216831,0,0,0.000000
10.001,33.336,18144,1814.281,6.381567,8.191999,113.836031,422.051839,0,0,0.000000
11.001,36.669,19737,1794.150,6.385663,8.298495,113.836031,422.051839,0,0,0.000000
12.001,40.003,21523,1793.457,6.377471,8.282111,114.622463,422.051839,0,0,0.000000
13.001,43.336,23253,1788.563,6.365183,8.208383,115.802111,422.051839,0,0,0.000000
14.001,46.670,25099,1792.652,6.348799,8.171519,116.916223,422.051839,0,0,0.000000
15.001,50.004,26781,1785.269,6.340607,8.122367,209.715199,422.051839,0,0,0.000000
16.001,53.337,28550,1784.245,6.340607,8.142847,209.846271,422.051839,0,0,0.000000
17.001,56.671,30374,1786.578,6.328319,8.097791,210.239487,422.051839,0,0,0.000000
18.001,60.004,32147,1785.818,6.324223,8.032255,210.239487,422.051839,0,0,0.000000
19.001,63.338,33941,1786.243,6.328319,8.052735,210.239487,422.051839,0,0,0.000000
20.001,66.671,35742,1786.975,6.320127,8.007679,210.501631,422.051839,0,0,0.000000
21.001,70.005,37302,1776.163,6.328319,8.060927,210.632703,422.051839,0,0,0.000000
22.002,73.338,39285,1785.559,6.332415,8.024063,210.501631,422.051839,0,0,0.000000
23.002,76.672,40896,1777.962,6.328319,7.991295,210.894847,422.051839,0,0,0.000000
24.002,80.006,42491,1770.332,6.332415,7.970815,211.156991,422.051839,0,0,0.000000
25.002,83.339,44048,1761.793,6.344703,7.991295,211.288063,423.624703,0,0,0.000000
26.002,86.673,45662,1756.103,6.344703,7.999487,211.288063,423.624703,0,0,0.000000
27.002,90.007,47001,1740.652,6.348799,8.036351,211.550207,423.624703,0,0,0.000000
28.002,93.340,48696,1739.018,6.356991,8.032255,211.550207,423.624703,0,0,0.000000
29.002,96.673,50472,1740.292,6.361087,8.065023,211.550207,423.624703,0,0,0.000000
30.002,100.000,52116,1737.079,6.352895,8.040447,211.812351,423.624703,0,0,0.000000
