time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,0.707,707,706.895,13.221887,23.724031,149.028863,150.339583,0,0,0.000000
2.000,1.337,1337,668.408,13.443071,31.260671,150.339583,159.645695,0,0,0.000000
3.000,2.239,2239,746.227,13.320191,18.923519,157.548543,180.879359,0,0,0.000000
4.001,3.284,3284,820.892,13.246463,18.251775,150.077439,180.879359,0,0,0.000000
5.001,3.855,3855,770.906,13.328383,19.234815,175.112191,271.581183,0,0,0.000000
6.001,4.876,4876,812.572,13.320191,19.251199,158.203903,271.581183,0,0,0.000000
7.001,6.044,6044,863.334,13.311999,18.464767,150.077439,271.581183,0,0,0.000000
8.001,6.966,6966,870.656,13.328383,18.841599,149.028863,271.581183,0,0,0.000000
9.001,8.097,8097,899.566,13.385727,18.677759,147.324927,271.581183,0,0,0.000000
10.001,9.126,9126,912.493,13.393919,18.563071,145.752063,271.581183,0,0,0.000000
11.001,10.341,10341,939.978,13.311999,18.317311,144.310271,271.581183,0,0,0.000000
12.001,11.258,11258,938.050,13.344767,18.317311,143.392767,271.581183,0,0,0.000000
13.002,12.401,12401,953.809,13.352959,18.366463,142.082047,271.581183,0,0,0.000000
14.002,13.317,13317,951.099,13.352959,18.366463,142.475263,271.581183,0,0,0.000000
15.002,14.503,14503,966.752,13.336575,18.268159,140.640255,271.581183,0,0,0.000000
16.002,15.500,15500,968.633,13.320191,18.317311,140.115967,271.581183,0,0,0.000000
17.002,16.722,16722,983.530,13.279231,18.137087,134.610943,271.581183,0,0,0.000000
18.002,17.486,17486,971.329,13.328383,18.431999,140.378111,588.775423,0,0,0.000000
19.002,18.011,18011,947.835,13.320191,18.415615,140.115967,588.775423,0,0,0.000000
20.002,18.890,18890,944.387,13.402111,18.743295,136.183807,588.775423,0,0,0.000000
21.003,19.834,19834,944.361,13.508607,19.283967,131.596287,588.775423,0,0,0.000000
22.003,20.467,20467,930.206,13.582335,19.611647,140.378111,588.775423,0,0,0.000000
23.003,21.444,21444,932.238,13.672447,19.791871,136.183807,588.775423,0,0,0.000000
24.003,22.300,22300,929.057,13.762559,19.922943,132.513791,588.775423,0,0,0.000000
25.003,23.227,23227,928.971,13.844479,19.988479,129.433599,588.775423,0,0,0.000000
26.003,24.083,24083,926.161,13.918207,20.021247,128.450559,588.775423,0,0,0.000000
