time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.334,1519.400,1519.262,6.413,8.946,160.570,297.350,0.000,0.000,0.000,3.334,1138.838,1138.742,6.025,5.824,66.477,192.782,0.000,0.000,0.000,3.334,1899.962,1899.783,6.801,12.068,254.662,401.918,0.000,0.000,0.000
2,6.667,3317.800,1658.783,6.271,7.839,177.996,406.743,0.000,0.000,0.000,6.667,2712.160,1355.976,6.076,7.106,114.113,366.015,0.000,0.000,0.000,6.667,3923.440,1961.590,6.466,8.572,241.879,447.470,0.000,0.000,0.000
3,10.001,5155.000,1718.208,6.276,7.803,126.884,421.842,0.000,0.000,0.000,10.001,4569.723,1523.134,6.110,7.235,47.382,419.502,0.000,0.000,0.000,10.001,5740.277,1913.282,6.442,8.370,206.386,424.182,0.000,0.000,0.000
4,13.334,7063.400,1765.727,6.297,7.839,126.229,421.842,0.000,0.000,0.000,13.334,6497.109,1624.167,6.174,7.428,47.242,419.502,0.000,0.000,0.000,13.334,7629.691,1907.286,6.420,8.250,205.216,424.182,0.000,0.000,0.000
5,16.668,8908.000,1781.475,6.285,7.746,159.213,422.366,0.000,0.000,0.000,16.668,8279.868,1655.854,6.176,7.389,91.710,419.021,0.000,0.000,0.000,16.668,9536.132,1907.097,6.394,8.102,226.717,425.712,0.000,0.000,0.000
6,20.001,10799.200,1799.739,6.273,7.740,167.628,422.366,0.000,0.000,0.000,20.001,10110.424,1684.942,6.148,7.291,94.490,419.021,0.000,0.000,0.000,20.002,11487.976,1914.535,6.398,8.189,240.766,425.712,0.000,0.000,0.000
7,23.335,12706.400,1815.070,6.260,7.707,134.801,422.366,0.000,0.000,0.000,23.335,12013.980,1716.154,6.125,7.238,44.564,419.021,0.000,0.000,0.000,23.335,13398.820,1913.987,6.394,8.176,225.038,425.712,0.000,0.000,0.000
8,26.668,14595.200,1824.271,6.264,7.703,167.195,423.363,0.000,0.000,0.000,26.668,13807.583,1725.818,6.121,7.203,94.436,420.611,0.000,0.000,0.000,26.669,15382.817,1922.724,6.407,8.203,239.955,426.114,0.000,0.000,0.000
9,30.002,16429.800,1825.400,6.260,7.679,131.052,423.363,0.000,0.000,0.000,30.002,15424.166,1713.667,6.125,7.219,32.753,420.611,0.000,0.000,0.000,30.002,17435.434,1937.132,6.396,8.140,229.351,426.114,0.000,0.000,0.000
10,33.336,18260.600,1825.929,6.262,7.678,130.875,424.149,0.000,0.000,0.000,33.336,17121.720,1712.048,6.129,7.243,32.316,421.053,0.000,0.000,0.000,33.336,19399.480,1939.810,6.395,8.114,229.435,427.245,0.000,0.000,0.000
11,36.669,20066.600,1824.105,6.261,7.690,130.764,424.149,0.000,0.000,0.000,36.669,18867.126,1715.072,6.131,7.204,32.416,421.053,0.000,0.000,0.000,36.669,21266.074,1933.139,6.391,8.176,229.112,427.245,0.000,0.000,0.000
12,40.003,21952.400,1829.236,6.253,7.671,130.721,424.149,0.000,0.000,0.000,40.003,20599.314,1716.488,6.125,7.188,31.614,421.053,0.000,0.000,0.000,40.003,23305.486,1941.984,6.381,8.154,229.829,427.245,0.000,0.000,0.000
13,43.336,23763.000,1827.792,6.249,7.642,127.710,424.149,0.000,0.000,0.000,43.336,22470.171,1728.354,6.123,7.189,26.533,421.053,0.000,0.000,0.000,43.337,25055.829,1927.230,6.374,8.095,228.887,427.245,0.000,0.000,0.000
14,46.670,25668.200,1833.312,6.252,7.641,164.220,424.149,0.000,0.000,0.000,46.670,24507.107,1750.384,6.130,7.200,85.154,421.053,0.000,0.000,0.000,46.670,26829.293,1916.240,6.374,8.083,243.286,427.245,0.000,0.000,0.000
15,50.003,27390.600,1825.911,6.250,7.634,186.450,424.149,0.000,0.000,0.000,50.003,26059.995,1737.212,6.125,7.213,121.042,421.053,0.000,0.000,0.000,50.004,28721.205,1914.610,6.374,8.056,251.858,427.245,0.000,0.000,0.000
16,53.337,29100.200,1818.635,6.252,7.672,210.030,424.149,0.000,0.000,0.000,53.337,27480.705,1717.427,6.126,7.232,208.836,421.053,0.000,0.000,0.000,53.337,30719.695,1919.844,6.378,8.112,211.223,427.245,0.000,0.000,0.000
