time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1615,1614.792,10.330111,16.842751,87.687167,93.061119,766,866,0.469363
2.000,6.668,3823,1911.246,9.773055,16.539647,85.786623,93.061119,1856,1990,0.482579
3.000,10.001,5675,1891.415,9.822207,17.285119,77.201407,93.061119,2752,2943,0.483231
4.001,13.335,7268,1816.752,9.822207,19.578879,42.041343,93.061119,3549,3735,0.487232
5.001,16.670,8886,1776.872,9.895935,20.152319,33.357823,241.172479,4360,4554,0.489118
6.001,20.003,10665,1777.197,9.838591,20.185087,38.207487,241.172479,5234,5453,0.489754
7.001,23.337,12440,1776.861,10.231807,20.168703,33.325055,241.172479,6035,6428,0.484233
8.001,26.671,13834,1728.988,10.813439,20.332543,33.439743,241.172479,6574,7276,0.474657
9.001,30.004,15220,1690.857,11.436031,20.398079,32.735231,241.172479,7041,8195,0.462129
10.001,33.338,16505,1650.262,11.870207,20.348927,32.571391,241.172479,7417,9123,0.448428
11.002,36.672,17871,1624.403,12.173311,20.381695,32.505855,241.172479,7805,10082,0.436350
12.002,40.006,19043,1586.690,12.492799,20.611071,32.014335,241.172479,8120,10941,0.426001
13.002,43.339,20190,1552.861,12.705791,20.742143,32.899071,241.172479,8485,11741,0.419510
14.002,46.673,22100,1578.358,12.607487,20.660223,32.571391,241.172479,9466,12659,0.427842
15.002,50.007,23912,1593.923,12.582911,20.627455,31.997951,241.172479,10387,13557,0.433804
16.002,53.340,25812,1613.041,12.419071,20.561919,31.621119,241.172479,11350,14486,0.439309
17.002,56.674,27837,1637.260,12.247039,20.447231,31.277055,241.172479,12365,15501,0.443731
18.002,60.008,29936,1662.896,12.075007,20.332543,31.014911,241.172479,13399,16562,0.447215
19.002,63.341,32129,1690.785,11.886591,20.234239,30.785535,241.172479,14529,17636,0.451702
20.003,66.675,34159,1707.732,11.722751,20.185087,30.752767,241.172479,15557,18626,0.455109
21.003,70.009,36199,1723.542,11.640831,20.103167,30.457855,241.172479,16562,19687,0.456895
22.003,73.343,38266,1739.139,11.534335,20.021247,30.048255,241.172479,17570,20722,0.458843
23.003,76.676,40038,1740.561,11.485183,20.037631,30.507007,241.172479,18433,21633,0.460066
24.003,80.010,41693,1736.988,11.444223,20.086783,31.162367,241.172479,19285,22461,0.461960
25.003,83.344,43685,1747.180,11.395071,20.037631,31.096831,241.172479,20261,23465,0.463363
26.003,86.678,45841,1762.892,11.304959,19.972095,30.965759,241.172479,21336,24535,0.465130
27.003,90.011,47804,1770.298,11.263999,19.906559,30.949375,241.172479,22291,25541,0.466027
28.003,93.345,49876,1781.066,11.173887,19.824639,30.785535,241.172479,23314,26591,0.467168
29.004,96.679,51967,1791.742,11.108351,19.759103,30.605311,241.172479,24351,27645,0.468324
30.004,100.000,53784,1792.578,11.100159,19.775487,30.457855,241.172479,25225,28581,0.468814
