time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1607,1606.834,12.967935,21.233663,29.933567,40.992767,769,854,0.473814
2.000,6.667,3435,1717.342,12.165119,20.512767,26.820607,40.992767,1661,1790,0.481310
3.000,10.001,5211,1736.831,11.485183,20.611071,27.852799,40.992767,2556,2675,0.488626
4.000,13.335,6816,1703.842,11.304959,20.889599,29.933567,48.922623,3353,3479,0.490779
5.000,16.668,8449,1689.646,11.689983,20.824063,29.605887,48.922623,4150,4315,0.490254
6.001,20.002,10224,1703.849,11.345919,20.692991,28.966911,48.922623,5045,5204,0.492243
7.001,23.335,11882,1697.274,12.320767,20.611071,28.737535,48.922623,5781,6117,0.485880
8.001,26.669,13253,1656.473,12.746751,20.758527,29.147135,48.955391,6343,6926,0.478032
9.001,30.003,14412,1601.177,12.992511,21.069823,30.457855,69.402623,6783,7645,0.470128
10.001,33.337,15480,1547.843,13.467647,21.381119,31.211519,69.402623,7109,8390,0.458675
11.001,36.671,16523,1501.933,13.852671,21.872639,31.965183,69.402623,7445,9130,0.449170
12.001,40.004,17627,1468.765,14.155775,22.102015,33.652735,69.402623,7752,9891,0.439381
13.001,43.338,18784,1444.777,14.360575,22.052863,33.718271,69.402623,8071,10746,0.428921
14.001,46.671,19677,1405.361,14.622719,22.642687,35.520511,69.402623,8265,11428,0.419692
15.001,50.005,20557,1370.333,14.671871,23.429119,42.467327,83.492863,8670,11907,0.421344
16.002,53.339,21687,1355.306,14.614527,23.887871,47.513599,102.498303,9265,12457,0.426526
17.002,56.672,22633,1331.220,14.598143,24.264703,49.283071,277.086207,9727,12934,0.429240
18.002,60.006,23856,1325.204,14.524415,24.608767,50.069503,277.086207,10364,13532,0.433713
19.002,63.340,24738,1301.873,14.499839,25.231359,54.263807,277.086207,10807,13970,0.436171
20.002,66.673,25985,1299.123,14.417919,25.509887,55.115775,277.086207,11426,14592,0.439158
21.002,70.007,26898,1280.730,14.426111,26.132479,55.345151,277.086207,11857,15073,0.440290
22.002,73.341,27849,1265.735,14.409727,26.853375,55.672831,277.086207,12345,15546,0.442616
23.002,76.675,29465,1280.955,14.245887,26.509311,55.345151,277.086207,13144,16354,0.445590
24.002,80.008,31134,1297.117,14.147583,26.116095,55.148543,277.086207,13995,17165,0.449134
25.003,83.342,32901,1315.904,14.016511,25.673727,53.968895,277.086207,14864,18059,0.451478
26.003,86.676,34617,1331.284,13.942783,25.427967,53.182463,277.086207,15730,18912,0.454073
27.003,90.009,35589,1317.975,13.860863,25.444351,55.345151,350.224383,16209,19411,0.455053
28.003,93.343,36509,1303.757,13.811711,25.542655,57.278463,350.224383,16656,19885,0.455817
29.003,96.677,37368,1288.416,13.803519,25.722879,58.949631,350.224383,17080,20315,0.456746
30.003,100.000,38367,1278.763,13.762559,25.657343,61.505535,350.224383,17605,20851,0.457796
