time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,458,457.929,32.423935,90.046463,156.237823,160.301055,183,293,0.384454
2.000,6.668,642,320.951,30.441471,120.061951,496.762879,532.938751,278,380,0.422492
3.001,10.002,843,280.948,31.031295,165.412863,436.207615,532.938751,376,484,0.437209
4.001,13.335,1216,303.952,29.474815,143.261695,418.119679,532.938751,572,663,0.463158
5.001,16.669,1447,289.354,31.260671,156.631039,409.468927,532.938751,670,793,0.457963
6.001,20.003,269446,44901.346,0.001023,0.077823,0.165375,532.938751,269438,1042,0.996148
7.001,23.336,968027,138271.712,0.001023,0.077823,0.150015,532.938751,967101,1042,0.998924
8.001,26.670,1672062,208982.506,0.001023,0.077823,0.147455,532.938751,1671340,1042,0.999377
9.001,30.003,2369128,263206.566,0.001023,0.077311,0.146943,532.938751,2368161,1042,0.999560
10.001,33.337,3073943,307361.099,0.001023,0.077311,0.147455,532.938751,3073336,1042,0.999661
11.001,36.670,3768690,342572.728,0.001023,0.077823,0.147455,532.938751,3767724,1042,0.999724
12.001,40.004,4474274,372818.954,0.001023,0.077823,0.147455,532.938751,4473874,1042,0.999767
13.001,43.338,5171511,397770.098,0.001023,0.077823,0.147455,532.938751,5170602,1042,0.999799
14.001,46.671,5867531,419070.013,0.001023,0.077823,0.147455,532.938751,5866596,1042,0.999822
15.001,50.005,6574548,438263.110,0.001023,0.077823,0.146943,532.938751,6573607,1042,0.999842
16.001,53.338,7285797,455321.652,0.001023,0.077311,0.146431,532.938751,7284841,1042,0.999857
17.001,56.672,7987371,469804.277,0.001023,0.077311,0.145919,532.938751,7986414,1042,0.999870
18.002,60.005,8682410,482314.673,0.001023,0.077311,0.145919,532.938751,8681452,1042,0.999880
19.002,63.339,9393763,494366.849,0.001023,0.077311,0.145919,532.938751,9392796,1042,0.999889
20.002,66.672,10100601,504988.052,0.001023,0.077311,0.145919,532.938751,10099692,1042,0.999897
21.002,70.006,10810391,514738.641,0.001023,0.077311,0.145407,532.938751,10809439,1042,0.999904
22.002,73.339,11508565,523074.579,0.001023,0.077311,0.145407,532.938751,11507611,1042,0.999909
23.002,76.673,12211571,530895.748,0.001023,0.077311,0.145407,532.938751,12210625,1042,0.999915
24.002,80.006,12921674,538360.848,0.001023,0.077311,0.145407,532.938751,12920717,1042,0.999919
25.002,83.340,13623137,544883.201,0.001023,0.077311,0.145407,532.938751,13622177,1042,0.999924
26.002,86.673,14323341,550855.397,0.001023,0.077311,0.145407,532.938751,14322376,1042,0.999927
27.002,90.007,15025640,556462.780,0.001023,0.077311,0.145407,532.938751,15026513,1042,0.999931
28.002,93.340,15727971,561670.800,0.001023,0.077311,0.145407,532.938751,15727017,1042,0.999934
29.002,96.674,16418314,566106.318,0.001023,0.077311,0.145407,532.938751,16417362,1042,0.999937
30.002,100.000,17118046,570559.075,0.001023,0.077311,0.145407,532.938751,17117080,1042,0.999939
