time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1640,1639.814,11.395071,22.167551,44.892159,56.557567,770,886,0.464976
2.000,6.667,528780,264371.038,0.001023,0.080383,0.201215,56.557567,527944,1039,0.998036
3.000,10.001,1178718,392879.585,0.001023,0.083967,0.172031,56.557567,1177775,1039,0.999119
4.000,13.334,1846098,461494.704,0.001023,0.083967,0.164863,56.557567,1845136,1039,0.999437
5.000,16.668,2544362,508839.849,0.001023,0.081919,0.156671,56.557567,2543450,1039,0.999592
6.000,20.001,3226965,537793.754,0.001023,0.081407,0.154111,56.557567,3226009,1039,0.999678
7.000,23.335,3928583,561191.159,0.001023,0.080895,0.151551,56.557567,3927651,1039,0.999736
8.000,26.668,4635269,579372.787,0.001023,0.079871,0.149503,56.557567,4634303,1039,0.999776
9.001,30.002,5334420,592676.980,0.001023,0.079359,0.148479,56.557567,5333466,1039,0.999805
10.001,33.335,6039962,603959.419,0.001023,0.078847,0.147455,56.557567,6039018,1039,0.999828
11.001,36.669,6733242,612075.828,0.001023,0.078847,0.147455,56.557567,6732295,1039,0.999846
12.001,40.002,7440109,619971.701,0.001023,0.078847,0.146943,56.557567,7440595,1039,0.999860
13.001,43.336,8129683,625322.671,0.001023,0.078847,0.146943,56.557567,8128715,1039,0.999872
14.001,46.669,8829906,630669.744,0.001023,0.078847,0.146431,56.557567,8828947,1039,0.999882
15.001,50.003,9531461,635392.738,0.001023,0.078335,0.145919,56.557567,9530500,1039,0.999891
16.001,53.337,10236730,639757.390,0.001023,0.078335,0.145407,56.557567,10235777,1039,0.999899
17.001,56.670,10934909,643191.581,0.001023,0.078335,0.145407,56.557567,10933954,1039,0.999905
18.001,60.003,11635887,646400.529,0.001023,0.078335,0.145407,56.557567,11634957,1039,0.999911
19.001,63.337,12334695,649156.701,0.001023,0.078335,0.145407,56.557567,12333766,1039,0.999916
20.001,66.671,13038071,651865.565,0.001023,0.078335,0.144895,56.557567,13037185,1039,0.999920
21.001,70.004,13736010,654057.607,0.001023,0.078335,0.144895,56.557567,13735952,1039,0.999924
22.001,73.338,14436576,656169.763,0.001023,0.078335,0.144895,56.557567,14435626,1039,0.999928
23.001,76.671,15120570,657377.832,0.001023,0.078335,0.144895,56.557567,15119600,1039,0.999931
24.001,80.005,15819929,659125.318,0.001023,0.078335,0.144895,56.557567,15818969,1039,0.999934
25.001,83.338,16514437,660539.047,0.001023,0.078335,0.144895,56.557567,16513467,1039,0.999937
26.002,86.672,17215185,662083.896,0.001023,0.078335,0.144895,56.557567,17214220,1039,0.999940
27.002,90.005,17912224,663376.980,0.001023,0.078335,0.144895,56.557567,17911252,1039,0.999942
28.002,93.339,18620790,664989.396,0.001023,0.078335,0.144383,56.557567,18619843,1039,0.999944
29.002,96.672,19317270,666073.680,0.001023,0.078335,0.144383,56.557567,19316313,1039,0.999946
30.002,100.000,20018732,667251.920,0.001023,0.077823,0.144383,56.557567,20017766,1039,0.999948
