time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,0.929,929,928.860,14.737407,22.036479,67.108863,96.075775,29,929,0.030271
2.000,2.156,2156,1077.864,14.163967,20.791295,62.652415,96.075775,193,1983,0.088695
3.000,3.425,3425,1141.515,14.032895,20.692991,53.477375,96.075775,509,2937,0.147707
4.001,5.021,5021,1255.074,13.295615,20.217855,38.240255,230.162431,1061,4005,0.209435
5.001,6.933,6933,1386.403,12.951551,20.054015,37.683199,230.162431,1959,5005,0.281304
6.001,9.333,9333,1555.278,12.410879,19.808255,33.472511,230.162431,3282,6091,0.350155
7.001,12.273,12273,1753.042,11.345919,19.660799,32.669695,230.162431,5269,7061,0.427332
8.001,16.577,16577,2071.855,0.009215,19.021823,28.671999,230.162431,8556,8108,0.513442
9.001,23.612,23612,2623.232,0.001535,17.629183,24.559615,230.162431,14651,9115,0.616469
10.001,50.360,50360,5035.367,0.001023,14.589951,22.364159,230.162431,41989,10021,0.807326
10.160,100.000,100000,9842.133,0.001023,9.338879,20.594687,230.162431,89906,10094,0.899060
