time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,3443,3442.685,4.972543,8.904703,15.769599,221.642751,1755,1885,0.482143
2.000,6.667,7045,3522.246,4.874239,8.945663,15.564799,221.642751,3648,3788,0.490586
3.000,10.001,10604,3534.430,4.681727,8.757247,14.786559,222.429183,5442,5643,0.490934
4.000,13.334,13884,3470.740,4.734975,8.888319,15.605759,226.230271,7238,7379,0.495177
5.000,16.668,17663,3532.347,4.685823,8.814591,15.335423,226.230271,9130,9275,0.496061
6.000,20.001,438190,73026.468,0.000511,0.000511,7.475199,226.230271,428439,10118,0.976929
7.000,23.335,1749849,249961.044,0.000511,0.000511,0.005119,226.230271,1750760,10253,0.994178
8.001,26.668,3112162,388993.630,0.000511,0.000511,0.003583,226.230271,3102156,10402,0.996658
9.001,30.002,4517934,501958.870,0.000511,0.000511,0.003071,226.230271,4550160,10554,0.997686
10.001,33.336,5841712,584132.448,0.000511,0.000511,0.003071,226.230271,5831909,10681,0.998172
11.001,36.669,7104335,645806.251,0.000511,0.000511,0.003071,226.230271,7098847,10819,0.998478
12.001,40.003,8469442,705740.760,0.000511,0.000511,0.003071,226.230271,8458909,10951,0.998707
13.001,43.336,9797814,753626.293,0.000511,0.000511,0.003071,226.230271,9794748,11087,0.998869
14.001,46.670,11063052,790164.436,0.000511,0.000511,0.003071,226.230271,11052489,11218,0.998986
15.001,50.003,12401056,826681.540,0.000511,0.000511,0.003071,226.230271,12396331,11358,0.999085
16.001,53.337,13753356,859526.171,0.000511,0.000511,0.003071,226.230271,13755295,11506,0.999164
17.001,56.670,15057947,885701.731,0.000511,0.000511,0.003071,226.230271,15046758,11641,0.999227
18.001,60.004,16413948,911824.826,0.000511,0.000511,0.003071,226.230271,16402636,11773,0.999283
19.001,63.338,17691450,931066.864,0.000511,0.000511,0.003071,226.230271,17690900,11916,0.999327
20.001,66.671,19045576,952215.153,0.000511,0.000511,0.003071,228.589567,19158845,12071,0.999370
21.001,70.005,20395291,971139.759,0.000511,0.000511,0.003071,228.589567,20393985,12205,0.999402
22.001,73.338,21734856,987882.389,0.000511,0.000511,0.003071,228.589567,21728537,12332,0.999433
23.002,76.672,23076080,1003241.371,0.000511,0.000511,0.003071,228.589567,23064407,12470,0.999460
24.002,80.005,24424275,1017611.045,0.000511,0.000511,0.003071,228.589567,24420531,12606,0.999484
25.002,83.339,25727663,1029038.879,0.000511,0.000511,0.003071,228.589567,25723873,12721,0.999506
26.002,86.673,27053282,1040440.504,0.000511,0.000511,0.003071,228.589567,27043175,12854,0.999525
27.002,90.006,28393781,1051550.685,0.000511,0.000511,0.003071,228.589567,28386444,12980,0.999543
28.002,93.340,29761026,1062822.500,0.000511,0.000511,0.003071,228.589567,29753314,13129,0.999559
29.002,96.673,31124737,1073195.182,0.000511,0.000511,0.003071,228.589567,31120178,13270,0.999574
30.002,100.000,32374355,1079073.016,0.000511,0.000511,0.003071,228.589567,32367792,13394,0.999586
