time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1829,1828.723,10.936319,19.873791,24.903679,66.682879,873,972,0.473171
2.000,6.667,3846,1922.780,10.190847,19.759103,24.264703,66.682879,1866,1999,0.482794
3.000,10.001,5899,1966.124,10.248191,19.660799,23.035903,66.682879,2962,3062,0.491700
4.000,13.335,8078,2019.289,10.108927,19.415039,22.986751,66.682879,3959,4138,0.488947
5.001,16.669,10062,2012.176,9.854975,19.267583,22.872063,232.128511,4955,5123,0.491665
6.001,20.002,12218,2036.107,9.912319,18.513919,22.446079,232.128511,5945,6289,0.485941
7.001,23.336,14017,2002.217,10.207231,18.350079,22.478847,232.128511,6625,7408,0.472101
8.001,26.669,15847,1980.668,10.452991,17.956863,22.364159,232.128511,7212,8651,0.454643
9.001,30.003,17613,1956.804,10.608639,17.629183,22.282239,232.128511,7746,9884,0.439365
10.001,33.337,19227,1922.507,10.788863,17.481727,22.200319,232.128511,8156,11090,0.423776
11.001,36.671,21272,1933.613,10.764287,17.235967,22.102015,232.128511,9043,12285,0.423997
12.001,40.004,23642,1969.960,10.641407,17.072127,22.020095,232.128511,10238,13461,0.432001
13.001,43.338,25762,1981.487,10.575871,17.121279,22.265855,232.128511,11261,14528,0.436659
14.001,46.672,27898,1992.505,10.534911,17.154047,22.347775,232.128511,12320,15607,0.441150
15.002,50.005,30116,2007.520,10.485759,17.154047,22.298623,232.128511,13437,16709,0.445731
16.002,53.339,32311,2019.223,10.436607,17.170431,22.298623,232.128511,14536,17813,0.449349
17.002,56.673,34510,2029.785,10.387455,17.154047,22.265855,232.128511,15628,18917,0.452395
18.002,60.006,36686,2037.897,10.362879,17.121279,22.216703,232.128511,16677,20046,0.454130
19.002,63.340,38989,2051.842,10.313727,17.055743,22.200319,232.128511,17829,21185,0.456990
20.002,66.673,41261,2062.843,10.256383,17.039359,22.200319,232.128511,18973,22323,0.459439
21.002,70.007,43487,2070.595,10.199039,17.039359,22.265855,232.128511,20087,23431,0.461579
22.002,73.341,45687,2076.468,10.174463,17.039359,22.282239,232.128511,21193,24529,0.463519
23.002,76.675,47927,2083.569,10.149887,16.990207,22.216703,232.128511,22282,25683,0.464547
24.002,80.008,50132,2088.618,10.125311,16.973823,22.183935,232.128511,23364,26810,0.465660
25.003,83.342,52417,2096.462,10.100735,16.941055,22.183935,232.128511,24487,27962,0.466873
26.003,86.676,54692,2103.315,10.076159,16.891903,22.167551,232.128511,25614,29106,0.468092
27.003,90.010,57241,2119.809,10.018815,16.809983,22.069247,232.128511,26943,30331,0.470423
28.003,93.343,59464,2123.484,10.002431,16.809983,22.020095,232.128511,28057,31443,0.471546
29.003,96.677,61790,2130.456,9.977855,16.769023,21.938175,232.128511,29216,32618,0.472491
30.003,100.000,63999,2133.068,9.961471,16.809983,21.889023,232.128511,30316,33719,0.473429
