time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1,3.334,1971.600,1971.347,10.405,17.762,23.980,131.006,965.600,1062.600,0.476
2,6.667,4211.000,2105.261,9.726,17.408,22.351,164.535,2038.200,2190.400,0.482
3,10.001,6401.000,2133.412,9.514,17.531,22.174,164.535,3153.400,3285.800,0.490
4,13.335,8585.200,2146.042,9.408,17.573,22.711,164.535,4230.000,4374.600,0.492
5,16.669,10689.400,2137.621,9.496,17.675,22.456,197.624,5249.600,5456.000,0.490
6,20.002,12621.200,2103.276,9.835,17.690,22.256,197.624,6092.800,6555.200,0.482
7,23.336,14339.400,2048.237,10.140,17.786,22.308,197.729,6719.600,7639.600,0.468
8,26.670,15953.400,1993.928,10.417,17.809,22.433,197.729,7238.800,8733.400,0.453
9,30.004,17502.200,1944.452,10.648,17.867,22.770,197.729,7701.000,9824.000,0.440
10,33.337,19062.200,1905.992,10.843,17.791,22.718,232.994,8114.800,10970.000,0.425
11,36.671,20983.200,1907.335,10.854,17.636,22.613,233.413,8867.800,12150.800,0.422
12,40.005,23280.200,1939.783,10.740,17.508,22.512,233.413,10025.800,13292.200,0.430
13,43.339,25473.600,1959.272,10.668,17.534,22.580,233.413,11119.000,14387.000,0.436
14,46.673,27665.000,1975.834,10.612,17.537,22.462,233.413,12205.600,15494.600,0.441
15,50.006,29920.200,1994.440,10.545,17.492,22.361,233.413,13327.400,16623.600,0.445
16,53.340,32209.800,2012.873,10.469,17.418,22.279,233.413,14478.000,17768.800,0.449
17,56.674,34369.000,2021.463,10.430,17.421,22.381,233.413,15537.600,18864.200,0.452
18,60.007,36431.600,2023.738,10.407,17.465,22.557,233.413,16557.000,19908.200,0.454
19,63.341,38491.600,2025.636,10.376,17.492,22.770,233.413,17581.200,20946.800,0.456
20,66.674,40619.400,2030.733,10.332,17.529,22.859,233.413,18645.200,22008.600,0.459
21,70.008,42816.600,2038.648,10.288,17.544,22.790,233.413,19744.400,23107.600,0.461
22,73.342,44961.200,2043.453,10.261,17.577,22.793,233.413,20814.800,24181.600,0.463
23,76.676,47162.400,2050.301,10.230,17.555,22.770,233.413,21896.600,25300.800,0.464
24,80.009,49233.600,2051.164,10.201,17.565,23.249,233.413,22911.400,26356.400,0.465
25,83.343,51395.000,2055.565,10.173,17.590,23.288,233.413,23980.600,27451.200,0.466
26,86.677,53568.200,2060.078,10.145,17.596,23.278,233.413,25063.600,28536.200,0.468
27,90.010,55798.000,2066.354,10.120,17.591,23.226,233.413,26189.800,29641.200,0.469
28,93.344,57948.400,2069.347,10.101,17.613,23.216,233.413,27269.600,30713.400,0.470
29,96.678,60057.200,2070.698,10.070,17.650,23.337,233.413,28335.400,31760.800,0.471
30,100.000,62207.800,2073.355,10.043,17.647,23.521,233.413,29413.400,32828.600,0.473
