time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.334,1971.600,1971.347,10.405,17.762,23.980,131.006,965.600,1062.600,0.476,3.334,1750.627,1750.465,9.776,15.164,20.376,14.931,846.046,942.429,0.472,3.334,2192.573,2192.229,11.035,20.360,27.583,247.082,1085.154,1182.771,0.480
2,6.667,4211.000,2105.261,9.726,17.408,22.351,164.535,2038.200,2190.400,0.482,6.667,3763.451,1881.537,9.343,14.838,20.491,44.649,1821.259,1959.627,0.479,6.668,4658.549,2328.984,10.108,19.978,24.211,284.420,2255.141,2421.173,0.485
3,10.001,6401.000,2133.412,9.514,17.531,22.174,164.535,3153.400,3285.800,0.490,10.001,5897.895,1965.767,8.976,15.715,21.037,44.649,2927.420,3046.775,0.487,10.001,6904.105,2301.058,10.052,19.347,23.311,284.420,3379.380,3524.825,0.492
4,13.335,8585.200,2146.042,9.408,17.573,22.711,164.535,4230.000,4374.600,0.492,13.335,8075.288,2018.604,8.874,15.991,22.081,44.649,3968.008,4128.382,0.490,13.335,9095.112,2273.481,9.941,19.156,23.342,284.420,4491.992,4620.818,0.493
5,16.669,10689.400,2137.621,9.496,17.675,22.456,197.624,5249.600,5456.000,0.490,16.668,10039.006,2007.581,9.201,16.024,21.921,95.966,4958.378,5095.649,0.488,16.669,11339.794,2267.662,9.792,19.326,22.991,299.282,5540.822,5816.351,0.493
6,20.002,12621.200,2103.276,9.835,17.690,22.256,197.624,6092.800,6555.200,0.482,20.002,12065.362,2010.665,9.612,16.288,21.694,95.966,5875.183,6209.642,0.477,20.003,13177.038,2195.887,10.059,19.092,22.818,299.282,6310.417,6900.758,0.486
7,23.336,14339.400,2048.237,10.140,17.786,22.308,197.729,6719.600,7639.600,0.468,23.336,13823.004,1974.488,9.977,16.483,21.676,95.998,6550.222,7287.311,0.463,23.337,14855.796,2121.986,10.303,19.090,22.941,299.459,6888.978,7991.889,0.473
8,26.670,15953.400,1993.928,10.417,17.809,22.433,197.729,7238.800,8733.400,0.453,26.669,15338.441,1917.075,10.247,16.528,21.559,95.998,7058.648,8298.782,0.447,26.670,16568.359,2070.782,10.587,19.091,23.307,299.459,7418.952,9168.018,0.459
9,30.004,17502.200,1944.452,10.648,17.867,22.770,197.729,7701.000,9824.000,0.440,30.003,16793.487,1865.713,10.432,16.513,21.376,95.998,7500.401,9311.402,0.433,30.004,18210.913,2023.191,10.864,19.220,24.165,299.459,7901.599,10336.598,0.446
10,33.337,19062.200,1905.992,10.843,17.791,22.718,232.994,8114.800,10970.000,0.425,33.337,18345.932,1834.374,10.575,16.399,21.382,228.022,7946.822,10422.771,0.418,33.338,19778.468,1977.610,11.111,19.184,24.054,237.965,8282.778,11517.229,0.433
