time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,0.657,657,656.933,9.035775,86.376447,222.167039,319.291391,13,666,0.019146
2.000,1.134,1134,566.946,9.650175,86.441983,268.042239,319.291391,62,1202,0.049051
3.000,1.624,1624,541.288,9.453567,86.376447,278.396927,445.382655,107,1568,0.063881
4.000,2.224,2224,555.957,9.265151,85.131263,265.945087,445.382655,219,2097,0.094560
5.000,3.346,3346,669.146,9.142271,63.700991,235.143167,445.382655,504,2928,0.146853
6.001,4.396,4396,732.596,9.003007,60.653567,223.084543,445.382655,838,3580,0.189679
7.001,5.921,5921,845.780,8.601599,53.280767,222.298111,445.382655,1626,4685,0.257645
8.001,8.558,8558,1069.653,7.872511,30.736383,209.453055,445.382655,3100,5976,0.341560
9.001,11.952,11952,1327.880,7.000063,21.184511,196.476927,445.382655,5443,7137,0.432671
10.001,16.764,16764,1676.253,0.001023,15.712255,126.877695,445.382655,9554,8351,0.533594
11.001,21.979,21979,1997.916,0.000511,13.328383,106.954751,459.800575,13605,8991,0.602098
12.001,29.036,29036,2419.460,0.000511,11.829247,92.340223,459.800575,23392,9684,0.707220
12.998,100.000,100000,7693.620,0.000511,5.349375,46.104575,459.800575,89911,10089,0.899110
