time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1822,1821.781,10.534911,20.054015,28.721151,69.271551,870,968,0.473341
2.000,6.667,3678,1838.828,10.485759,20.086783,25.247743,69.271551,1862,1947,0.488842
3.000,10.001,5618,1872.477,10.051583,20.103167,25.247743,69.271551,2758,2881,0.489094
4.000,13.335,7617,1904.040,9.887743,20.021247,24.461311,69.271551,3756,3880,0.491881
5.001,16.669,9620,1923.777,9.715711,19.873791,23.986175,233.308159,4753,4884,0.493203
6.001,20.003,11807,1967.576,9.797631,19.677183,23.396351,233.308159,5765,6058,0.487609
7.001,23.336,13550,1935.456,10.305535,19.644415,23.199743,233.308159,6474,7131,0.475854
8.001,26.670,15012,1876.264,10.715135,19.775487,23.560191,233.308159,6946,8082,0.462204
9.001,30.004,16398,1821.776,11.051007,19.873791,23.805951,233.308159,7390,9028,0.450116
10.001,33.337,17775,1777.287,11.362303,19.890175,24.035327,233.308159,7801,10012,0.437939
11.001,36.671,19095,1735.700,11.640831,19.922943,24.182783,233.308159,8113,11005,0.424364
12.001,40.005,20631,1719.040,11.730943,19.939327,24.575999,233.308159,8694,11974,0.420650
13.002,43.339,22599,1738.171,11.599871,19.922943,24.592383,252.313599,9686,12953,0.427846
14.002,46.672,24947,1781.706,11.386879,19.841023,24.248319,252.313599,10861,14118,0.434805
15.002,50.006,26986,1798.841,11.321343,19.808255,24.100863,252.313599,11878,15148,0.439503
16.002,53.340,28855,1803.196,11.304959,19.841023,24.100863,252.313599,12788,16107,0.442568
17.002,56.674,30895,1817.114,11.231231,19.841023,23.904255,252.313599,13833,17096,0.447250
18.002,60.008,32803,1822.147,11.198463,19.841023,23.805951,252.313599,14757,18072,0.449511
19.003,63.342,34813,1832.021,11.157503,19.841023,23.805951,252.313599,15772,19071,0.452659
20.003,66.675,36691,1834.308,11.132927,19.857407,23.789567,252.313599,16669,20047,0.453998
21.003,70.009,38683,1841.806,11.010047,19.841023,23.805951,252.313599,17674,21036,0.456575
22.003,73.343,40908,1859.210,10.911743,19.791871,23.822335,252.313599,18786,22149,0.458923
23.003,76.677,43206,1878.276,10.788863,19.726335,23.805951,252.313599,19944,23293,0.461272
24.003,80.010,45356,1889.589,10.723327,19.693567,23.838719,252.313599,21014,24368,0.463047
25.003,83.344,47574,1902.716,10.665983,19.611647,23.773183,252.313599,22088,25517,0.463985
26.003,86.678,49789,1914.719,10.608639,19.546111,23.756799,252.313599,23168,26651,0.465043
27.003,90.011,51917,1922.607,10.575871,19.496959,23.773183,252.313599,24222,27730,0.466238
28.004,93.345,54085,1931.365,10.534911,19.431423,23.789567,252.313599,25313,28806,0.467729
29.004,96.679,56283,1940.553,10.469375,19.365887,23.789567,252.313599,26433,29886,0.469344
30.004,100.000,58554,1951.537,10.403839,19.283967,23.773183,252.313599,27599,30987,0.471085
