time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,2.388,2388,2387.778,0.001535,16.048127,58.753023,80.543743,1401,1037,0.574651
2.000,7.118,7118,3558.721,0.001023,14.344191,22.544383,80.543743,4904,2266,0.683961
3.000,13.026,13026,4341.619,0.001023,13.811711,21.200895,94.175231,9748,3381,0.742478
4.000,21.573,21573,5392.726,0.001023,13.295615,19.677183,94.175231,17205,4558,0.790562
5.001,30.203,30203,6039.946,0.001023,13.017087,20.234239,94.175231,24776,5583,0.816101
6.001,38.576,38576,6428.688,0.001023,12.886015,20.398079,94.175231,32130,6550,0.830662
7.001,48.934,48934,6989.878,0.001023,12.492799,20.316159,94.175231,41420,7565,0.845565
8.001,63.597,63597,7948.854,0.001023,11.812863,19.988479,94.175231,55008,8778,0.862384
9.001,77.452,77452,8604.695,0.001023,11.190271,19.873791,134.348799,67967,9796,0.874027
10.001,97.011,97011,9699.915,0.001023,10.231807,19.480575,134.348799,86508,11009,0.887107
10.144,100.000,100000,9858.291,0.001023,10.084351,19.365887,134.348799,88845,11155,0.888450
