time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,3094,3093.738,5.230591,8.757247,68.878335,221.249535,1855,2026,0.477970
2.000,6.667,6606,3302.718,4.800511,8.384511,15.507455,221.249535,3549,3733,0.487366
3.000,10.001,10037,3345.369,4.677631,8.331263,13.795327,222.691327,5044,5184,0.493156
4.000,13.335,13830,3457.187,4.587519,8.384511,13.123583,222.691327,7138,7269,0.495454
5.000,16.668,17630,3525.703,4.562943,8.359935,12.738559,222.691327,8732,8914,0.494843
6.001,20.002,582854,97130.688,0.000511,0.000511,6.606847,232.652799,574591,10134,0.982669
7.001,23.336,2202486,314605.442,0.000511,0.000511,0.006655,232.652799,2203657,10275,0.995359
8.001,26.670,3821185,477591.583,0.000511,0.000511,0.004095,232.652799,3814635,10449,0.997268
9.001,30.003,5352865,594695.696,0.000511,0.000511,0.004095,232.652799,5345198,10597,0.998021
10.001,33.337,6827583,682684.842,0.000511,0.000511,0.003583,232.652799,6823704,10743,0.998428
11.001,36.671,8432020,766463.368,0.000511,0.000511,0.003583,232.652799,8421633,10894,0.998708
12.001,40.005,10074807,839465.142,0.000511,0.000511,0.003583,438.042623,10093059,11064,0.998905
13.002,43.338,11715235,901066.649,0.000511,0.000511,0.003583,438.042623,11705077,11230,0.999042
14.002,46.672,13339032,952680.697,0.000511,0.000511,0.003583,438.042623,13334260,11388,0.999147
15.002,50.005,14931897,995351.306,0.000511,0.000511,0.003583,438.042623,14922291,11546,0.999227
16.002,53.339,16558391,1034788.294,0.000511,0.000511,0.003583,438.042623,16553979,11723,0.999292
17.002,56.673,18203561,1070685.428,0.000511,0.000511,0.003583,438.042623,18195788,11888,0.999347
18.002,60.006,19817872,1100880.270,0.000511,0.000511,0.003583,438.042623,19809857,12059,0.999392
19.002,63.340,21427705,1127661.250,0.000511,0.000511,0.003583,438.042623,21465804,12219,0.999431
20.002,66.673,23048312,1152302.797,0.000511,0.000511,0.003583,438.042623,23041174,12370,0.999463
21.002,70.007,24653044,1173841.824,0.000511,0.000511,0.003583,438.042623,24648752,12550,0.999491
22.002,73.340,26303492,1195497.742,0.000511,0.000511,0.003583,438.042623,26311053,12723,0.999517
23.002,76.674,27878304,1211985.111,0.000511,0.000511,0.003583,438.042623,27865740,12879,0.999538
24.002,80.007,29410496,1225322.921,0.000511,0.000511,0.003583,438.042623,29397887,13042,0.999557
25.002,83.341,30999066,1239846.763,0.000511,0.000511,0.003583,438.042623,30994619,13224,0.999574
26.002,86.675,32604962,1253920.357,0.000511,0.000511,0.003583,438.042623,32599568,13360,0.999590
27.002,90.008,34198392,1266490.963,0.000511,0.000511,0.003583,438.042623,34464586,13535,0.999607
28.003,93.342,35812756,1278910.957,0.000511,0.000511,0.003583,438.042623,35806443,13675,0.999618
29.003,96.675,37443218,1291029.579,0.000511,0.000511,0.003583,438.042623,37440545,13832,0.999631
30.003,100.000,39021820,1300611.711,0.000511,0.000511,0.003583,438.042623,39009083,13974,0.999642
