time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.334,2060.800,2060.620,11.017,17.125,26.132,41.887,1015.800,1081.200,0.484,3.334,1846.055,1845.940,9.979,15.407,20.922,13.605,912.227,989.288,0.474,3.334,2275.545,2275.301,12.055,18.842,31.342,70.170,1119.373,1173.112,0.494
2,6.667,4244.400,2122.043,10.397,16.930,23.714,43.044,2093.200,2167.400,0.491,6.667,3972.554,1986.166,9.630,15.891,19.318,16.115,1940.643,2047.898,0.487,6.667,4516.246,2257.919,11.165,17.968,28.110,69.974,2245.757,2286.902,0.496
3,10.001,6388.200,2129.244,9.963,16.928,23.652,44.902,3173.200,3231.800,0.495,10.001,6070.013,2023.217,9.355,15.858,20.258,19.675,3011.044,3073.066,0.492,10.001,6706.387,2235.271,10.571,17.998,27.046,70.129,3335.356,3390.534,0.499
4,13.334,8300.600,2074.967,9.747,17.374,27.997,51.646,4132.200,4184.800,0.497,13.334,8178.555,2044.448,9.560,16.786,20.045,27.691,4064.992,4128.341,0.495,13.335,8422.645,2105.486,9.934,17.962,35.949,75.600,4199.408,4241.259,0.498
5,16.668,10031.800,2006.173,10.281,18.042,28.973,51.646,4961.200,5094.000,0.493,16.668,9480.516,1895.909,9.912,17.089,18.792,27.691,4700.578,4799.723,0.491,16.669,10583.084,2116.438,10.650,18.995,39.155,75.600,5221.822,5388.277,0.496
6,20.002,11733.800,1955.445,11.058,17.914,28.777,52.658,5608.200,6142.000,0.477,20.001,11302.615,1883.585,10.645,17.238,19.230,30.071,5448.004,5870.609,0.473,20.003,12164.985,2027.304,11.470,18.591,38.324,75.245,5768.396,6413.391,0.481
7,23.336,13410.200,1915.549,11.387,17.865,29.091,52.658,6237.600,7189.000,0.465,23.335,12960.855,1851.333,10.948,17.148,20.614,30.071,6064.171,6912.865,0.462,23.337,13859.545,1979.766,11.826,18.582,37.569,75.245,6411.029,7465.135,0.467
8,26.669,14967.000,1870.680,11.597,18.045,30.052,91.501,6836.200,8156.600,0.456,26.668,14202.868,1775.144,11.088,16.804,22.119,-9.149,6541.406,7691.643,0.453,26.671,15731.132,1966.215,12.105,19.287,37.984,192.151,7130.994,8621.557,0.459
9,30.003,16630.600,1847.640,11.757,18.114,29.685,91.501,7470.400,9184.400,0.449,30.002,15635.713,1737.072,11.182,16.515,22.442,-9.149,7069.254,8588.496,0.446,30.005,17625.487,1958.209,12.332,19.713,36.927,192.151,7871.546,9780.304,0.451
10,33.337,18264.800,1826.269,11.844,18.160,29.868,95.152,8096.400,10202.000,0.443,33.336,17067.658,1706.544,11.283,16.236,23.313,-2.035,7688.669,9424.098,0.436,33.339,19461.942,1945.994,12.405,20.084,36.423,192.339,8504.131,10979.902,0.449
11,36.671,20693.000,1880.973,9.673,18.022,29.380,95.152,9457.200,11274.200,0.453,36.669,17329.967,1575.251,2.950,15.841,22.813,-2.035,6941.587,10381.080,0.412,36.672,24056.033,2186.696,16.396,20.204,35.946,192.339,11972.813,12167.320,0.493
