time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,2.647,2647,2646.736,0.000511,11.075583,54.231039,262.799359,1994,1337,0.598619
2.000,5.337,5337,2668.296,0.000511,10.772479,93.847551,293.863423,3812,1940,0.662726
3.000,10.217,10217,3405.426,0.000511,9.830399,57.540607,293.863423,7770,2994,0.721851
4.000,15.720,15720,3929.734,0.000511,9.519103,55.836671,293.863423,12765,3937,0.764280
5.000,21.518,21518,4303.318,0.000511,9.248767,53.379071,456.654847,18454,4723,0.796220
6.000,26.095,26095,4348.887,0.000511,9.003007,53.280767,480.247807,21598,5100,0.808974
7.000,28.281,28281,4039.865,0.000511,8.912895,54.591487,907.018239,24343,5383,0.818913
8.001,30.696,30696,3836.722,0.000511,8.863743,57.540607,907.018239,27640,5709,0.828810
9.001,35.614,35614,3956.840,0.000511,8.609791,56.360959,907.018239,31284,6026,0.838488
10.001,41.283,41283,4128.021,0.000511,8.290303,55.902207,907.018239,36355,6414,0.850032
11.001,52.604,52604,4781.864,0.000511,7.766015,49.250303,907.018239,48861,7209,0.871429
12.001,64.707,64707,5391.895,0.000511,7.217151,43.974655,907.018239,58884,7701,0.884343
13.001,76.145,76145,5856.913,0.000511,6.422527,44.171263,907.018239,69274,8085,0.895487
14.001,84.579,84579,6040.953,0.000511,0.019967,43.417599,907.018239,79141,8421,0.903828
15.001,100.000,100000,6666.224,0.000511,0.002559,39.354367,907.018239,91258,8742,0.912580
