time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1091,1090.917,5.881855,62.685183,102.105087,228.065279,572,634,0.474295
2.000,6.667,595662,297810.688,0.000511,0.000511,0.004095,245.891071,595408,1048,0.998243
3.000,10.001,2396338,798733.912,0.000511,0.000511,0.003583,245.891071,2396808,1048,0.999563
4.000,13.334,4206042,1051449.455,0.000511,0.000511,0.003583,245.891071,4206271,1048,0.999751
5.000,16.668,6010543,1202038.919,0.000511,0.000511,0.003583,245.891071,6009789,1048,0.999826
6.000,20.001,7827676,1304532.078,0.000511,0.000511,0.003583,245.891071,7842113,1048,0.999866
7.000,23.335,9623974,1374768.329,0.000511,0.000511,0.003583,245.891071,9627053,1048,0.999891
8.001,26.668,11408343,1425949.197,0.000511,0.000511,0.003583,245.891071,11407891,1048,0.999908
9.001,30.002,13271642,1474531.041,0.000511,0.000511,0.003583,245.891071,13271809,1048,0.999921
10.001,33.336,15093578,1509259.582,0.000511,0.000511,0.003583,245.891071,15093167,1048,0.999931
11.001,36.669,16838337,1530658.463,0.000511,0.000511,0.003583,245.891071,16837513,1048,0.999938
12.001,40.003,18547146,1545473.753,0.000511,0.000511,0.003583,245.891071,18559238,1048,0.999944
13.001,43.337,20252986,1557801.014,0.000511,0.000511,0.003583,245.891071,20253316,1048,0.999948
14.001,46.670,21988140,1570461.404,0.000511,0.000511,0.003583,245.891071,21988525,1048,0.999952
15.001,50.004,23796441,1586308.790,0.000511,0.000511,0.003583,245.891071,23796195,1048,0.999956
16.001,53.337,25633715,1601982.727,0.000511,0.000511,0.003583,245.891071,25633487,1048,0.999959
17.001,56.671,27388124,1610942.122,0.000511,0.000511,0.003583,245.891071,27388246,1048,0.999962
18.001,60.005,29147953,1619207.762,0.000511,0.000511,0.003583,245.891071,29147389,1048,0.999964
19.001,63.338,30854316,1623789.270,0.000511,0.000511,0.003583,245.891071,30859094,1048,0.999966
20.002,66.672,32612188,1630485.834,0.000511,0.000511,0.003583,245.891071,32611695,1048,0.999968
21.002,70.005,34313078,1633833.559,0.000511,0.000511,0.003583,245.891071,34318534,1048,0.999969
22.002,73.339,36015027,1636925.070,0.000511,0.000511,0.003583,245.891071,36015046,1048,0.999971
23.002,76.672,37732176,1640407.756,0.000511,0.000511,0.003583,245.891071,37731634,1048,0.999972
24.002,80.006,39544973,1647586.034,0.000511,0.000511,0.003583,245.891071,39545676,1048,0.999973
25.002,83.339,41348878,1653833.850,0.000511,0.000511,0.003583,245.891071,41380859,1048,0.999975
26.002,86.673,43054824,1655836.573,0.000511,0.000511,0.003583,245.891071,43066608,1048,0.999976
27.002,90.006,44752201,1657371.429,0.000511,0.000511,0.003583,245.891071,44753494,1048,0.999977
28.002,93.340,46466086,1659385.931,0.000511,0.000511,0.003583,245.891071,46484497,1048,0.999977
29.002,96.673,48193256,1661719.681,0.000511,0.000511,0.003583,245.891071,48198387,1048,0.999978
30.002,100.000,49927719,1664139.195,0.000511,0.000511,0.003583,245.891071,49927575,1048,0.999979
