time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1838,1837.822,10.395647,17.596415,31.064063,132.513791,869,990,0.467456
2.000,6.667,1200731,600318.950,0.000511,0.000511,0.002559,132.513791,1200376,1038,0.999136
3.000,10.001,2598106,865973.216,0.000511,0.000511,0.002559,132.513791,2651640,1038,0.999609
4.000,13.334,3961683,990348.367,0.000511,0.000511,0.002559,132.513791,3961234,1038,0.999738
5.000,16.668,5309153,1061755.607,0.000511,0.000511,0.002559,132.513791,5308748,1038,0.999805
6.000,20.001,6634771,1105719.243,0.000511,0.000511,0.002559,132.513791,6634274,1038,0.999844
7.000,23.335,8014168,1144804.250,0.000511,0.000511,0.002559,132.513791,8013755,1038,0.999870
8.001,26.668,9331482,1166361.480,0.000511,0.000511,0.002559,132.513791,9398010,1038,0.999890
9.001,30.002,10656243,1183952.719,0.000511,0.000511,0.002559,132.513791,10754227,1038,0.999903
10.001,33.335,12028064,1202731.086,0.000511,0.000511,0.002559,132.513791,12027426,1038,0.999914
11.001,36.669,13395209,1217668.367,0.000511,0.000511,0.002559,132.513791,13394595,1038,0.999923
12.001,40.003,14886400,1240453.607,0.000511,0.000511,0.002559,132.513791,14885862,1038,0.999930
13.001,43.336,16189337,1245254.113,0.000511,0.000511,0.002559,132.513791,16188819,1038,0.999936
14.001,46.670,17533763,1252329.962,0.000511,0.000511,0.002559,132.513791,17591650,1038,0.999941
15.001,50.003,18887660,1259095.227,0.000511,0.000511,0.002559,132.513791,18920624,1038,0.999945
16.001,53.337,20224853,1263970.978,0.000511,0.000511,0.002559,132.513791,20226396,1038,0.999949
17.001,56.670,21553840,1267790.865,0.000511,0.000511,0.002559,132.513791,21571961,1038,0.999952
18.001,60.004,22891650,1271674.046,0.000511,0.000511,0.002559,132.513791,22891388,1038,0.999955
19.001,63.338,24263469,1276940.620,0.000511,0.000511,0.002559,132.513791,24262816,1038,0.999957
20.001,66.671,25588752,1279353.775,0.000511,0.000511,0.002559,132.513791,25588136,1038,0.999959
21.001,70.005,26925217,1282069.093,0.000511,0.000511,0.002559,132.513791,27121251,1038,0.999962
22.001,73.338,28251685,1284083.663,0.000511,0.000511,0.002559,132.513791,28340909,1038,0.999963
23.001,76.672,29599572,1286854.427,0.000511,0.000511,0.002559,132.513791,29637760,1038,0.999965
24.002,80.005,30941674,1289153.054,0.000511,0.000511,0.002559,132.513791,30942196,1038,0.999966
25.002,83.339,32286201,1291364.853,0.000511,0.000511,0.002559,132.513791,32285711,1038,0.999968
26.002,86.672,33620841,1293025.532,0.000511,0.000511,0.002559,132.513791,33705279,1038,0.999969
27.002,90.006,34915949,1293099.755,0.000511,0.000511,0.002559,132.513791,35228434,1038,0.999971
28.002,93.340,36207545,1293041.174,0.000511,0.000511,0.002559,132.513791,36228943,1038,0.999971
29.002,96.673,37482389,1292411.123,0.000511,0.000511,0.002559,132.513791,37481725,1038,0.999972
30.002,100.000,38784345,1292726.673,0.000511,0.000511,0.002559,132.513791,38785775,1038,0.999973
