time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1,3.334,127329.000,127310.024,4.670,18.735,265.697,401.526,152250.200,853.600,0.677
2,6.667,1283694.600,641791.203,0.001,0.001,0.004,405.091,1283534.000,1043.800,0.999
3,10.001,2988285.400,996021.098,0.001,0.001,0.003,405.091,2992653.400,1043.800,1.000
4,13.334,4691049.000,1172643.956,0.001,0.001,0.003,405.091,4699193.000,1043.800,1.000
5,16.668,6393565.200,1278593.295,0.001,0.001,0.003,405.091,6409309.200,1043.800,1.000
6,20.002,8044155.400,1340570.094,0.001,0.001,0.003,405.091,8051302.200,1043.800,1.000
7,23.335,9695810.000,1384992.473,0.001,0.001,0.003,405.091,9701289.800,1043.800,1.000
8,26.670,11328783.000,1415945.097,0.001,0.001,0.003,405.091,11332515.200,1043.800,1.000
9,30.003,13023436.400,1446893.082,0.001,0.001,0.003,405.091,13028556.800,1043.800,1.000
10,33.337,14754759.800,1475310.874,0.001,0.001,0.003,405.091,14766509.200,1043.800,1.000
11,36.671,16455655.000,1495807.439,0.001,0.001,0.003,405.091,16459087.600,1043.800,1.000
12,40.004,18143365.200,1511783.976,0.001,0.001,0.003,405.091,18151900.000,1043.800,1.000
13,43.338,19831754.000,1525352.908,0.001,0.001,0.003,405.091,19836808.600,1043.800,1.000
14,46.672,21532583.000,1537878.494,0.001,0.001,0.003,405.091,21534663.600,1043.800,1.000
15,50.005,23213634.600,1547414.968,0.001,0.001,0.003,405.091,23221076.000,1043.800,1.000
16,53.339,24907845.600,1556580.363,0.001,0.001,0.003,405.091,24911545.200,1043.800,1.000
17,56.672,26595384.600,1564276.923,0.001,0.001,0.003,405.091,26595492.800,1043.800,1.000
18,60.006,28255315.000,1569584.869,0.001,0.001,0.003,405.091,28255119.200,1043.800,1.000
19,63.339,29916756.000,1574413.663,0.001,0.001,0.003,405.091,29923326.600,1043.800,1.000
20,66.673,31542870.800,1576993.373,0.001,0.001,0.003,405.091,31547694.600,1043.800,1.000
21,70.006,33184697.000,1580075.278,0.001,0.001,0.003,405.091,33191090.000,1043.800,1.000
22,73.340,34836045.200,1583309.452,0.001,0.001,0.003,405.091,34840056.000,1043.800,1.000
23,76.674,36472496.800,1585614.904,0.001,0.001,0.003,405.091,36473526.800,1043.800,1.000
24,80.008,38136300.000,1588863.649,0.001,0.001,0.003,405.091,38140825.400,1043.800,1.000
25,83.341,39771302.800,1590704.806,0.001,0.001,0.003,405.091,39778383.400,1043.800,1.000
26,86.675,41396235.800,1592017.523,0.001,0.001,0.003,405.091,41398819.200,1043.800,1.000
27,90.008,42987255.400,1591975.860,0.001,0.001,0.003,405.091,42987573.800,1043.800,1.000
28,93.342,44628373.800,1593726.896,0.001,0.001,0.003,405.091,44646583.200,1043.800,1.000
29,96.675,46268528.600,1595323.910,0.001,0.001,0.003,405.091,46272297.000,1043.800,1.000
30,100.000,47926816.200,1597418.372,0.001,0.001,0.003,405.091,47934803.200,1043.800,1.000
