time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1697,1696.836,5.763071,11.722751,101.449727,264.765439,74127,1054,0.985981
2.001,6.668,1484556,742075.026,0.000511,0.000511,0.003071,264.765439,1484457,1054,0.999290
3.001,10.002,3196668,1065337.052,0.000511,0.000511,0.003071,264.765439,3242490,1054,0.999675
4.001,13.336,4902256,1225348.086,0.000511,0.000511,0.003071,264.765439,4901808,1054,0.999785
5.001,16.669,6597477,1319294.006,0.000511,0.000511,0.003071,264.765439,6598484,1054,0.999840
6.001,20.003,8317201,1386001.682,0.000511,0.000511,0.003071,264.765439,8321793,1054,0.999873
7.001,23.336,10027975,1432379.866,0.000511,0.000511,0.003071,264.765439,10027405,1054,0.999895
8.001,26.670,11714668,1464153.873,0.000511,0.000511,0.003071,264.765439,11714232,1054,0.999910
9.001,30.004,13440697,1493233.299,0.000511,0.000511,0.003071,264.765439,13440170,1054,0.999922
10.001,33.337,15052102,1505042.213,0.000511,0.000511,0.003071,264.765439,15051955,1054,0.999930
11.001,36.671,16742510,1521881.482,0.000511,0.000511,0.003071,264.765439,16742131,1054,0.999937
12.001,40.004,18424954,1535252.581,0.000511,0.000511,0.003071,264.765439,18424411,1054,0.999943
13.001,43.338,20146866,1549601.929,0.000511,0.000511,0.003071,264.765439,20146431,1054,0.999948
14.001,46.671,21881330,1562798.406,0.000511,0.000511,0.003071,264.765439,21880810,1054,0.999952
15.001,50.005,23567569,1571018.827,0.000511,0.000511,0.003071,264.765439,23684568,1054,0.999956
16.002,53.338,25266424,1579001.040,0.000511,0.000511,0.003071,264.765439,25265927,1054,0.999958
17.002,56.672,26986284,1587278.690,0.000511,0.000511,0.003071,264.765439,26988103,1054,0.999961
18.002,60.006,28665626,1592387.537,0.000511,0.000511,0.003071,264.765439,28665570,1054,0.999963
19.002,63.339,30338527,1596618.766,0.000511,0.000511,0.003071,264.765439,30338237,1054,0.999965
20.002,66.673,31941973,1596955.410,0.000511,0.000511,0.003071,264.765439,31941830,1054,0.999967
21.002,70.006,33530271,1596536.929,0.000511,0.000511,0.003071,264.765439,33529780,1054,0.999969
22.002,73.340,35089204,1594823.494,0.000511,0.000511,0.003071,264.765439,35090287,1054,0.999970
23.004,76.680,36787558,1599172.430,0.000511,0.000511,0.003071,264.765439,36786927,1054,0.999971
24.004,80.014,38435866,1601215.469,0.000511,0.000511,0.003071,264.765439,38485567,1054,0.999973
25.004,83.347,40149356,1605702.062,0.000511,0.000511,0.003071,264.765439,40244298,1054,0.999974
26.004,86.681,41830306,1608592.161,0.000511,0.000511,0.003071,264.765439,41829699,1054,0.999975
27.004,90.015,43472010,1609814.256,0.000511,0.000511,0.003071,264.765439,43471622,1054,0.999976
28.004,93.348,45001268,1606932.488,0.000511,0.000511,0.003071,264.765439,45005760,1054,0.999977
29.005,96.682,46619037,1607301.636,0.000511,0.000511,0.003071,264.765439,46618601,1054,0.999977
30.005,100.000,48293035,1609520.362,0.000511,0.000511,0.003071,264.765439,48292543,1054,0.999978
