time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1016,1015.904,10.944511,15.335423,539.492351,657.457151,487,546,0.471442
2.000,6.667,998481,499201.026,0.000511,0.000511,0.002559,657.457151,998336,1028,0.998971
3.000,10.001,2625054,874954.608,0.000511,0.000511,0.002559,657.457151,2624613,1028,0.999608
4.000,13.334,4300582,1075069.060,0.000511,0.000511,0.002559,657.457151,4300273,1028,0.999761
5.000,16.668,5987816,1197480.663,0.000511,0.000511,0.002559,657.457151,6023893,1028,0.999829
6.000,20.001,7640916,1273398.226,0.000511,0.000511,0.002559,657.457151,7641919,1028,0.999865
7.001,23.335,9289559,1326975.041,0.000511,0.000511,0.002559,657.457151,9309237,1028,0.999890
8.001,26.669,10948417,1368448.341,0.000511,0.000511,0.002559,657.457151,10948249,1028,0.999906
9.001,30.002,12554050,1394790.904,0.000511,0.000511,0.002559,657.457151,12555832,1028,0.999918
10.001,33.336,14142524,1414147.576,0.000511,0.000511,0.002559,657.457151,14153781,1028,0.999927
11.001,36.669,15723149,1429273.204,0.000511,0.000511,0.002559,657.457151,15730257,1028,0.999935
12.001,40.003,17329476,1444019.303,0.000511,0.000511,0.002559,657.457151,17352206,1028,0.999941
13.001,43.337,18956374,1458074.861,0.000511,0.000511,0.002559,657.457151,18965867,1028,0.999946
14.001,46.670,20549954,1467746.921,0.000511,0.000511,0.002559,657.457151,20573063,1028,0.999950
15.001,50.004,22165762,1477609.368,0.000511,0.000511,0.002559,657.457151,22165522,1028,0.999954
16.001,53.337,23816316,1488412.083,0.000511,0.000511,0.002559,657.457151,23815901,1028,0.999957
17.001,56.671,25474910,1498415.619,0.000511,0.000511,0.002559,657.457151,25499106,1028,0.999960
18.001,60.004,27117279,1506407.524,0.000511,0.000511,0.002559,657.457151,27118419,1028,0.999962
19.001,63.338,28762259,1513693.463,0.000511,0.000511,0.002559,657.457151,28762118,1028,0.999964
20.001,66.671,30400451,1519913.480,0.000511,0.000511,0.002559,657.457151,30400056,1028,0.999966
21.002,70.005,32058577,1526489.772,0.000511,0.000511,0.002559,657.457151,32090647,1028,0.999968
22.002,73.339,33726913,1532930.114,0.000511,0.000511,0.002559,657.457151,33726443,1028,0.999970
23.002,76.672,35338038,1536325.475,0.000511,0.000511,0.002559,657.457151,35338988,1028,0.999971
24.002,80.006,37020355,1542404.246,0.000511,0.000511,0.002559,657.457151,37019973,1028,0.999972
25.002,83.339,38615640,1544515.724,0.000511,0.000511,0.002559,657.457151,38619478,1028,0.999973
26.002,86.673,40245610,1547798.506,0.000511,0.000511,0.002559,657.457151,40252920,1028,0.999974
27.002,90.006,41867612,1550543.279,0.000511,0.000511,0.002559,657.457151,41885383,1028,0.999975
28.002,93.340,43509639,1553806.915,0.000511,0.000511,0.002559,657.457151,43531063,1028,0.999976
29.002,96.673,45132156,1556172.105,0.000511,0.000511,0.002559,657.457151,45164226,1028,0.999977
30.002,100.000,46761560,1558609.498,0.000511,0.000511,0.002559,657.457151,46761313,1028,0.999978
