time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.334,223508.000,223493.388,3.181,12.844,59.955,255.119,237836.000,936.000,0.882,3.334,-38142.240,-38139.895,-2.557,-15.386,-50.470,203.308,-2523.315,625.718,0.572,3.334,485158.240,485126.671,8.920,41.074,170.380,306.929,478195.315,1246.282,1.193
2,6.667,1577965.400,788896.645,0.001,0.001,0.003,255.119,1580323.600,1047.200,0.999,6.667,620900.042,310390.666,0.001,0.000,0.003,203.308,629777.673,1040.725,0.997,6.668,2535030.758,1267402.624,0.001,0.001,0.004,306.929,2530869.527,1053.675,1.001
3,10.001,3219909.200,1073198.042,0.001,0.001,0.003,255.119,3229533.200,1047.200,1.000,10.001,2185418.141,728386.592,0.001,0.000,0.003,203.308,2194514.594,1040.725,0.999,10.002,4254400.259,1418009.492,0.001,0.001,0.004,306.929,4264551.806,1053.675,1.000
4,13.335,4892117.400,1222902.037,0.001,0.001,0.003,255.119,4895170.600,1047.200,1.000,13.333,3819425.249,954702.334,0.001,0.000,0.003,203.308,3821079.728,1040.725,1.000,13.336,5964809.551,1491101.740,0.001,0.001,0.004,306.929,5969261.472,1053.675,1.000
5,16.668,6546882.600,1309247.257,0.001,0.001,0.003,255.119,6563831.000,1047.200,1.000,16.668,5427857.502,1085415.152,0.001,0.000,0.003,203.308,5436682.326,1040.725,1.000,16.669,7665907.698,1533079.362,0.001,0.001,0.004,306.929,7690979.674,1053.675,1.000
6,20.002,8205653.600,1367479.179,0.001,0.001,0.003,255.119,8211774.000,1047.200,1.000,20.000,7044702.809,1173966.604,0.001,0.000,0.003,203.308,7046181.966,1040.725,1.000,20.003,9366604.391,1560991.755,0.001,0.001,0.004,306.929,9377366.034,1053.675,1.000
7,23.335,9839794.600,1405554.101,0.001,0.001,0.003,255.119,9844510.000,1047.200,1.000,23.335,8606195.921,1229311.306,0.001,0.000,0.003,203.308,8608764.238,1040.725,1.000,23.336,11073393.279,1581796.896,0.001,0.001,0.004,306.929,11080255.762,1053.675,1.000
8,26.669,11472269.600,1433902.078,0.001,0.001,0.003,255.119,11472402.400,1047.200,1.000,26.669,10203274.265,1275267.109,0.001,0.000,0.003,203.308,10203108.178,1040.725,1.000,26.670,12741264.935,1592537.047,0.001,0.001,0.004,306.929,12741696.622,1053.675,1.000
9,30.003,13138656.200,1459717.478,0.001,0.001,0.003,255.119,13139239.200,1047.200,1.000,30.001,11849795.311,1316498.566,0.001,0.000,0.003,203.308,11849685.314,1040.725,1.000,30.004,14427517.089,1602936.390,0.001,0.001,0.004,306.929,14428793.086,1053.675,1.000
10,33.336,14770799.800,1476947.486,0.001,0.001,0.003,255.119,14785331.400,1047.200,1.000,33.336,13399045.595,1339764.996,0.001,0.000,0.003,203.308,13418865.959,1040.725,1.000,33.337,16142554.005,1614129.976,0.001,0.001,0.004,306.929,16151796.841,1053.675,1.000
11,36.671,16410907.400,1491727.708,0.001,0.001,0.003,255.119,16418429.200,1047.200,1.000,36.668,14914482.654,1355711.047,0.001,0.000,0.003,203.308,14911615.899,1040.725,1.000,36.673,17907332.146,1627744.369,0.001,0.001,0.004,306.929,17925242.501,1053.675,1.000
12,40.004,18003765.000,1500142.957,0.001,0.001,0.003,255.119,18009443.600,1047.200,1.000,40.002,16428582.314,1368903.713,0.001,0.000,0.003,203.308,16444241.447,1040.725,1.000,40.007,19578947.686,1631382.202,0.001,0.001,0.004,306.929,19574645.753,1053.675,1.000
13,43.338,19628982.800,1509752.374,0.001,0.001,0.003,255.119,19632085.200,1047.200,1.000,43.336,17992163.475,1383866.412,0.001,0.000,0.003,203.308,18001191.751,1040.725,1.000,43.341,21265802.125,1635638.337,0.001,0.001,0.004,306.929,21262978.649,1053.675,1.000
14,46.672,21271112.000,1519199.224,0.001,0.001,0.003,255.119,21272912.200,1047.200,1.000,46.669,19529367.845,1394811.724,0.001,0.000,0.003,203.308,19527297.379,1040.725,1.000,46.675,23012856.155,1643586.723,0.001,0.001,0.004,306.929,23018527.021,1053.675,1.000
15,50.005,22910511.600,1527204.658,0.001,0.001,0.003,255.119,22934318.800,1047.200,1.000,50.003,21073306.981,1404743.867,0.001,0.000,0.003,203.308,21079775.391,1040.725,1.000,50.008,24747716.219,1649665.449,0.001,0.001,0.004,306.929,24788862.209,1053.675,1.000
16,53.339,24552229.800,1534354.114,0.001,0.001,0.003,255.119,24558932.000,1047.200,1.000,53.336,22629226.817,1414183.904,0.001,0.000,0.003,203.308,22643823.024,1040.725,1.000,53.342,26475232.783,1654524.324,0.001,0.001,0.004,306.929,26474040.976,1053.675,1.000
17,56.673,26188356.400,1540333.311,0.001,0.001,0.003,255.119,26189374.000,1047.200,1.000,56.669,24226876.557,1424968.658,0.001,0.000,0.003,203.308,24226869.297,1040.725,1.000,56.676,28149836.243,1655697.965,0.001,0.001,0.004,306.929,28151878.703,1053.675,1.000
