time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,0.985,985,984.863,14.884863,20.479999,76.414975,83.951615,34,969,0.033898
2.000,1.994,1994,996.867,15.704063,20.791295,49.381375,83.951615,169,1842,0.084038
3.000,3.267,3267,1088.869,15.040511,20.381695,42.762239,83.951615,467,2821,0.142032
4.000,4.540,4540,1134.868,14.876671,20.430847,45.154303,83.951615,876,3686,0.192021
5.001,6.133,6133,1226.458,14.467071,20.348927,42.762239,83.951615,1547,4623,0.250729
6.001,7.988,7988,1331.194,14.041087,20.234239,42.729471,83.951615,2491,5533,0.310444
7.001,9.871,9871,1410.002,13.713407,20.185087,37.978111,83.951615,3427,6478,0.345987
8.001,11.610,11610,1451.103,13.434879,20.185087,38.862847,83.951615,4303,7338,0.369642
9.001,13.578,13578,1508.518,13.099007,20.135935,35.815423,83.951615,5304,8311,0.389570
10.001,15.272,15272,1527.045,12.976127,20.152319,35.782655,84.279295,6155,9147,0.402235
11.001,17.100,17100,1554.385,12.877823,20.135935,33.980415,84.279295,7043,10087,0.411150
12.001,18.892,18892,1574.166,12.787711,20.135935,34.504703,84.279295,7949,10981,0.419915
13.001,20.957,20957,1611.900,12.517375,20.103167,31.080447,230.686719,8987,12000,0.428217
14.002,22.969,22969,1640.461,12.222463,20.070399,32.342015,230.686719,10008,13014,0.434715
15.002,25.083,25083,1672.008,11.993087,20.037631,30.048255,230.686719,11052,14062,0.440073
16.002,26.837,26837,1677.123,11.927551,20.037631,30.310399,230.686719,11923,14939,0.443861
17.002,28.665,28665,1685.984,11.845631,20.037631,29.671423,230.686719,12857,15841,0.448010
18.002,30.581,30581,1698.748,11.755519,20.037631,29.736959,230.686719,13831,16773,0.451934
19.002,32.708,32708,1721.274,11.583487,20.021247,28.721151,230.686719,14884,17863,0.454515
20.002,34.784,34784,1738.997,11.386879,20.004863,28.721151,230.686719,15916,18921,0.456871
21.002,36.812,36812,1752.752,11.288575,19.988479,28.180479,230.686719,16916,19925,0.459162
22.003,38.669,38669,1757.477,11.239423,19.988479,29.294591,230.686719,17881,20820,0.462029
23.003,40.753,40753,1771.661,11.124735,19.972095,28.409855,230.686719,18919,21862,0.463917
24.003,42.901,42901,1787.336,11.026431,19.955711,28.147711,230.686719,19975,22954,0.465303
25.003,45.063,45063,1802.314,10.944511,19.939327,27.656191,230.686719,21097,23993,0.467886
26.003,47.004,47004,1807.639,10.911743,19.922943,27.656191,230.686719,22093,24955,0.469584
27.003,48.917,48917,1811.532,10.903551,19.922943,27.361279,230.686719,23025,25921,0.470416
28.003,50.708,50708,1810.790,10.887167,19.922943,27.377663,230.686719,23933,26805,0.471698
29.003,52.699,52699,1816.991,10.805247,19.922943,27.475967,243.138559,24952,27777,0.473212
30.004,55.014,55014,1833.584,10.706943,19.890175,27.295743,243.138559,26149,28907,0.474953
31.004,56.879,56879,1834.593,10.649599,19.890175,27.934719,243.138559,27108,29804,0.476314
32.004,58.612,58612,1831.412,10.649599,19.906559,28.639231,243.138559,27957,30679,0.476789
33.004,60.590,60590,1835.849,10.551295,19.890175,28.426239,243.138559,28975,31648,0.477954
34.004,62.540,62540,1839.199,10.493951,19.890175,28.721151,243.138559,29956,32613,0.478767
35.004,64.594,64594,1845.329,10.452991,19.873791,28.229631,243.138559,30987,33639,0.479482
36.004,66.431,66431,1845.085,10.444799,19.873791,28.426239,243.138559,31934,34552,0.480312
37.004,68.218,68218,1843.508,10.428415,19.890175,28.196863,243.138559,32828,35432,0.480926
38.005,69.922,69922,1839.830,10.444799,19.890175,28.590079,243.138559,33639,36311,0.480901
39.005,71.764,71764,1839.884,10.436607,19.890175,28.426239,243.138559,34571,37226,0.481510
40.005,73.476,73476,1836.682,10.436607,19.890175,28.721151,243.138559,35431,38087,0.481936
41.005,75.332,75332,1837.149,10.428415,19.890175,28.426239,243.138559,36341,39027,0.482181
42.005,76.999,76999,1833.092,10.436607,19.906559,28.671999,243.138559,37156,39880,0.482320
43.005,78.853,78853,1833.573,10.428415,19.906559,28.311551,243.138559,38078,40806,0.482709
44.005,80.631,80631,1832.307,10.420223,19.906559,28.278783,243.138559,38969,41695,0.483103
45.005,82.519,82519,1833.541,10.379263,19.922943,28.180479,243.138559,39948,42599,0.483942
46.005,84.222,84222,1830.698,10.354687,19.922943,28.180479,243.138559,40829,43429,0.484571
47.006,86.106,86106,1831.826,10.354687,19.922943,27.901951,243.138559,41762,44372,0.484849
48.006,87.951,87951,1832.096,10.338303,19.922943,27.967487,243.138559,42692,45286,0.485258
49.006,89.899,89899,1834.458,10.321919,19.922943,27.688959,243.138559,43693,46238,0.485850
50.006,91.770,91770,1835.184,10.289151,19.922943,27.754495,243.138559,44662,47138,0.486514
51.006,93.571,93571,1834.511,10.272767,19.922943,27.557887,243.138559,45564,48035,0.486800
52.006,95.210,95210,1830.747,10.289151,19.922943,27.754495,243.138559,46359,48886,0.486734
53.006,97.147,97147,1832.749,10.248191,19.939327,27.738111,243.138559,47383,49807,0.487530
54.006,98.932,98932,1831.862,10.231807,19.939327,28.131327,243.138559,48280,50679,0.487879
54.555,100.000,100000,1833.020,10.223615,19.939327,28.016639,243.138559,48810,51190,0.488100
