time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,0.757,757,756.950,9.027583,23.199743,232.914943,438.042623,34,962,0.034137
2.001,1.370,1370,684.827,9.084927,27.951103,229.900287,439.615487,84,1423,0.055740
3.001,2.133,2133,710.866,9.109503,29.278207,230.686719,439.615487,226,2120,0.096334
4.001,2.963,2963,740.631,8.871935,27.312127,231.997439,439.615487,460,2792,0.141451
5.001,3.606,3606,721.094,8.830975,27.852799,232.914943,439.615487,607,3135,0.162213
6.001,4.677,4677,779.392,8.708095,23.691263,232.521727,439.615487,1067,4015,0.209957
7.001,5.692,5692,813.039,8.536063,24.330239,231.997439,439.615487,1333,4379,0.233368
8.001,6.472,6472,808.904,8.536063,29.966335,234.094591,482.344959,1864,4932,0.274279
9.001,7.444,7444,827.018,8.429567,29.802495,235.405311,482.344959,2319,5350,0.302386
10.001,8.431,8431,843.006,8.404991,29.130751,235.274239,482.344959,2763,5843,0.321055
11.001,9.715,9715,883.088,8.196095,27.967487,235.012095,482.344959,3406,6459,0.345261
12.001,10.883,10883,906.824,8.048639,27.475967,234.749951,673.185791,4150,7168,0.366673
13.001,11.866,11866,912.678,8.007679,26.886143,234.749951,673.185791,4500,7541,0.373723
14.001,13.023,13023,930.124,7.946239,24.903679,233.963519,673.185791,5088,8089,0.386127
15.001,14.542,14542,969.375,7.847935,23.445503,233.177087,673.185791,5998,8980,0.400454
16.001,15.515,15515,969.600,7.794687,23.019519,232.914943,673.185791,6380,9380,0.404822
17.001,16.394,16394,964.270,7.770111,23.117823,233.832447,689.438719,6752,9742,0.409361
18.002,17.247,17247,958.085,7.741439,22.986751,233.832447,689.438719,7385,10405,0.415121
19.002,18.135,18135,954.394,7.725055,22.904831,233.832447,1550.843903,7913,10975,0.418943
20.002,19.037,19037,951.772,7.684095,22.822911,233.570303,1550.843903,8111,11163,0.420826
21.002,20.009,20009,952.731,7.626751,22.757375,233.701375,1550.843903,8651,11673,0.425654
22.002,21.421,21421,973.602,7.598079,22.478847,233.570303,1550.843903,9317,12346,0.430088
23.002,22.906,22906,995.832,7.553023,22.151167,233.046015,1550.843903,10000,13024,0.434329
24.002,24.170,24170,1007.002,7.532543,22.036479,233.046015,1550.843903,10751,13759,0.438637
25.002,26.029,26029,1041.076,7.467007,21.659647,232.128511,1550.843903,11633,14632,0.442909
26.002,27.632,27632,1062.684,7.442431,21.331967,231.866367,1550.843903,12596,15574,0.447142
27.002,29.061,29061,1076.248,7.405567,21.315583,231.866367,1550.843903,13280,16243,0.449819
28.002,30.071,30071,1073.880,7.385087,21.479423,231.997439,1550.843903,13596,16552,0.450975
29.002,30.530,30530,1052.676,7.372799,22.036479,231.997439,1550.843903,13813,16757,0.451848
30.002,31.179,31179,1039.219,7.372799,22.659071,231.997439,1550.843903,14132,17095,0.452557
31.002,31.673,31673,1021.631,7.376895,23.085055,231.997439,1550.843903,14445,17404,0.453546
32.002,31.921,31921,997.454,7.372799,23.494655,232.652799,1550.843903,14646,17586,0.454393
33.003,32.331,32331,979.652,7.368703,24.084479,232.652799,1550.843903,14725,17685,0.454335
34.003,32.784,32784,964.162,7.368703,24.608767,233.046015,1550.843903,15035,18003,0.455082
35.003,33.577,33577,959.269,7.372799,25.460735,233.439231,1550.843903,15337,18344,0.455361
36.003,34.266,34266,951.761,7.372799,26.804223,233.832447,1550.843903,15754,18749,0.456598
37.003,35.449,35449,958.008,7.372799,27.213823,233.701375,1550.843903,16407,19423,0.457912
38.003,36.272,36272,954.453,7.356415,27.705343,233.701375,1550.843903,16656,19680,0.458388
39.003,36.658,36658,939.876,7.364607,28.377087,233.701375,1550.843903,16850,19903,0.458466
40.003,36.885,36885,922.053,7.364607,28.983295,234.225663,1550.843903,16919,19987,0.458435
41.003,37.123,37123,905.368,7.364607,29.589503,234.094591,1550.843903,17052,20109,0.458868
42.003,37.646,37646,896.263,7.360511,30.031871,234.618879,1550.843903,17334,20382,0.459593
