time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,2.628,2628,2627.798,0.002559,16.678911,24.657919,33.308671,1565,1125,0.581784
2.000,6.636,6636,3317.784,0.002559,15.343615,25.935871,75.890687,4517,2164,0.676096
3.000,11.757,11757,3918.742,0.004095,15.384575,22.904831,75.890687,8708,3168,0.733244
4.000,17.964,17964,4490.712,0.004095,15.015935,22.724607,75.890687,13988,4119,0.772519
5.000,26.573,26573,5314.226,0.006655,14.262271,22.020095,75.890687,21579,5088,0.809202
6.001,35.872,35872,5978.109,0.006143,13.869055,21.512191,75.890687,29931,6047,0.831925
7.001,44.624,44624,6374.221,0.007167,13.565951,21.577727,75.890687,37825,6923,0.845289
8.001,53.928,53928,6740.364,0.008703,13.311999,21.331967,75.890687,46176,7878,0.854257
9.001,63.230,63230,7024.895,0.009215,13.058047,21.364735,75.890687,54534,8824,0.860728
10.001,71.820,71820,7181.336,0.010751,12.943359,21.348351,75.890687,62224,9695,0.865196
11.001,80.094,80094,7280.620,0.010239,12.812287,21.381119,108.855295,69687,10561,0.868395
12.001,86.754,86754,7228.869,0.010751,12.820479,21.626879,108.855295,75552,11305,0.869844
13.001,94.978,94978,7305.366,0.010751,12.779519,21.479423,108.855295,82890,12241,0.871325
13.636,100.000,100000,7333.399,0.011775,12.738559,21.446655,108.855295,87199,12801,0.871990
