time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,28,27.993,10.248191,91.881471,247.463935,247.463935,0,0,0.000000
2.000,6.668,46,22.995,19.578879,91.881471,415.236095,415.236095,0,0,0.000000
3.001,10.002,118,39.325,10.149887,62.980095,247.463935,415.236095,0,0,0.000000
4.001,13.336,187,46.742,10.043391,37.847039,247.463935,415.236095,0,0,0.000000
5.001,16.670,271,54.190,9.986047,22.118399,144.310271,415.236095,0,0,0.000000
6.001,20.003,376,62.657,9.895935,20.299775,124.911615,415.236095,0,0,0.000000
7.001,23.337,450,64.276,9.895935,20.234239,95.682559,415.236095,0,0,0.000000
8.001,26.671,483,60.366,9.936895,22.282239,105.316351,415.236095,0,0,0.000000
9.001,30.005,549,60.990,9.928703,23.805951,102.432767,415.236095,0,0,0.000000
10.002,33.338,634,63.390,9.887743,22.282239,95.682559,415.236095,0,0,0.000000
11.002,36.672,733,66.627,9.805823,21.069823,92.471295,415.236095,0,0,0.000000
12.002,40.006,808,67.324,9.797631,21.069823,91.881471,415.236095,0,0,0.000000
13.002,43.340,872,67.067,9.773055,21.348351,91.881471,415.236095,0,0,0.000000
14.002,46.673,937,66.919,9.838591,21.544959,90.832895,415.236095,0,0,0.000000
15.002,50.007,1004,66.924,9.912319,21.987327,90.636287,415.236095,0,0,0.000000
16.002,53.341,1088,67.991,9.945087,21.118975,90.636287,415.236095,0,0,0.000000
17.002,56.674,1176,69.167,9.969663,20.791295,88.932351,415.236095,0,0,0.000000
18.003,60.008,1274,70.768,9.961471,20.168703,88.276991,415.236095,0,0,0.000000
19.003,63.342,1380,72.621,9.920511,20.037631,84.475903,415.236095,0,0,0.000000
20.003,66.676,1484,74.189,9.895935,20.004863,83.492863,415.236095,0,0,0.000000
21.003,70.010,1591,75.751,9.822207,19.972095,78.053375,415.236095,0,0,0.000000
22.003,73.344,1689,76.762,9.822207,19.922943,75.825151,415.236095,0,0,0.000000
23.003,76.678,1776,77.206,9.879551,19.922943,70.189055,415.236095,0,0,0.000000
24.004,80.012,1864,77.655,9.879551,19.922943,68.812799,415.236095,0,0,0.000000
25.004,83.346,1965,78.589,9.838591,19.890175,64.552959,415.236095,0,0,0.000000
26.004,86.680,2054,78.988,9.871359,19.857407,63.635455,415.236095,0,0,0.000000
27.004,90.013,2129,78.840,9.895935,19.906559,63.045631,415.236095,0,0,0.000000
28.004,93.347,2209,78.882,9.895935,19.906559,62.980095,415.236095,0,0,0.000000
29.004,96.680,2280,78.610,9.887743,19.906559,63.045631,415.236095,0,0,0.000000
30.004,100.000,2382,79.389,9.871359,19.857407,62.980095,415.236095,0,0,0.000000
