time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,770,769.833,7.528447,10.993663,74.186751,219.021311,0,0,0.000000
2.000,6.667,1602,800.918,7.483391,10.895359,72.876031,224.526335,0,0,0.000000
3.000,10.001,2338,779.264,7.491583,10.674175,74.186751,224.526335,0,0,0.000000
4.000,13.334,3107,776.687,7.512063,10.690559,74.186751,224.526335,0,0,0.000000
5.000,16.668,3874,774.741,7.540735,10.846207,72.876031,247.070719,0,0,0.000000
6.001,20.002,4622,770.269,7.557119,10.838015,65.372159,256.114687,0,0,0.000000
7.001,23.335,5033,718.942,7.643135,11.509759,103.481343,256.114687,0,0,0.000000
8.001,26.669,5494,686.696,7.663615,11.878399,179.961855,260.440063,0,0,0.000000
9.001,30.002,6134,681.501,7.696383,12.197887,179.961855,260.440063,0,0,0.000000
10.001,33.336,7007,700.643,7.667711,11.804671,79.036415,260.440063,0,0,0.000000
11.001,36.670,7818,710.668,7.659519,11.526143,79.036415,260.440063,0,0,0.000000
12.001,40.004,8637,719.683,7.643135,11.304959,78.053375,260.440063,0,0,0.000000
13.001,43.337,9297,715.089,7.663615,11.313151,87.687167,260.440063,0,0,0.000000
14.001,46.671,9515,679.582,7.708671,12.345343,97.124351,331.874303,0,0,0.000000
15.001,50.004,10104,673.540,7.733247,12.607487,97.714175,331.874303,0,0,0.000000
16.001,53.338,10895,680.879,7.753727,12.632063,92.536831,331.874303,0,0,0.000000
17.001,56.671,11460,674.060,7.766015,12.517375,103.481343,426.770431,0,0,0.000000
18.002,60.005,12123,673.444,7.774207,12.517375,101.449727,426.770431,0,0,0.000000
19.002,63.339,12729,669.891,7.778303,12.632063,103.481343,426.770431,0,0,0.000000
20.002,66.672,13492,674.544,7.790591,12.443647,103.743487,426.770431,0,0,0.000000
21.002,70.006,14105,671.612,7.798783,12.304383,179.961855,426.770431,0,0,0.000000
22.002,73.339,14842,674.581,7.806975,12.197887,179.961855,426.770431,0,0,0.000000
23.002,76.673,15596,678.031,7.802879,12.148735,179.961855,426.770431,0,0,0.000000
24.002,80.007,16313,679.653,7.802879,12.075007,212.467711,428.867583,0,0,0.000000
25.002,83.340,17085,683.343,7.790591,11.968511,211.943423,428.867583,0,0,0.000000
26.002,86.674,17801,684.599,7.790591,11.927551,212.336639,430.178303,0,0,0.000000
27.002,90.007,18456,683.501,7.786495,11.911167,213.385215,430.178303,0,0,0.000000
28.002,93.341,19068,680.946,7.786495,11.919359,213.385215,430.178303,0,0,0.000000
29.002,96.674,19724,680.085,7.786495,11.960319,213.647359,430.178303,0,0,0.000000
30.002,100.000,20295,676.447,7.786495,12.025855,214.695935,430.178303,0,0,0.000000
