time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,204,203.982,9.363455,18.726911,224.526335,236.584959,0,0,0.000000
2.000,6.667,395,197.485,10.321919,27.541503,224.526335,236.584959,0,0,0.000000
3.000,10.001,529,176.321,10.493951,28.213247,236.584959,441.188351,0,0,0.000000
4.000,13.334,658,164.488,10.739711,31.932415,241.958911,441.188351,0,0,0.000000
5.000,16.668,863,172.588,10.690559,28.213247,236.584959,441.188351,0,0,0.000000
6.000,20.001,1073,178.821,10.592255,27.541503,230.293503,441.188351,0,0,0.000000
7.000,23.335,1174,167.703,10.739711,31.768575,230.424575,441.188351,0,0,0.000000
8.001,26.668,1314,164.239,10.919935,35.127295,230.424575,441.188351,0,0,0.000000
9.001,30.002,1510,167.767,11.059199,34.111487,236.584959,441.188351,0,0,0.000000
10.001,33.335,1638,163.790,11.272191,34.111487,239.206399,446.169087,0,0,0.000000
11.001,36.669,1763,160.263,11.403263,34.635775,240.254975,446.169087,0,0,0.000000
12.001,40.002,1894,157.824,11.681791,34.734079,239.206399,446.169087,0,0,0.000000
13.001,43.336,1997,153.605,11.804671,35.749887,241.958911,446.169087,0,0,0.000000
14.001,46.670,2152,153.704,12.181503,36.831231,241.565695,446.169087,0,0,0.000000
15.001,50.003,2335,155.656,11.976703,37.093375,240.254975,446.169087,0,0,0.000000
16.001,53.337,2516,157.239,11.935743,36.503551,239.206399,446.169087,0,0,0.000000
17.001,56.671,2628,154.577,12.132351,37.257215,239.206399,446.169087,0,0,0.000000
18.001,60.004,2816,156.434,11.993087,37.224447,239.206399,446.169087,0,0,0.000000
19.001,63.338,3015,158.673,12.140543,37.224447,239.206399,446.169087,0,0,0.000000
20.001,66.671,3198,159.889,12.099583,37.093375,239.206399,446.169087,0,0,0.000000
21.001,70.005,3415,162.608,12.058623,36.077567,237.240319,446.169087,0,0,0.000000
22.001,73.338,3600,163.625,12.001279,36.044799,237.240319,446.169087,0,0,0.000000
23.002,76.672,3712,161.380,12.189695,37.453823,237.240319,446.169087,0,0,0.000000
24.002,80.006,3890,162.072,12.312575,37.650431,238.419967,446.169087,0,0,0.000000
25.002,83.339,4006,160.229,12.492799,38.404095,237.371391,446.169087,0,0,0.000000
26.002,86.673,4281,164.642,12.206079,36.831231,236.716031,446.169087,0,0,0.000000
27.002,90.006,4422,163.766,12.296191,37.027839,237.240319,446.169087,0,0,0.000000
28.002,93.340,4592,163.988,12.566527,37.158911,237.240319,446.169087,0,0,0.000000
29.002,96.674,4729,163.057,12.713983,37.224447,238.813183,446.169087,0,0,0.000000
30.002,100.000,4862,162.055,12.730367,37.289983,239.075327,446.169087,0,0,0.000000
