time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,256,255.953,16.744447,70.647807,119.078911,119.275519,0,0,0.000000
2.000,6.668,820,409.926,12.836863,37.650431,103.743487,119.275519,0,0,0.000000
3.000,10.001,1186,395.275,13.508607,39.714815,101.908479,119.275519,0,0,0.000000
4.001,13.335,1803,450.688,12.779519,30.277631,92.143615,119.275519,0,0,0.000000
5.001,16.669,2443,488.543,12.500991,26.951679,70.647807,119.275519,0,0,0.000000
6.001,20.002,2965,494.114,12.443647,26.869759,68.747263,119.275519,0,0,0.000000
7.001,23.336,3559,508.377,12.443647,24.231935,66.912255,119.275519,0,0,0.000000
8.001,26.670,4123,515.317,12.492799,22.708223,65.208319,119.275519,0,0,0.000000
9.001,30.004,4735,526.048,12.427263,21.676031,63.045631,119.275519,0,0,0.000000
10.001,33.337,5094,509.340,12.484607,24.051711,66.912255,119.275519,0,0,0.000000
11.001,36.671,5605,509.487,12.427263,24.002559,67.239935,225.181695,0,0,0.000000
12.001,40.004,6251,520.858,12.337151,22.413311,66.027519,225.181695,0,0,0.000000
13.001,43.338,6918,532.096,12.238847,21.561343,64.847871,225.181695,0,0,0.000000
14.001,46.672,7556,539.657,12.181503,20.824063,62.685183,225.181695,0,0,0.000000
15.002,50.005,8222,548.076,12.107775,20.316159,61.079551,225.181695,0,0,0.000000
16.002,53.339,8683,542.632,12.140543,20.791295,62.029823,225.181695,0,0,0.000000
17.002,56.672,9303,547.181,12.124159,20.332543,61.046783,225.181695,0,0,0.000000
18.002,60.006,9969,553.780,12.075007,19.873791,61.046783,225.181695,0,0,0.000000
19.002,63.340,10655,560.733,12.017663,19.251199,59.965439,225.181695,0,0,0.000000
20.002,66.673,11348,567.344,11.968511,18.776063,57.343999,225.181695,0,0,0.000000
21.002,70.007,11997,571.227,11.952127,18.399231,56.459263,225.181695,0,0,0.000000
22.002,73.341,12585,571.984,11.984895,18.366463,55.902207,225.181695,0,0,0.000000
23.002,76.675,13200,573.853,12.017663,18.202623,54.853631,225.181695,0,0,0.000000
24.003,80.009,13806,575.188,12.001279,18.006015,54.984703,225.181695,0,0,0.000000
25.003,83.342,14463,578.459,11.984895,17.809407,54.460415,225.181695,0,0,0.000000
26.003,86.676,15064,579.325,11.984895,17.825791,54.165503,225.181695,0,0,0.000000
27.003,90.009,15725,582.348,11.968511,17.661951,53.673983,225.181695,0,0,0.000000
28.003,93.343,16364,584.369,11.952127,17.612799,53.379071,225.181695,0,0,0.000000
29.003,96.676,17006,586.354,11.935743,17.530879,51.511295,225.181695,0,0,0.000000
30.003,100.000,17527,584.175,11.943935,17.743871,51.544063,225.181695,0,0,0.000000
