time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,2823,2822.731,4.976639,7.036927,211.943423,422.051839,1960,2112,0.481336
2.000,6.667,6062,3030.761,4.722687,6.742015,59.179007,424.935423,3253,3352,0.492506
3.000,10.001,9441,3146.771,4.587519,6.709247,35.880959,424.935423,4945,5082,0.493168
4.000,13.335,12263,3065.472,4.751359,6.668287,36.732927,425.983999,6109,6495,0.484687
5.000,16.668,14820,2963.749,4.935679,6.680575,56.623103,425.983999,7163,8462,0.458432
6.001,20.002,17029,2837.926,5.140479,6.680575,210.108415,425.983999,7790,9985,0.438256
7.001,23.335,19268,2752.335,5.287935,6.676479,210.763775,425.983999,8281,11428,0.420163
8.001,26.669,22042,2755.023,5.246975,6.647807,210.501631,632.291327,9999,13234,0.430379
9.001,30.002,25235,2803.664,5.156863,6.619135,210.370559,632.291327,11283,14496,0.437682
10.001,33.336,28367,2836.478,5.103615,6.615039,210.239487,632.291327,12821,16036,0.444294
11.001,36.669,31435,2857.508,5.058559,6.623231,210.370559,632.291327,14489,17607,0.451427
12.001,40.003,34843,2903.358,5.001215,6.602751,210.108415,632.291327,16280,19273,0.457908
13.001,43.337,37944,2918.547,4.964351,6.594559,209.846271,632.291327,17776,20763,0.461247
14.001,46.670,41285,2948.700,4.939775,6.586367,209.453055,632.291327,19403,22474,0.463333
15.001,50.004,44223,2947.968,4.923391,6.586367,209.453055,632.291327,20808,23918,0.465233
16.001,53.337,47518,2969.645,4.902911,6.578175,209.190911,632.291327,22454,25623,0.467042
17.001,56.671,50883,2992.880,4.890623,6.590463,56.033279,632.291327,24138,27374,0.468590
18.001,60.005,54298,3016.314,4.866047,6.586367,35.880959,632.291327,25785,28994,0.470710
19.002,63.338,57464,3024.182,4.845567,6.586367,35.553279,632.291327,27511,30588,0.473519
20.002,66.672,60770,3038.257,4.825087,6.590463,27.770879,632.291327,29253,32268,0.475496
21.002,70.006,63865,3040.950,4.825087,6.586367,27.541503,632.291327,30578,33710,0.475641
22.002,73.339,67214,3054.943,4.808703,6.590463,26.312703,632.291327,32316,35441,0.476940
23.002,76.673,70778,3077.065,4.808703,6.610943,22.282239,632.291327,34164,37312,0.477979
24.002,80.006,73947,3080.887,4.804607,6.615039,21.086207,632.291327,35794,38938,0.478965
25.002,83.340,77188,3087.280,4.792319,6.615039,20.922367,632.291327,37336,40469,0.479866
26.002,86.673,80316,3088.839,4.788223,6.610943,18.694143,632.291327,38965,42108,0.480616
27.002,90.007,83714,3100.280,4.775935,6.610943,16.973823,632.291327,40582,43707,0.481463
28.002,93.341,87009,3107.224,4.771839,6.615039,16.007167,632.291327,42560,45738,0.482004
29.002,96.674,90082,3106.036,4.771839,6.627327,14.934015,632.291327,43870,47089,0.482305
30.002,100.000,93051,3101.461,4.767743,6.631423,16.326655,632.291327,45306,48493,0.483012
