time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,1.538,1538,1537.868,7.720959,11.304959,214.564863,225.312767,126,1661,0.070509
2.000,3.432,3432,1715.877,7.385087,10.682367,214.564863,429.391871,717,3349,0.176340
3.000,5.306,5306,1768.548,7.241727,10.633215,214.695935,429.391871,1290,4314,0.230193
4.000,7.731,7731,1932.625,6.971391,10.207231,215.089151,429.391871,2561,5616,0.313196
5.000,10.073,10073,2014.473,6.750207,9.912319,215.089151,430.178303,3714,6771,0.354220
6.000,12.866,12866,2144.200,6.586367,9.781247,214.433791,430.178303,5233,8221,0.388955
7.000,15.759,15759,2251.147,6.467583,9.740287,211.812351,430.178303,6747,9745,0.409107
8.001,18.708,18708,2338.339,6.336511,9.658367,71.565311,430.178303,8180,11201,0.422063
9.001,21.364,21364,2373.617,6.230015,9.584639,71.630847,430.178303,9413,12474,0.430073
10.001,23.812,23812,2381.041,6.180863,9.535487,71.630847,430.178303,10577,13662,0.436363
11.001,26.617,26617,2419.567,6.119423,9.535487,44.171263,430.178303,11850,14952,0.442131
12.001,29.640,29640,2469.833,6.041599,9.519103,34.439167,430.178303,13543,16615,0.449068
13.001,32.522,32522,2501.525,5.967871,9.510911,34.537471,430.964735,14976,18034,0.453681
14.001,34.709,34709,2479.043,5.931007,9.519103,38.076415,430.964735,15873,18934,0.456029
15.001,37.147,37147,2476.292,5.890047,9.519103,36.470783,430.964735,17283,20296,0.459911
16.001,39.812,39812,2488.077,5.865471,9.543679,35.323903,430.964735,18658,21708,0.462221
17.001,42.809,42809,2518.002,5.828607,9.560063,34.045951,430.964735,20178,23229,0.464856
18.001,45.307,45307,2516.871,5.812223,9.658367,34.045951,430.964735,21296,24343,0.466618
19.001,47.749,47749,2512.918,5.804031,9.723903,34.537471,430.964735,22460,25501,0.468297
20.001,50.265,50265,2513.065,5.775359,9.748479,36.765695,430.964735,23754,26780,0.470060
21.002,52.623,52623,2505.676,5.754879,9.781247,38.895615,430.964735,24993,27987,0.471744
22.002,54.996,54996,2499.636,5.730303,9.789439,39.878655,430.964735,26208,29176,0.473205
23.002,57.130,57130,2483.733,5.713919,9.822207,48.103423,430.964735,27304,30266,0.474275
24.002,59.940,59940,2497.321,5.677055,9.838591,46.923775,430.964735,28779,31654,0.476213
25.002,62.337,62337,2493.302,5.652479,9.854975,46.104575,430.964735,30013,32873,0.477260
26.002,64.911,64911,2496.398,5.652479,9.887743,44.302335,430.964735,31118,34002,0.477856
27.002,67.312,67312,2492.859,5.636095,9.912319,44.236799,451.674111,32631,35459,0.479233
28.002,69.619,69619,2486.209,5.623807,9.953279,44.236799,451.674111,33579,36422,0.479693
29.002,72.166,72166,2488.300,5.627903,9.945087,44.236799,451.674111,34764,37717,0.479629
30.002,74.731,74731,2490.850,5.611519,9.953279,43.810815,451.674111,36066,39040,0.480201
31.002,77.296,77296,2493.225,5.603327,9.953279,43.417599,451.674111,37347,40358,0.480625
32.002,80.044,80044,2501.181,5.586943,9.961471,42.074111,451.674111,38752,41760,0.481320
33.003,82.896,82896,2511.807,5.558271,9.961471,41.353215,451.674111,40268,43211,0.482373
34.003,85.923,85923,2526.954,5.537791,9.961471,40.009727,451.674111,41806,44696,0.483295
35.003,89.074,89074,2544.778,5.513215,9.961471,38.895615,451.674111,43368,46198,0.484202
36.003,91.997,91997,2555.279,5.488639,9.961471,38.174719,451.674111,44948,47659,0.485363
37.003,94.548,94548,2555.159,5.480447,9.969663,39.256063,451.674111,46089,48821,0.485607
38.003,97.058,97058,2553.967,5.464063,9.977855,38.862847,451.674111,47464,50092,0.486531
39.003,100.000,100000,2563.912,5.435391,9.953279,38.010879,451.674111,48738,51262,0.487380
