time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.324,3324,3323.689,0.001535,9.052159,21.168127,229.113855,2593,1546,0.626480
2.000,8.524,8524,4261.635,0.001535,8.519679,15.556607,423.886847,7184,2874,0.714257
3.000,16.785,16785,5594.574,0.002047,8.077311,15.572991,423.886847,13896,4109,0.771786
4.000,28.021,28021,7004.738,0.002559,7.524351,15.753215,423.886847,24412,5386,0.819250
5.000,41.791,41791,8357.610,0.003071,7.184383,15.310847,423.886847,35550,6648,0.842457
6.000,55.124,55124,9186.640,0.003583,6.946815,15.179775,423.886847,48590,8150,0.856362
7.001,67.496,67496,9641.583,0.004095,6.836223,15.638527,429.391871,60220,9467,0.864150
8.001,78.349,78349,9792.888,0.004095,6.762495,16.211967,436.731903,68100,10376,0.867781
9.001,91.573,91573,10174.000,0.004607,6.713343,15.998975,436.731903,81778,12066,0.871425
9.909,100.000,100000,10091.394,0.004607,6.672383,15.835135,436.731903,87260,12740,0.872600
